yng	ய்ங்
meykandar	மெய்கண்டார்
metodista	மெதோடிஸ்த
menkarlina	எண்களினை
menkalinan	எண்களினை
mediviron	மெடிவிரோன்
mazanderan	ஆண்டெர்சன்
mavalankar	வளநகர்
mauricius	மௌரிசியுஸ்
matondkar	மதோண்ட்கர்
matinuddin	ஐன்சுட்டின்
mathilukal	மதிலுகள்
mataranka	அந்தரங்க
matangini	அர்தங்கினி
mastanabal	அஸ்தானால்
massimino	மாஸ்ஸிமினொ
martinelli	அரைநெல்லி
marscallus	மர்செல்லுஸ்
maroccanus	மர்ச்சண்டு
marmandais	அப்ரன்டைஸ்
markandya	மார்கண்டய
markandaya	மர்கண்டா
marittima	அரைத்திண்ம
maringelli	அரைநெல்லி
maringayam	பரிணயம்
marinellis	அரைநெல்லி
marinacci	அரிசனச்சி
maricalum	கரைசலும்
marianelli	அரைநெல்லி
mariamman	மரியம்மன்
marcellin	அர்செனல்லின்
maravillas	வரவில்ல
maraviglie	மரவிலை
maravanthe	மரவந்தெ
marapurani	மரபுரை
maramures	மரமுறேஸ்
maramotti	மரம்கொத்தி
maramarua	வரமருள
maraikayar	அரைக்காற்
manyikeni	மன்யிகேனி
mantranga	அந்தரங்க
mantinium	நந்தினியும்
mantarobot	ஆந்தரோத்
manonmani	மனோண்மணி
manokaran	மனோகரன்
manivannam	கைவண்ணம்
manikandan	மணிகண்டண்
mangamutu	அங்கமுத்து
mangammal	அங்கம்மாள்
mandelslo	மன்டெல்ஸ்லோ
malliavin	நள்ளிரவின்
mallampati	பழம்பதி
malippala	அளிப்பாளர்
maliankara	அலங்கர
malayawata	அழையாத
malayappa	மலையப்ப
malatarlak	பலதரக்
malacitana	அழைத்தன
maksimovic	அகிமோவிச்
makkhaniya	அக்கனியை
makaimura	வகைமுறை
majeediyaa	ஜெடெடியா
maitreyan	மைத்ரேயன்
mainhattan	அபிநத்தன்
mainavati	மைனாவதி
mainamatir	மைனமதி
mainakudu	மைனாகுடு
mahringer	ஜஹ்ரிங்ஜெர்
mahismati	மஹிஷ்மதி
mahiranga	மஹிரங்க
mahesvara	மஹேஸ்வர
mahatmyam	மஹாத்ம்யம்
maharajin	மஹராஜின்
madanatura	பாணதுற
madanapala	ரானபல
maclachlan	மச்லச்லன்
macalintal	அசைந்தால்
maarkedal	ஆர்கெஸ்ட்ரல்
maalamaal	பாலம்மாள்
lutfullah	லுத்ஃபுல்லாஹ்
lucioperca	லுசிபெரை
lokapavani	ஒகபவைச்
lokamanyan	ஒகானியன்
littorina	இத்தொடரினை
linnahall	தின்னஹள்ளி
lingapura	சிங்கபுர
linderman	லிண்டேர்மன்
linderhof	லிண்டெர்ஹோஃப்
lavrentiya	அர்கெந்திய
lavernalis	வெர்னாலிஸ்
lavassani	லவாஸ்ஸனி
lavanttal	கவனித்தல்
lavansaari	நவனாரி
larentina	அர்கெந்தீன
laplacians	அப்ளையன்ஸ்
lakshmanan	லக்ஸ்மனன்
lakshanamu	லக்ஷணம்
lacedelli	லாசெடெல்லி
laavupaati	ஆறுபாதி
laajavuori	ராஜவுரி
kvittingen	வித்திங்டன்
kuttanadu	முத்தநாடு
kuruvilla	உருவிலுள்ள
kupperman	சூப்பெர்மன்
kunnakudi	குன்னக்குடி
kumassaki	உமாஷக்தி
kumarappa	குமரப்பா
kumarapala	மற்றபல
kulatunga	குலதுங்க
kularnava	உலர்ந்தவை
kudumiyan	குடுமியான்
kudankulam	உடைகுளம்
kripalani	கிரிபலனி
kraussiana	கிருஷண
kraakhanid	ராகநில்ட்
koyilandi	கொயிலாண்டி
kottapuram	உத்தபுரம்
kostovski	டொஸ்தோவ்ஸ்கி
kortumalai	பொருமலை
koronadal	கொரொனடால்
kornelius	கொர்னெலியுஸ்
koppenaal	கோப்பெனால்
kondomari	மொண்ட்கொமரி
kollipara	கொல்லிபரா
koevermans	கொவெர்மன்ஸ்
kockleman	கொச்க்லேமன்
klungkung	குலுங்குங்
kirloskar	கிர்லோஸ்கர்
kiritimati	நீதிமதி
kingsford	கிங்ஸ்ஃபோர்ட்
kinderman	லிண்டேர்மன்
kindermans	திண்டெமன்ஸ்
kimikarlai	இமைகளை
kilindini	சிலிண்டினில்
kilimanoor	இலியனோர்
khazarians	ஹாரிசன்ஸ்
kesselring	ஷெல்டரிங்
kerlingen	கெர்லிங்கென்
keplarian	கெப்லரியன்
kemayoran	கெமயோரன்
kellermans	எல்லெர்மான்
kellermann	எல்லெர்மான்
kelleciyan	கெலெசியன்
kebudayaan	கெபுடயான்
kazancilar	சான்சிலர்
kavithakal	கவிதகள்
kavayatthu	அவையத்து
kautiliya	கசுதிலிய
kauppinen	அனுப்பினேன்
katunayaka	கதுனாக
katoliška	கத்தொலிக்க
katannilik	தன்னிலைக்
kastamonu	கஸ்தமோனு
kashalkar	காஸ்ஹல்கர்
karumatan	மற்றுமதன்
karolinum	கரோலினும்
karnofski	கர்னோஃப்ஸ்கி
karnavati	கர்ணாவதி
karkataka	அடர்கந்தக
karippidi	பற்றிப்பிடி
karapunar	பரப்புநர்
karappuram	அகப்புறம்
karantina	தராந்தின
karanfila	கரைநிலை
karamanids	சாமனிட்ஸ்
karamagara	பரமார
karamadai	காரமடை
karakunnu	சரல்குன்னு
karakoram	காரகொரம்
karaitiana	அரைதிண்ம
karaikudi	தரைக்குடி
kaplanski	ஜப்லான்ஸ்கி
kapisthala	கபிஸ்தல
kapatirang	ஆத்திரங்
kankanati	தங்கநதி
kanjamalai	பணமழை
kanikarans	மணிகரண்
kanayanur	கனயனூர்
kanamensis	காபென்ஸிஸ்
kanalitai	சணல்விதை
kanakatara	கணகதர்
kanakaria	அநகாரிக
kanakanak	அனகனாக
kamtapuri	அமிர்தபுரி
kammanadu	அம்மாநாடு
kamlapati	அம்பலபதி
kamarudin	கமாருடின்
kamaruddin	ஆர்வுட்டின்
kamarilla	அமாரில்லா
kamaleddin	ஆஸ்லெட்டின்
kamalapur	அமலபுரம்
kalyanpur	கல்யாண்புர்
kalpakkam	கல்பாக்கம்
kalnapilis	அனாபிலிஸ்
kallarani	பல்லரணை
kallahalli	ஜலஹள்ளி
kallaadam	அல்லாடிகம்
kalavrita	அளவறிதல்
kalapalan	பலாபலன்
kalapahad	கலபஹாட்
kalandans	வலண்டைன்ஸ்
kalanathan	அளந்ததன்
kalamaria	நலமறிய
kalaimagal	அலைமகள்
kalahasti	காளஹஸ்தி
kalachandi	களஹண்டி
kakavarnin	பகவரின்
kajrolkar	கஜ்ரோல்கர்
kaharuddin	ஆர்வுட்டின்
kaduvakali	அப்டுவாலி
kadriddin	மாட்ரிட்டின்
kabardians	ஆர்டிசன்ஸ்
kaangooloo	மானோலோ
jnatiputra	நந்திபுர
jnanappana	நாணப்பன்
jivamukti	சீவமுக்தி
jivakarama	சிவகாம
jeyakumar	ஜெயகுமார்
jericallas	வெர்சல்லஸ்
jayaratnam	தயரத்ன
jayananda	அயன்மண்டல
jayakumar	ஜயகுமார்
javadekar	ஜவடேகர்
jatakamala	ஆகமலை
jandamarra	மணமற்ற
jamhariyah	அம்ஹாரிய
jamaludin	ஜமாலுடின்
jamahariya	அம்ஹாரிய
jalaludin	ஜல்லலுடின்
jalaluddin	அழலூட்டி
jalaleddin	ஆஸ்லெட்டின்
jakarnaval	அகரவால்
jaiminiya	அலிமினியம்
itoophiyaa	தோபியாஸ்
itirapina	திறப்பினை
ispahanica	இஸ்பானிய
islamiyat	இஸ்லாமியத்
isfandiyar	ஃப்ரன்டியர்
irungalur	இருங்களுர்
iridipitta	இடிப்பித்த
invención	இன்வென்சியன்
innocenti	இன்னொசென்டிவ்
indravati	நெட்ராவதி
imperador	எம்பெரடோர்
immingham	இம்மிங்ஹாம்
illuminata	இல்லுமினா
ikalaninui	இக்கலனின்
hyeronima	யெரோனிமா
hulkamania	உல்கமான
hollandine	மொல்லண்டின்
hitkarini	கிதகரினி
hiriyanna	இறையன்னை
hiranyaksa	இரண்யகம்
himalayans	இமலாயன்
hilliards	பில்லியர்ட்ஸ்
hildegaard	இல்டெகார்ட்
hiikaalani	இக்காலனி
hervannan	பெருவண்ணன்
hermanaric	ஜெர்மனைச்
hendrikje	ஹென்ட்ரிக்ஜே
hellenici	எல்லெனிச்டிக்
helicella	வெளிச்செல்ல
heimatstil	எரிமத்தில்
hedingham	லெடிங்ஹாம்
hayavadana	அயவதன
hayatullah	அயதுல்லா
havilland	ஹாவில்லண்ட்
hauniensis	அனிடென்ஸிஸ்
hatterall	அத்தேறலில்
harmonice	ஆர்மோனிசெ
harlingen	ஹர்லிங்கென்
harivamsam	அரிவம்சம்
haripriya	ஹரிப்ரியா
harimandir	அரிமந்திர்
harikalar	கரிகாலர்
harayatana	ஆராதன
harauvati	சரசுவதி
haranhalli	நரஹள்ளி
hanovarian	அனோவரின்
hanikalbat	அணிகளைத்
hanglands	லாங்லண்ட்ஸ்
handayani	தண்டையணி
hanakaruta	நகருதல்
hameetman	அமேன்த்மன்ட்
hamarastan	அமர்வதன்
hamallayya	மல்லய்யா
halpensis	ஹல்பெனிசிஸ்
hallingdal	அல்லிங்கள்
halderpark	ஆல்டர்பர்க்
haimavathi	ஹைமவதி
hacitarxan	சசிதரன்
haalpulaar	மாபுலார்
guttavalal	உத்தவ்வால்
gustaviana	உதவியன
guruvarya	குருவார்ய
gurucharan	குருசரண்
guinevere	குவினெவெரெ
guacamaya	குலசமய
grenadians	ரெனைசன்ஸ்
grankulla	அரங்குள்ள
granatiere	ரணதிவே
granadinas	அனாடினஸ்
gracanica	இம்ரசனிச
govanianum	வணிகனும்
goodedulla	போட்டுள்ள
glenarvon	க்ளெனர்வோன்
glatthaar	லத்தேஹார்
glassmanor	லஷ்மணர்
gitanilla	இதனிலுள்ள
giolittian	ஒலித்திறன்
gimingham	இம்மிங்ஹாம்
gilfillian	இலில்லியன்
germanika	ஜெர்மனிகள்
gerlingen	கெர்லிங்கென்
gerardini	டெர்மர்டினி
gecamines	கெசமினேஸ்
gaunamana	மௌனமான
gattolini	அத்தோலினை
gattinara	நடத்தினர
garaventa	அறவேந்தன்
gansevoort	அய்ன்ஸ்வோர்த்
gangaajal	கங்காஜல்
ganashakti	அநாஸக்தி
ganapatya	கணபத்யா
galperina	அல்பெர்டினா
gallipoli	கல்லிப்பொலி
gallicanum	ஆலிசனும்
gallicantu	அள்ளிவந்து
galliarum	அள்ளித்தரும்
galicians	வலிசியன்ஸ்
galantini	வளந்தினை
fullerian	முல்லெரியன்
frondelli	ரொண்டினெல்லி
francella	றான்செல்லக்
firuzmandi	விருமண்டி
fioravanti	சிரவந்தி
filopanti	பிலோபந்தி
fillattice	இல்லத்தைச்
filippino	பிலிப்பினோ
filippini	கிழிப்பினை
filippina	பிலிப்பீன
filipinas	பிலிபினாஸ்
filangieri	இலங்கிரி
fiannamail	அன்னமயில்
fernandes	ஃபெர்னாண்டெஸ்
ferenginar	ஏங்கினர்
ferdinands	பெர்டினன்ட்
ferdinande	பெர்டினன்ட்
farvardin	ஆர்வார்டின்
farmandari	அர்மாண்டை
farinacci	அரிசனச்சி
farhreddin	பர்ரெட்டின்
farbissina	அரிஷினா
faragalli	அறங்கள்ளி
fantastipo	அந்தஸ்தைப்
fantastika	அந்தஸ்தைக்
fantastick	அந்தஸ்தைக்
falcomonas	அலோமொனஸ்
facinelli	பாசிநெல்லி
eurunderee	உசுண்டெரே
europolis	புரொபோலிஸ்
esfandiyar	ஃப்ரன்டியர்
ercolanesi	சொலனேஸி
epikindini	பிஸ்கின்டின்
epanastasi	பனஸ்தலி
emericella	மேற்செல்ல
ellingham	பெல்லிங்ஹம்
ekaterine	கதேரினே
dvaipayana	விண்பயண
durvinita	துர்வினிதன்
duropolis	புரொபோலிஸ்
durjanpur	துர்ஜன்பூர்
dulhaniya	துல்ஹனியா
drahomanov	ரஹ்மானொவ்
doumanian	ஒருமனிதன்
dominikos	டொமினிகோஸ்
dirgantara	நிரந்தர
dipanwita	அடிபணிந்த
dinoceras	ரினோசெரஸ்
dinkelmann	வின்கெல்மன்
dinclinsin	இன்சுலினின்
dimitrije	திமித்ரிஜே
dhrupadiya	இருபடிய
dharmendra	ஃஅரென்ட்ர
dharmapuri	தர்மபுரி
dharampani	தரம்பனி
dhanvantri	தன்வந்த்ரி
devvarman	தேவ்வர்மன்
devnarayan	என்அரையன்
devipuram	தேவிபுரம்
devikulam	தேவிகுளம்
demokraci	டெமோக்ரசி
demetrias	டெமெத்ரியஸ்
degrandin	டேரண்டினொ
dayananda	அயன்மண்டல
daulatpur	தவுலத்புர்
dattopant	தத்தோபந்த்
dattaraya	அத்தகரய
darunavir	கருணாவிற்
darunavir	கருணாவிற்
danuvanta	தனுவந்தர்
danishmend	பனிஸ்மெண்ட்
damayanthi	தமயந்தி
cunnamulla	எண்னமுள்ள
croonfield	ரோன்ஃபீல்ட்
crookenden	ரோஎன்ட்ஜென்
cristoforo	ரிஸ்தோரோ
cristatum	சரிந்ததும்
crandelain	ஃப்ரண்ட்லைன்
corticelli	தொரிசெல்லி
coronadal	கொரொனடால்
cornicelli	தொரிசெல்லி
cornellana	ஓர்நெல்லா
cornelius	கொர்னெலியுஸ்
corintiano	சொரிந்தன
corintiana	பொரிந்தன
cordicelli	தொரிசெல்லி
cordellini	ஒடேல்லினி
coramandel	கொரமண்டல்
coorparoo	ஹோர்ஸ்பரோ
coomcallee	மோசல்லே
contamana	சொந்தமான
coningham	கொனிங்ஹாம்
conavalla	கொனவல்லா
collicelli	ஒளிசெல்லின்
clearistus	எவரிஸ்துஸ்
clamantium	சாந்தியும்
citrarata	சித்ரரதன்
circinatum	சிறியதும்
cirandinha	இரண்டினை
cinderela	சின்டெரெல்ல
cimmaruta	இம்மருந்தை
cilcennin	நீல்சென்னின்
cierpinski	வெர்பின்ஸ்கி
cholapuram	ஹொசபுரம்
chintamani	சிந்தமணி
chelyuskin	செல்யுஸ்கின்
chatrapati	சத்ரபதி
chanakkale	அனக்கலே
chamarante	அமரந்தே
cavanilles	ஆண்டில்லெஸ்
cavallini	காவல்லினி
cavallanti	வல்லந்தை
catterall	அத்தேறலில்
carpinelli	அரைநெல்லி
carolinum	கரோலினும்
caricatura	சற்சதுர
caravelli	பரவெல்லை
caravella	பரவெல்லை
carantania	பறந்தன
carandinis	அப்ரண்டீஸ்
caramanica	சாமனிச
caramanian	பரமனின்
carabineri	மறைநெறி
capracorum	அரசொன்றும்
capharnaum	அபஹர்ணம்
caperatus	சாபெற்றது
capalangan	பழங்கண்
cannavale	கன்னவளே
canaveral	கனவேரல்
campaneri	கம்பனேரி
camillians	மில்லியன்ஸ்
camarinal	அமர்வினால்
calidella	சலடெல்லா
calcitrans	சசிதரன்
calapacuan	அலம்பசன்
calandrini	கான்டரினி
calamaria	நலமறிய
caddillac	கட்டில்லாச்
cabanilles	ஆண்டில்லெஸ்
brueeliaa	ருமேலியா
bressenden	ஃபெஸ்ஸெண்டென்
brahmapura	ராமபுர
brahmanya	ரஹ்மானிய
blumental	ப்ளுமெந்தால்
blendville	எண்ட்வில்லே
blandinium	லண்டனிலும்
bismillah	பிஸ்மில்லாஹ்
birrarung	பிர்ராருங்
birkenhead	பிர்கென்ஹெட்
binnenpark	இன்டென்பர்க்
bindervoet	இண்டெர்வொர்த்
bilazarian	இலாரியன்
bijayapur	விஜயபுரி
bhogapuram	ஹொசபுரம்
bhattiyali	ஹத்தியால்
bharatmata	ஹரதத்த
bernardin	பெர்னார்டின்
bernandin	பெர்னாண்டின்
bermudasat	பெர்முடாத்
berlingen	கெர்லிங்கென்
beresford	பெரெஸ்ஃபோர்ட்
berardini	டெர்மர்டினி
bennelong	பென்னெலோங்
bengkayang	ரெங்காங்
bengaluru	பெங்களுரு
benavarri	என்பவற்றின்
bellingdon	வெல்லிங்டன்
bellinelli	வெல்லினெழி
bellermann	எல்லெர்மான்
bellavista	எல்லாவித
bellarmin	பெல்லார்மின்
beddingen	கெட்டிங்கென்
bayramali	அயிரமலை
bayanuddin	அய்ன்சுட்டின்
bavikonda	கவிகொண்டல
battalname	அத்தலமே
bassarides	அப்ஷரிட்ஸ்
basnahira	பஸ்னாஹிர
barvarica	அறுவரிசை
barangaroo	பரணரோ
bapineedu	ஆபினேட்டு
banyumasan	அஞ்சுமான்
banomyong	பனோம்யொங்
bangkinang	ஹங்கினன்
bandilaan	ஆண்டிலான
bandettini	அண்டத்தினை
balwantrai	அலந்தரை
ballarpur	மல்லர்பூர்
balladino	பல்லடினோ
ballaarat	வல்லாரைத்
balarampur	மலரம்பு
balaputra	பலபுத்ரா
bairamali	அயிரமலை
baharuddin	ஆர்வுட்டின்
bahangala	அஹங்காள
bagaraatan	ஆராதன
badruddin	அண்டர்வுட்டின்
badreddin	ஆல்ட்ரெட்டின்
badaruddin	ஆர்வுட்டின்
badarayana	நாரயண
bacarratti	அசரத்தின்
ayyankali	அய்யன்காளி
avramidis	அவரமிடிஸ்
avantipur	அவந்திபுரி
avannaata	வனநாதர்
avalokita	அவலோகித
atharamura	தரமுறை
athamanika	தமனிகள்
athalantar	ஹாலந்தர்
atakalaua	சத்யகலா
askeladden	ஸ்கெளட்டின்
arvanítika	அவந்திகா
arunkumar	அருண்குமார்
arunachala	அருணசல
arnolfini	அர்னோல்ஃபினி
armeniacum	அரெனியசு
ariyannur	அரியன்னூர்
ariyallur	அரியல்லூர்
ariyakudi	அரியக்குடி
arenosella	ரென்ஸெல்லர்
ardennaise	ஆர்டென்னஸ்
arandilla	இரண்டில்லை
arakkonam	அரக்கோனம்
aprahamian	பஹமியன்
apiculata	ஹபிசுல்லா
apicridium	பிரிடினும்
aparajita	அபராஜித
antonelli	அந்தோனெல்லி
antakarana	நகரான‌
annapolis	அன்னபோலிஸ்
annamayya	அன்னமய்யா
annamaiyah	அண்ணமைய
anhuiensis	அனிடென்ஸிஸ்
anguttara	அங்குத்தர
angampora	அங்கம்பொர
analamanga	நலமான
anakkayam	அனக்காயம்
amritsari	அம்ரித்ஸரில்
ampullatus	அன்புள்ளது
ammanatini	மனதின்றி
aminidivi	மினிடிவிடி
amerikanka	அமெரி்கக
amerikaans	அமெரிகாஸ்
americahal	மேரிசால்
amarualik	மறுதலைக்
amarateca	மத்ரதேச
amarasimha	மரசிம்ஹ
amalfitana	மலிந்தன
amalafrida	மலரிடை
al-qantara	பலன்தர
al-mutamin	அழுத்தமின்
al-makarim	அழகரிடம்
allingham	பெல்லிங்ஹம்
al-jamarat	ஆலமரத்
al-hintati	அழிந்ததை
alessandro	அலெஷந்டர்
alessandri	அலெஷந்டர்
aleksandr	ஒலெக்ஸாண்டர்
alejandro	அலெஜண்ட்ரோ
al-diriyak	அல்டிரியம்
aldingham	லெடிங்ஹாம்
al-barakat	பலரகத்
alanthurai	எலந்துறை
alangalang	லங்டாங்
akmolinsk	அக்மோலின்ஸ்க்
akkermans	அக்கெர்மான்ஸ்
akatthiyar	அகத்தியர்
airaavatha	ஐராவத
ahavaniya	ஹவானியன்
aharonyan	ஹரோனியன்
aharonian	ஹரோனியன்
agrariarum	ஆரியரும்
agnipurana	நிபுராண
aestivaria	அஸ்திவார
adulitanum	டுழிதரும்
adrenalina	அட்ரெனலின்
ad-dukkali	அடுக்களில்
ackerville	செர்வில்லே
aangirasa	ஆங்கிரஸ
ƿitena	இதென்ன
þyncan	யென்சன்
Þveitar	வெதர்
Þoskar	ஒஸ்கார்
Þjalar	ஜலைர்
zytaruk	தருக்
zymelin	மெலிந்
zwiesel	இஎஸ்எல்
zwennes	என்னெஸ்
zweeloo	ஏலோ
zverki	வெர்கில்
zvasiya	வைய
zuying	குயிங்
zuungar	ஊணர்
zutrasa	உத்ரா
zurita	குறித
zurawik	உரைக்
zurara	குரர
zuntian	உந்தன்
zuntata	ந்தத
zungri	டுங்ரி
zundel	உண்டேல்
zumpano	உம்பன்
zumaya	சுமய
zumate	உமதே
zumaia	உமைய
zulueta	உழுத
zulian	உழியன்
zuliana	உளன
zuliana	உளன
zulevic	உலெவி
zuidloo	உடலோ
zuhair	குஹைர்
zuccato	உச்சத்
zuarin	உதரின்
ztrans	தெரன்ஸ்
zrinski	ரிஸ்கி
zravan	அரவன்
zossen	ஓஷென்
zorkin	ஒர்க்ஸின்
zorkian	ஒர்கன்
zorica	ஒரிசா
zorian	ஒரிகன்
zordon	மொர்டொன்
zorava	கொறவ
zorana	பொறன
zootaxa	ஓதா
zooras	சோரஸ்
zooppa	தோப்ப
zoopla	நோப்ல
zoopigi	ஓபிஇ
zoonami	ஓணம்
zoomrap	ஓரப்
zoomcar	ஓசர்
zooline	ஓலின்
zontar	சொந்தர்
zongmi	டொங்மி
zonaras	நரஸ்
zoltan	ஒழிதன்
zollar	கொல்லர்
zolder	கொல்டெர்
zolani	ஒலனில்
zoland	கொலண்ட்
zokuryu	ஒகுரு
zoilus	ஒகிலுஸ்
zogolli	ஓல்லி
znamya	நம்யா
znaider	நைட்ர்
zmirak	மீறக்
zmilis	எமிலிஸ்
zmiinyi	மீனி
zmanda	மண்டா
zliving	இவிங்
zletovo	லெதோ
zlatar	லக்தர்
zlatan	லாதன்
ziying	சியிங்
ziyara	இயற்ற
ziviani	இவ்அணி
zittel	இத்தேள்
zittau	இத்தரு
zitlala	இதழ
zitelli	தெல்லி
zisser	ஃபிஷெர்
zissel	மிஷெல்
ziskin	விஸ்கின்
ziskey	சிஸ்கெய்
ziruela	இருள
zirrar	மிற்றர்
zirkus	இர்குஸ்க்
zirkon	இர்க்கொன்
ziring	டிரிங்
zirids	இரிடிஸ்
ziranma	இரண
zippor	இப்போர்
zippin	விப்பின்
zippies	இபிஎஸ்
zippee	பிப்பே
zipfel	கிப்ஃபெல்
zipari	இபரிக்
zipani	இப்பனி
zipang	திபங்
zipacna	பச்ன
zintla	இந்தல
zinter	பிந்தெர்
zintani	இதனி
zinser	பின்ஸெர்
zinoman	இன்மன்
zinner	பின்னெர்
zinnen	பின்னென்
zinneke	இன்னே
zinnato	இந்நத்
zinkin	லின்கின்
zinker	பின்கெர்
zindler	இன்டெர்
zindata	இநத
zindan	இன்டரன்
zindani	இண்டை
zindagi	இண்டை
zincken	இன்சென்
zincali	இசலி
zinave	இனவே
zimmer	பிம்மெர்
zimmern	இம்மென்
zimmel	கிம்மெல்
zimelis	மெலிஸ்
zimara	ஐமர
zimapan	மபன்
zilmer	வில்மெர்
zillis	ஹில்லிஸ்
zillich	இல்லிச்
zilles	வில்லெஸ்
zilker	கில்கெர்
zilina	இழிந்த
zilian	இலினன்
zileri	இல்என்றி
zilant	இழந்து
zilahi	இலைஹி
zikris	டிக்ரிஸ்
zikaras	இகர
zijing	யிஜிங்
zifeng	சிஃபெங்
ziering	எரிங்
zidanta	இடந்த
ziarat	இஅரது
zianids	அனிடஸ்
zhulla	ஹுல்லஹ்
zhulin	ஹூலின்
zhuguli	ஹூலி
zhores	ஹொரேஸ்
zhodino	ஒடினொ
zhiyuan	ஹியுன்
zhixing	ஹீங்
zhirui	ஹிருணி
zhirang	ஹிரண்
zhining	ஹீங்
zhiming	ஹீங்
zhilino	ஹிலின்
zhilian	ஹிலின்
zhijin	ஹைஜின்
zhidar	ஹிடலர்
zhenyan	ஹெனன்
zhentil	என்தில்
zhennan	ஹெனன்
zhennan	ஹெனன்
zhenmin	எண்மின்
zhenla	ஹென்லஸ்
zhenlan	ஹெலன்
zhenkai	என்கை
zhenjin	என்ஜி்ன்
zhengyangmen	ஜெங்யாங்மென்
zhengs	ஹேங்ஸ்
zhenfan	ஹெனன்
zheneni	ஹென்னி
zhendan	ஹெனன்
zhekar	ஹெக்லர்
zhaoyan	ஹயன்
zhaolin	ஹலின்
zhanran	அன்ரண்
zhanna	ஹன்னா
zhangs	ஹாங்ஸ்
zhangke	அங்கெ
zhangdu	ஹன்டு
zhaneta	ஹந்த
zhanar	ஹானர்
zhalta	ஹல்தர்
zhakata	ஹகா
zeytung	எயுங்
zeytin	மெய்தின்
zeynel	மெய்னெல்
zeydin	ரெய்டின்
zeydel	செய்டெல்
zeveren	வெரென்
zetter	பெத்தெர்
zetten	எத்தேன்
zettels	எத்தெல்
zettek	செத்தெக்
zetlin	எதிலின்
zetland	எலண்ட்
zetina	எய்தின
zetian	எதியன்
zestars	எஸ்தர்
zervas	செர்வஸ்
zertal	தெர்தல்
zeroman	எர்மன்
zerocal	எர்சல்
zernik	பெர்னிக்
zerner	செர்னெர்
zermano	எர்மன்
zerkel	மெர்கெல்
zerkalo	எர்கல்
zerika	எரிகா
zerdin	எர்டனின்
zerdana	எர்டா
zerain	வெரைன்
zeraim	எப்ரைம்
zepplin	எப்பின்
zepler	கெப்லெர்
zenunim	எனுஇம்
zentrum	என்று‍ம்
zentral	என்றல்
zentis	மெந்திஸ்
zenter	வெந்தெர்
zenrin	ஹென்றின்
zenonis	என்னிஸ்
zennor	என்னொரு
zennist	எண்ணித்
zenner	ஃபென்னெர்
zenned	பென்னெட்
zenkoku	என்க்கு
zenker	சென்கெர்
zenica	எனிசை
zenetti	நெத்தி
zenekar	நெகர்
zeneca	எனெசட்
zendick	என்டிக்
zendesk	என்டெக்
zender	எண்ட்டெர்
zenden	மென்டென்
zendaya	என்டா
zenbook	எனோக்
zenati	என்பதி
zenatic	நதிச்
zenapax	எனப
zenani	என்பணி
zenaku	எனக்கு
zemunik	முனிக்
zempels	எம்பெல்
zemene	எம்என்எஸ்
zemele	எம்எல்எம்
zemail	எம்ஐஎல்
Želtiy	எழுதிய்
zelter	எல்தேர்
zelnik	ஜெல்நிக்
zellman	எல்மன்
zelliot	எள்ளித்
zellik	எஅல்லிக்
zellig	எல்லிங்
zellia	வெள்ளிஅ
zeller	தெல்லெர்
zellem	வெல்லெம்
zellar	ஜெல்லர்
zelina	எலினா
zelima	எலிமஸ்
zelica	எலிசன்
zeletin	ஏதின்
zelena	எலெனா
zelden	செல்டென்
zeldas	எல்டாஸ்
zelande	எலண்ட்
zekreet	எக்ரே
zekley	பெக்லெய்
zeilin	எவிலின்
zeilan	எழிலன்
zehner	லெஹ்னெர்
zefram	எஃப்ரைம்
zeesse	தேஷெ
zeesen	எம்எஸ்என்
zeenath	ஏனத்
zeekey	ஏகேய்
zeehan	சேஹன்
Žednik	செட்னிக்
zednik	செட்னிக்
zedjali	எட்ஜை
zediker	டிகெர்
zederik	டெறிக்
zeddam	எட்டாம்
zebeden	ஏடென்
zebedee	ஏடே
zealand	அலண்ட்
zdenko	டென்கோ
zdenka	டென்கா
zdenek	டெனெக்ஸ்
zbrodni	ரொட்னி
zazarac	ஆரச்
zazalla	ஆல்ல
zayyad	சய்யட்
zaydan	அய்டான்
zaydani	அயனி
zavida	அவிடா
zavella	வெள்ள
zavalla	வல்ல
zavalia	அவல
zavalaz	அவல
zaurus	மௌருஸ்
zaurum	கௌரும்
zaurak	அசுரக்
zaumel	அலுமெல்
zattere	அத்தே
zatelli	தெல்லி
zatara	அதரம்
zatanna	தந்ந
zarudny	அருஞ்
zarthan	அர்ஹன்
zarren	அர்ரென்ட்
zarraga	அர்ரா
zarouni	அருணி
zarmina	அர்மின்
zarkon	அர்கோன்
zarkarpattia	அகர்பத்தியை
zarkana	அகன
zaritza	அரித
zariski	ரிஸ்கி
zarins	கரின்ஸ்
zarian	அறிவன்
zarhum	மர்ஹும்
zardis	கர்டிஸ்
zardin	கர்டின்
zardes	பர்டெஸ்
zardana	அரண
zarchin	அர்சின்
zaratas	அராஸ்
zararah	அராஹ்
zarans	ஐரன்ஸ்
zarand	அர்ஜண்ட்
zaramo	பரமொ
zaraias	அராஸ்
zarafa	அறஃபா
zaradas	அராஸ்
zappos	அப்போஸ்
zappia	அப்பிற
zappas	அப்பைஸ்
zappalà	அப்பல்
zapotal	அப்தல்
zapopan	அப்பன்
zaplana	அப்லா
zapayal	பயல்
zapatas	அப்தஸ்
zaparka	பற்க
