yoka	โยคะ
yorkana	ออร์ก้า
yorghan	ออร์ฮัน
yonting	นทิ้ง
yonoson	ออนซอน
yongmin	งมิน
yongin	ออเงิน
yongde	อองเดร
yoakira	โอะกิอะ
yngling	งอิ๋ง
ylinen	ไลเนน
ylfing	ลด์ฟิง
ylfings	ฟิงซ์
yismach	สมัช
yirrell	อร์เรลล์
yinhan	ไอน์ฮัน
yinhang	อนฮัง
yingong	ง่อง
yingbin	งบิน
yinangi	นะงิ
yimpas	ลิมปัส
yicheng	เฉ่ง
yichang	ชัง
yering	เบริง
yelles	เรลเลส
yeingst	เอินส์ท
yecheng	เฉ่ง
ychange	ชัง
yatong	มะต้อง
yating	ละทิ้ง
yatayat	อายัต
yassaba	อัษษา
yasakae	สะแก
yarwell	อร์เวลล์
yarrell	อร์เรลล์
yarkon	อาร์กอน
yarkas	อาร์กัส
yaraana	รานั
yannes	ฮันเนส
yanming	นมิง
yankai	ลั่นไก
yanhai	แอนไฮ
yangshu	อังศุ
yanghai	องไฮ
yangbin	งบิน
yangang	งอั้ง
yanfang	นฟั่ง
yanelle	เนลเล
yandera	อันเดอร์
yandel	ฮันเดล
yandabo	อันดับ
yanchi	อั้งฉิ
yanbing	นบิง
yalung	ตะลุง
yalonga	โลงั
yalding	ลดิ้ง
yaksum	รอักซุม
yakkan	กักกัน
yaiden	ไมเด้น
yahaan	ละหาน
yagchi	อั้งฉิ
yadrich	ดริช
yading	สะดิ้ง
yachnin	ชนิน
yachin	อาจิณ
yaanga	คางั
yaameen	อาเมน
xuchang	ชัง
xtracab	ตราบ
xtampak	ตะพัก
xstrata	สตรัท
xpander	อันเดอร์
xolair	ออลไบร
xmodem	โมเด็ม
xintan	บินตัน
xinhai	ซินไฮ่
xingye	ซิงเย
xingmin	งมิน
xinghai	องไฮ
xingang	งอั้ง
xinfang	นฟั่ง
xilonen	โลเนน
xichong	จ๋อง
xichang	ชัง
xibaipo	ใบโพ
xerneas	เอร์เนส
xebels	เรเบลส์
xdelta	เดลต้า
xclang	ชลัง
xantolo	นโธโล
xanders	อันเดอร์
xananas	นอะนัส
xaaslay	อาลัย
xaaron	บารอน
wytches	ท์เชส
wynmann	นมันน์
wynder	ยอันเดร
wymark	ยมาร์ก
wydmann	ดมันน์
wybrand	บรันด์
wutong	อู่ทอง
wutach	อุทธัจ
wupper	ซุปเปอร์
wudang	กุดัง
wucheng	เฉ่ง
wuchang	ชัง
wrinch	กริ๊นช์
wrendl	เรนดิล
wotton	คอตตอน
worton	โปรตอน
wortis	โพรทิส
worting	อร์ธิง
worsaw	โดรซัว
worsak	คอร์ซัค
worsaae	โอรสา
worrel	โบร์เรล
worrell	อร์เรลล์
wordie	ออร์ดิเน
wonsil	ทอนซิล
wonowon	โนว็อน
wonging	งอิ๋ง
womber	เอ็มเบร
wollst	วอลเลซ
wolley	วอลเล่ย์
wollek	คอลเลค
wollach	ลลัช
wolking	ลกิ้ง
wolder	โฟลเดอร์
wolden	โกลเด้น
wittaia	อิทธา
witling	ทลิ่ง
witland	ตลันด์
witchel	ทเชล
wiswell	สเวลล์
wisting	สทิง
wister	มิสเตอร์
wissam	ริซซั่ม
wismach	สมัช
wiskott	สก็อตต์
wirich	ไอริช‎
wirense	อิเรเน
winther	อินเตอร์
winterm	อินเตอร์
winster	อินเตอร์
winrich	นริช
winnil	อินทนิล
wingti	ถิงถิ
wingson	องซ็อน
wingfor	อิงอร
winant	อภินันท์
wimille	มิลเล
wimani	วิมาน
willem	วิลเลม
willans	อิลลัส
willams	อิลลัส
wilkins	ลคินส์
wilkins	ลคินส์
wilkins	ลคินส์
wilkies	อิลกิซ
wilfer	วิลเฟร
wilemon	เลมอน
wildkat	ลด์คัต
wiknich	กนิช
wikland	กลันด์
wiedii	วิดีโอ
widmann	ดมันน์
wicholo	โชโล
wichman	ชมัน
wichit	พิชิต
wichita	จิตั
wiching	ชิง
wichai	อิ่มใจ
wholey	โชเล่ย์
whitta	จิตตั
whilden	ฮิลเด
whelden	เฮลเด
whalom	ชะลอม
whallon	ฮัลโล
whakari	หาริ
weymann	ยมันน์
wetwang	เอวัง
wetsens	เอเธนส์
westing	สทิง
westens	เอเธนส์
werrell	อร์เรลล์
werong	เปร็ง
werners	เอร์เนส
wermit	เนรมิต
werman	เยอรมัน
werlin	เมอร์ลิน
wentang	นทั้ง
wenrich	นริช
wenming	นมิง
wenkang	นกั่ง
wenhai	เทนไฮ
wengong	ง่อง
wendest	เวเดส
wendel	เรนเดล
wendal	เรนดัล
wenchi	เทนฉิ
wemding	มดิง
weltaba	เอลต้า
welsche	เอลเช
wellins	เอลลิซ
welles	เรลเลส
welkins	ลคินส์
weigong	เว็ง
wehling	หลิ่ง
wedley	เมดเลย์
wechel	เรเชล
webert	เรเบรท
webbii	เสบบี
wchess	เฌซุส
wayampi	ยัมปิ
wauaria	วารั
watties	อัฐทิศ
wattana	อัตตา
wattala	อัตตา
watsoni	วะฏ็อน
watring	ทริง
watling	ทลิ่ง
watkin	แอตคิน
watanay	อัตนัย
wassaja	อัษษา
wasdin	หัสดิน
wasche	ดัสเช
warreni	วรรณิ
warrell	อร์เรลล์
warnes	อาร์เนส์
warnant	รนันต์
warnaar	รนาร์
warings	ริงส์
warche	อาร์เช่
waraich	ไรช์
wappler	อัปเปอร์
wappers	อัปเปอร์
wappani	อัพภัน
wantok	ขันโตก
wannes	ฮันเนส
wannapa	อัณณา
wannama	อัณณา
wanless	นเลสส์
wangyi	อั้งยี่
wangsun	อังศุ
wangshu	อังศุ
wangsa	อังสา
wanghai	องไฮ
wandner	อันเดอร์
wanding	อนดิ้ง
wandern	อันเดอร์
wandern	อันเดอร์
wandel	ฮันเดล
wanang	านัง
wampam	ลำปำ
wambele	มเบเล
waltham	อัลตั้ม
walmart	อัลมัร
wallens	อัลเลส
wallber	อัลเบร์
wallas	ทัลลัส
wallam	ซัลลัม
wallach	ลลัช
walkill	อัลคิล
waling	กะลิง
waleton	เลธอน
walding	ลดิ้ง
waldes	วัลเดส
walcher	อัลเช
walchen	อัลเช
walberg	อัลเบร์
walbaum	อัลบั้ม
walbank	อัลบัฆ
walaru	วารึ
wakling	กลิง
wakamba	กัมบะ
waititi	ไอที
waitiki	ไอที
waipai	ไม้ไผ่
wainer	ไมเนอร์
wailin	ไพลิน
wahuang	อะหัง
währing	หริ่ง
wahpper	อัปเปอร์
wahanga	อะหัง
waffen	วัฟเฟน
waelder	แอลเด
wadling	ดลิง
wadland	ดลันด์
wachna	อัจนา
wachman	ชมัน
wachira	ชิระ
wachee	อะเชเบ
wabaday	อับอาย
waayaha	อาญา
waaris	อาร์ทิส
waarde	คาร์เด
waalkil	อัลคิล
waalkes	าเลส
vychan	อัญชัน
vtornik	โทนิค
vrooman	โรมัน
vrlika	อร์ไลค์อะ
vrittis	ริฏฐิ
vrinimi	ริณี
vrengen	เรเนน
vrellis	เอลลิซ
vredens	เรเดส
vranich	ไรช์
vraney	รันเวย์
vranch	แรนช์
vperiod	เพริด
vowles	ลอว์เลส
vowell	ออร์เวลล์
vourkas	ออร์กัส
vostan	บอสตัน
vorwald	อร์วัลด์
vortis	โพรทิส
vorhoff	อร์ฮอฟฟ์
vorhang	อรหัง
vondel	ล็นเดล
volles	วอลเลซ
vollek	คอลเลค
vollach	ลลัช
volden	โกลเด้น
vlautin	ละติน
vlasina	ลัษณะ
vlakos	ลากอส
vladis	ไลดิส
vittaya	อิทธา
vittana	อิทธา
vittala	อิทธา
viterbo	เทอร์โบ
vitello	เตลโล
vitalba	ตอัลบั้
viskas	ดิสคัส
visiter	อีเทอร์
visean	อิเซตัน
virchow	อร์ชอว์
viraham	ระห่ำ
vipinas	ปินัส
vintter	อินเตอร์
vinther	อินเตอร์
vintela	อินเทล
vinster	อินเตอร์
vinnell	อนเนลล์
villita	ลลิตั
villars	อิลลัส
villach	ลลัช
vilanch	ลันช์
vikrant	กรัณฑ์
viknes	วิฆเนศ
vikatan	กะทัน
viikate	อีแก
vichows	จอว์ส
vichai	อิ่มใจ
viander	อันเดอร์
vhailor	ไฮโล
vettii	เศฏฏี
vestri	เกษตริ
vestan	เวสตั้น
vestan	เวสตั้น
vesling	สลิง
verwey	เซอร์เวย์
verttal	เอททัล
versant	รสันต์
versant	รสันต์
verrey	เฟร์เรย์
vernian	เอร์นัน
verneys	เอร์เนส
vernet	เทอร์เนต
vernets	เอร์เนส
vernesa	เอร์เนส
verners	เอร์เนส
vernaun	เอร์นัน
vernatt	รณัฏฐ
vernand	เอร์นัน
verman	เยอรมัน
veritch	ริตช์
vereins	เรินส์
verdine	รดิเน
verbaan	รบาน
veratti	รัตติ
veranes	เอร์เนส
venusti	อนุสติ
venser	เซนเซอร์
venetii	เนตี
venere	เวเนเร
vendel	เรนเดล
venchi	เทนฉิ
velkaa	เบลก้า
veling	เพลิง
velikii	ลิกี
velfrey	เอลเรย์
veldes	เอลเดสต์
velchev	เอลเช
veklich	กลิช
veddas	เรดดัส
vecher	เมเจอร์
vechaar	จาร
vattan	ดั๊ตตั้น
vatelle	เทลเล
vastis	คัสทิส
vastara	อัษฏา
vashtar	อัซฮัร
vasanti	สันติ
vasanta	สันทะ
varwell	อร์เวลล์
varolii	รอลี
varnae	อาร์แน
varanes	าเนส
varacha	อาจั๊
vantaa	วันทา
vannes	ฮันเนส
vandrer	อันเดอร์
vandon	สันดอน
vandis	แอนดิส
vanding	อนดิ้ง
vandier	อันเดอร์
vandel	ฮันเดล
vanchi	อั้งฉิ
vanaras	ารัศ
vanant	อานันท์
valtra	อัลตรา
valter	อัลแทร์
valsayn	อัลอัยน์
vallese	อัลเลส
vallens	อัลเลส
vallas	ทัลลัส
vallar	อัลลัวร์
vallam	ซัลลัม
vallair	อัลไล
vallain	อัลไล
valkila	อัลคิล
valimar	อัลมัร
valeton	เลธอน
valeros	เลรอส
valenti	แอนธิ
valdris	อัลดิส
valdre	นัลด์เร
valdes	วัลเดส
valberg	อัลเบร์
valasna	ลัษณะ
valacha	อาจั๊
valaamo	ลาม็
vaironi	ไอรอน
vaikai	ไส้ไก่
vaiden	ไมเด้น
vaetta	แอ๊ตต้า
vachira	ชิระ
vachell	เชลล์
vachan	อัญชัน
vacchi	อัจจิ
vabati	อาบัติ
vabalas	าลัส
vaartse	อาร์ทส
vaartha	อาร์ตั
vaaren	ก้าเรน
vaaraa	ภารา
vaahini	อาฮี
uwchlan	ชลัน
utrillo	ริลโล
utrecht	เรชต์
utichi	ติฉิน
uthappa	ทัพพะ
utendi	เทนดิว
utataki	ทากิ
utanede	ตอันเด
utamaru	ทารุ
utalii	ท่าลี่
utakata	ทาฐะ
uswitch	วิตช์
usukpam	สุกำ
usugumo	ซูโม่
usteri	สเตอริโอ
ustawa	สถาวะ
ustares	สแตส
ussurka	สสุระ
uspenia	สเปนิ
usnach	สแนช
ushant	สหพันธ์
ushanas	สอะนัส
usener	เซนเซอร์
usanos	สันโดษ
urville	ริลเล
urumchi	รุจิ
urubici	รุบี
urtecho	เตโช
ursing	รสิงห์
urresti	อร์เรสต์
urofsky	รอฟสค์
urlicht	ลิชต์
urlichs	ลิชส์
urista	ริษฐา
urikki	ริคกี
uriburu	ริบู
urgench	อเรนจ์
urenco	เรนโช
urechia	เรชั่
urchair	ไชร์
urbinas	รบินส
urbanik	อร์ไบค์
urbains	รบินส
urayur	ประยุร
urauchi	รุจิ
urasawa	ราวั
uranga	ระงับ
uralsky	รัลสค์
uralis	อรัลดิส
urakami	ระกำ
upshall	ซ์ฮัลล์
uprarat	ปราฏ
upasana	ปานั
upajati	ปาฏิ
unwille	วิลเล
untalan	นทาน
unreals	นเรลส์
unmacht	ณัชฐ
unkrich	กริช
unitra	นิทรา
unisuit	นิสิต
unisat	ปนิษัท
uniprot	นิโรธ
uniprot	นิโรธ
unidas	นอินดัส
uniates	นิเทศ
ungkaya	งก้า
ungavan	งาน
ungaran	งาน
undaan	งด้าน
unchain	ใจอ่อน
unangas	นอะนัส
unaalik	นาฬิ
umutara	มุทา
umlando	มลันด์
umballa	มัลละ
umayam	มัรยัม
umataro	มาร็
umasaka	มากั
umalali	มาฬิ
umakai	มักได้
umajets	แมตซ์
umaima	ไมไม
umadaha	มะดา
ulting	ละทิ้ง
ulrikka	ลิกขะ
ulrichs	ลิชส์
ullmann	ลมันน์
ulindi	ลีนดิ
ulfilas	ฟิลัส
ulema-i	เลไม
ulbrich	บริช
ulander	อันเดอร์
ulaging	ไลง์
ukrani	กรานิ
ukrainy	กรัณย์
ukraina	ใขณะ
uklein	เคอเลิน
ukhaant	กานต์
ukeles	เคลเวอส์
uisang	ทิสัง
uillach	ลลัช
uicheon	เจ็น
uhlmann	ลมันน์
uhlanga	หลัง
uhland	ชลันด์
uhaimir	ไฮม์อิ
ugalde	งอัลเด
ueldes	เอลเดสต์
uehling	หลิ่ง
udmurt	ดมูร์ต
udayin	ได้ยิน
udayana	ด้านั้
ucucha	ลูชั่
uchise	จิสึ
uchino	ชินโต
uchini	ชิงิ
uchenna	เจนั
ucharal	จรัล
ucello	เจลโล
uberti	เบรธิล
uberbot	เบร็ต
überall	เบรลล์
ubaldis	อัลดิส
uallach	ลลัช
uaitne	ไมต์เน
tyrrell	อร์เรลล์
tyrfing	อร์ฟิง
tyrande	ยอันเด
typeid	ตะเพิด
tynwald	นวัลด์
tydecho	เดช็
tychone	โจเน
tychai	ย้อมใจ
twyning	วนิง
twillie	วิลเล
twilley	วิลเล
twiller	วิลเล
twenity	วนิตย์
twechar	เวชั
tweakin	เวคิน
twality	ไวทย
twaaang	ว่าง
tuulos	บูโลส
tutches	ท์เชส
turrell	อร์เรลล์
turiya	ดุริยะ
turbins	รบินส
turangi	ระงิ
tupper	ซุปเปอร์
tupman	อุปมาน
tupayya	ปัญญะ
tunong	ทุนรอน
tunnell	อนเนลล์
tungkil	งกิล
tungkan	งกัณ
tungkal	งกัล
tunghai	องไฮ
tumtum	สุมทุม
tumpat	ตุมปัต
tulloh	ฮุลลอฮ์
tullaan	ตุลา
tuchone	โจเน
tuchola	โจฬะ
tuchman	ชมัน
tucheng	เฉ่ง
tūbelis	เบลิซ
tubanti	อุบัติ
tsuzuki	ซูกิ
tsutaya	สุตา
tsuseko	สึก็
tsuneya	ซุเนะ
tsunemi	ซึมิ
tsuneko	สึก็
tsuneki	ซึกิ
tsunako	สุนัข
tsukumo	ซูโม่
tsukumi	สุขุม
tsukuba	ซูบั
tsukino	สุขิน
tsukimi	สุขี
tsukiji	สุขี
tsukasa	สุขา
tsukada	สุขา
tsonas	โสมนัส
tsirang	ศรัง
tsiistl	สีตล
tsherim	เสริม
tsewang	เอวัง
tsering	เสิง
tsentr	เซนเตอร์
tseits	เสิร์ตส
tsehai	เซย์ไฮ
tsedong	เซ็ง
tsechus	เสจส
tschlin	ชลิน
tschira	ชิระ
tschai	สนใจ
tsatoke	ษัทเค
tsapare	ซาเร
tsantes	สนเทศ
tsanko	สังโฆ
tsander	อันเดอร์
tsanars	ซาร์ส
tsamiko	ไซโค
tsakane	ซาเน
tsahars	ซาร์ส
tsafiki	ไซคิ
tsaagan	สะอ้าน
trutech	รึช
trungy	รุงเย
trulen	ตรึง
truffot	รุฟโฟ
trouche	โรเช
trotman	โรมัน
trotier	โรเตอร์
troster	โรเตอร์
trossi	รอสซี่
tronto	บร็อนต็
tronson	ออนซอน
trongum	โทงุ
tromper	โรเมอร์
trommer	โรเมอร์
trolloc	รอลโล
trojane	โระเน
trodeon	อร์เด็น
trochel	อร์เชล
troarne	โระเน
troana	โระเนะ
trnfest	อร์เนสต์
trittin	ริฏฐิ
tritse	ริตสึ
tritsch	ริสช์
triten	บริเตน
tritel	รีเทล
trissa	ริซซั่ม
trischa	ริสช์
trisara	ริศา
tringas	ริงส์
trinch	กริ๊นช์
trillke	ริลเล
trikala	ริกา
trikaal	ริกา
trifan	ไรฟัน
triesch	เรสช์
triamps	รอัมพ์ส
treusch	เรสช์
treuen	เรื้อน
tretsch	เรสช์
tressin	เรซิน
tresina	เรซิน
treres	เรดเรซ
trensch	เรสช์
trenor	เรนโฟร
trendle	เรนเดอ
trendex	เรนเดอ
trenale	เรนัล
tremain	อร์ไมน์
treinta	เรินต์
treille	ริลเล
trehan	เรชั่น
trefor	เรนโฟร
treffen	เอฟเฟน
tredre	เรดเรน
tredell	เรเดล
trebil	เรเบิล
trebel	เรเบิล
trebein	อร์เบิน
trapeng	แร่ง
transue	รณ์สึ
transat	ระณัฐ
trangia	ระงิ
tranent	แรนต์
trampus	รอัมพ์ส
trampe	พร่ำเพ้อ
trampa	รัมภา
trampas	รอัมพ์ส
trammps	รอัมพ์ส
tralles	อัลเลส
traken	ประเคน
trajana	รานั
traing	ระวิง
trainde	ตอันเด
trailok	ระลอก
traicho	ไรช์
traian	ไรฟัน
traiana	รานั
trahan	อร่าฮัน
trachey	ระเหย
trabue	ราบึ
traben	กระเบน
trabada	ราดั
townson	ออนซอน
towles	ลอว์เลส
towell	ออร์เวลล์
totton	คอตตอน
totonga	โอ่โถง
totland	ตลันด์
totang	คอตั้ง
tostino	ออสติน
tostan	บอสตัน
tossals	ออสซัส
toshach	สหัช
tosatti	สัทธิ
tortal	พอร์ทัล
torres	ทอร์เรส
torning	รนิง
tornerà	ทอร์เน
tornel	คอร์เนล
torlek	โทรเลข
torleif	อร์เลิฟ
torhus	ออร์ฮูส
torfaen	ออร์เฟน
torell	ออร์เวลล์
torello	เรลโล
torbet	คอร์เบต
topanas	โอภาส
topaana	ปานั
tonnant	นนันต์
tongkat	งกัต
tonger	อองเดร
tongbin	งบิน
tonello	เนลโล
tonder	อองเดร
tomkins	มกินส์
tomino	โดมิโน
tomeing	เมิ้ง
tombak	กอมบัค
tomamae	มะแม
tomalak	มะละกอ
tolonen	โลเนน
tolmai	ออลไมท์
tolley	วอลเล่ย์
tolles	วอลเลซ
tokong	ออกโรง
tokichi	กิจิ๋
tokaanu	ขาณุ
toffies	ออฟฟิศ
todman	ทอดมัน
tochnit	ชนิต
tóchair	ไชร์
tochair	ไชร์
tobana	โทะเนะ
tmolos	มอลโทส
t-model	โมเดล
tlinkit	ลิขิต
tlidon	ลิดรอน
tlappan	อัพภัน
tkhines	คิเนส
tittiri	อิตถี
titmas	ลิตมัส
titland	ตลันด์
tisdel	ทิสเดล
tiruchi	รุจิ
tirrell	อร์เรลล์
tirich	ไอริช‎
tirfing	อร์ฟิง
tippins	ปปินส์
tinwald	นวัลด์
tintner	อินเตอร์
tintern	อินเตอร์
tinputz	อินพุต
tinner	วินเนอร์
tinkang	นกั่ง
tingrey	งเรย์
tingmon	งมอน
tingman	งมัน
tingkat	งกัต
tingkan	งกัณ
tingaki	งะกิ
tinang	ปินัง
tinamba	นัมบะ
timores	โมเรส
timkang	มกัง
timion	ที่นอน
timere	ติ‌เมตร
tilmann	ลมันน์
tilles	กิลเลส
tillem	วิลเลม
tillai	วิลไล
tilaiya	ไลยั
tikkana	กกะณะ
tikanta	กันทะ
tikadat	ทิคัต
tiernan	เอร์นัน
tichit	พิชิต
tichitt	จิตต์
tibati	วิบัติ
thüring	หริ่ง
thurii	จุรี
thulung	หลุง
thuesen	หืน
thuenen	หืน
threnal	เรนัล
thrangu	หรั่ง
thrake	จระเข้
thornie	โฮร์เน่
thornet	โฮร์เน่
thornes	โฮร์เน่
thorner	โฮร์เน่
thoren	โชเรน
thoraya	โหรา
thoning	หนิง
thomann	โฮันน์
tholey	โชเล่ย์
tholen	โฮลเด้น
thingus	ฮิงซ์
thingso	ฮิงซ์
thines	ไฮเนส
thialfi	ฮิลฟิ
therons	เฮ็นส
thernes	เอร์เนส
thermon	เหม็น
therle	เทรลเล
theonus	เฮ็นส
theonas	เฮ็นส
theodos	เห็ดโ
theodor	เห็ดโ
theodon	เห็ดโ
thenne	เทนแน
thenga	เหง้า
thelin	เหลิง
thebai	เฮลไบ
theanae	ฮั่นแ
thayers	แฮร์ส
thawin	หัวหิน
thawan	หัวพัน
thapari	หาริ
thanthi	ฮันทิ
thanon	หัวนอน
thangai	ฮะงิ
thandwe	ฮันเด
thandi	แฮนดิ
thandie	ฮันเด
thaman	หัวมัน
thamama	ฮามั
thalang	หลัง
thakin	หากิน
thakhek	หักเห
thaimu	ไฮมู
thaikek	ไฮเคอ
thagard	ฮาร์ด
thaenae	ฮั่นแ
thadimi	ไฮม์อิ
thadden	ฮัดเด
thaata	ชาตั
thaarus	ฮาร์ส
thaana	หายนะ
thaadi	ฮาร์ดิ
tewolde	วอลเด
teweles	เวเลซ
teuren	เทือน
tetsuge	เอตสึ
tesrin	เกศริน
tesillo	ซิลโล
tertnes	เอร์เนส
terrey	เฟร์เรย์
terreus	เอร์เรซ
terrell	อร์เรลล์
terongi	โรงิ
terning	รนิง
ternat	เบร์นัต
ternata	เทอะทะ
ternana	เอร์นัน
termit	เนรมิต
terman	เยอรมัน
termaar	รมาร์
terlin	เมอร์ลิน
terkay	เดรคัย
terenas	เรนัส
teredon	เรดอน
terbang	รบัง
tensas	แอนซัส
tensai	เอนไซม์
tennant	นนันต์
tennae	เทนแน
tengkat	งกัต
tendal	เรนดัล
tenchi	เทนฉิ
templos	เทมโป
temair	เดอไมร์
telwet	เวลเวต
telsche	เอลเช
telnaes	ลอแนซ
tellius	เอลลิซ
telles	เรลเลส
tellas	เวลลัส
teleton	เลธอน
telemon	เลมอน
teknik	เทคนิค
tekken	เอกเขนก
techwin	ชวิน
technis	จณิส
techint	จินต
tebelak	เบลัค
tchula	จุฬา
tchouba	จุบั
tchota	โชธา
tchorny	จอร์น
tchimpa	ชิมั
tchiang	ชัง
tcharak	จาค
tchakey	แชย์
taycan	อัญชัน
tayasal	าซัล
tayang	ระยัง
taxales	าเลส
tawunu	ถั่วพู
tawanna	วัณณะ
tawang	ระวัง
tavares	าเรส
taugani	ธาณิ
tatong	มะต้อง
tatomir	อะตอมิ
tatnam	พัทนัม
tating	ละทิ้ง
tatanya	ะธันญ์
tatang	กะตัง
tatalon	ตะลอน
tasman	มัสมั่น
tasini	อัศวินิ
tasche	ดัสเช
taryam	มัรยัม
tarsata	ทาฐะ
tarrey	อาร์เรย์
tarrech	อร์เรช
tarong	มะโรง
tarkon	อาร์กอน
tarkin	อาร์คิน
taridi	ใต้ดิน
tarichi	ทริช
tarhan	อาร์ฮัน
tarbell	อร์เบลล์
tarandi	ทรันด์
tarakam	ระกำ
tappman	อัพภัน
tappert	อัปเปอร์
tappero	อัปเปอร์
tappans	อัพภัน
tappaan	อัพภัน
tapling	ปลิง
tapanta	พันธะ
tapanes	าเนส
tapales	าเลส
tanton	บั่นทอน
tantine	นทิเน
tanthar	ตัณฑะ
tantan	พันตัน
tantany	ะธันญ์
tanong	คะนอง
tannes	ฮันเนส
tannaka	อัณณา
tanken	ทั้งคน
tangshu	อังศุ
tangsa	อังสา
tangku	มังกุ
tanghal	งฮัล
tangela	อะเงะ
tangch	อั้งฉิ
tangara	ธารั
tandon	สันดอน
tandler	อันเดอร์
tandai	กันได
tanasts	ตาตส์
tanang	านัง
tamwan	อัมพวัน
tamspan	อำพัน
tamson	สำส่อน
tamrun	อำรุง
tampuan	อำพัน
tampans	อำพัน
tammer	ซัมเมอร์
tammany	อัมมัน
tammann	อัมมัน
tamkang	มกัง
tamasna	อาสนะ
tamangs	มังส
tamaiti	ไมถิ
talung	ตะลุง
talofa	อะโลฟา
talmash	อัลมัส
talmark	อัลมัร
talmans	อัลมัส
talluau	อัลลู
talley	วัลเล่ย์
tallasi	อัลไล
tallaia	อัลไล
talitsk	ลิทซ์ค
taling	กะลิง
taleton	เลธอน
talenti	แอนธิ
taleng	ตะเลง
talcho	กัลโช่
talcher	อัลเช
talberg	อัลเบร์
talbani	อัลไบ
talayan	อายัน
talanam	านัม
talamud	ละมุด
talalay	อาลัย
talaiot	อะไลต์
talaing	ไลง์
taladas	อัลดัส
taksin	ปักษิน
taksas	ลัคซัส
taknaa	ลัคนา
taklung	คลุ้ง
taklong	กลอง
takkan	กักกัน
takechi	เกจิ
takchak	คชัค
takaaki	คากิ
taisuke	ไอสึ
tairona	ไอรอน
taipai	ไม้ไผ่
taiowa	ไอโอวา
taioron	ไอรอน
tainer	ไมเนอร์
tainan	ไอน์ฮัน
tailles	อัลเลส
tailey	ไบเล่ย์
taikei	ไมเคิ
taiheo	ไทโช
taihang	อะหัง
taifun	ไต้ฝุ่น
taicho	ไดโช
taiamai	ไอไม
tagalas	าลัส
taffin	มัฟฟิน
taewang	เอวัง
taensa	แอนซัส
taejong	แอ็ง
taedong	แอ็ง
taebong	แอ็ง
taebaek	เอแบค
tading	สะดิ้ง
tadaaki	ดากิ
táchira	ชิระ
tachin	อาจิณ
tachina	ชินั
tachii	อาฉี
tacheng	เฉ่ง
tachai	เอะใจ
tacchi	อัจจิ
tabong	ตะบอง
tabarre	อาร์เร
tabares	าเรส
tabang	กะบัง
taarna	ธารณั
taanit	มานิต
taaffe	วาฟเฟ
szpital	พิทัล
syunik	ยูนิค
syukuro	ยูโร
sysling	สลิง
syngman	งมัน
synder	ยอันเดร
syksii	ยักษี
sybrand	บรันด์
syamaka	ยากั
switala	วิธา
swirbul	วิบุล
swinne	วินเนอร์
swining	วนิง
swilley	วิลเล
swikri	วิกฤติ
swikart	วิกฤต
swenet	เวแนท
sweller	เวลเล
swegles	เวเลซ
sweere	เวเนเร
swedens	เวเดส
swedana	เวด้า
swatton	วะฏ็อน
swatara	วารั
swapper	อัปเปอร์
swanton	วะฏ็อน
swanny	วังน้อย
swanley	วันลอย
swander	อันเดอร์
swally	วัลเล่ย์
swaller	วัลเล
swaithe	ไวต์ฮ
swaisey	ไวศย
swaile	ไวลเด
swades	วัลเดส
swachch	อัจฉ
suwalki	วัลคิ
suusan	สุสาน
suurbi	อูร์บี
suttana	สุตา
sutong	อู่ทอง
sutling	ทลิ่ง
suteri	สเตอริโอ
suslin	กุศลิน
susillo	ซิลโล
suruchi	รุจิ
surrell	อร์เรลล์
surmang	อร์มัง
suriya	ดุริยะ
surhoff	อร์ฮอฟฟ์
surenen	เรเนน
surenas	เรนัส
surbii	อูร์บี
supriya	ปริยั
suprana	สุรา
supant	อนุพันธ์
supaero	แพร็
sunwing	นวิ่ง
sunwell	นเวลล์
sungbuk	งบุค
sunding	อนดิ้ง
sunbati	อุบัติ
sunanta	นันทั้
sumitta	มิทธะ
sumati	อนุมัติ
sulton	ซุลฏอน
sulatar	อุฬาร
sukchon	กช็อน
sukanta	กันทะ
südwest	ดเวสต์
súdwest	ดเวสต์
südring	ดริง
suchten	สุชน
suchman	ชมัน
subatoi	อุบัติ
subaang	อบาง
súaltam	อัลตั้ม
sualtam	อัลตั้ม
sturves	ทุเรศ
sturii	ตุรกี
sturges	ทุเรศ
stubai	ตูไบ
strude	ทรูเด
struch	ทรูช
strongs	ตรอง
stromer	โรเมอร์
štromas	โธมัส
stroman	โรมัน
strollo	รอลโล
stripp	ตรีภพ
stringz	ทริง
stringe	ทริง
strikas	ทริกซ์
streng	ตรึง
streich	ทริช
straya	ทรัยา
strawn	ตระเวน
strawe	ทราเว
strauks	ทรักษ์
strauch	ธรัช
straton	ทอะธอน
strati	ทราธิ
stratis	ธรัฐส
strates	ธรัฐส
straten	ทรัตน์
stratas	ทราซ
stratan	ทราน
straram	ทราม
strank	ตระหนก
strangr	รั้งรอ
strando	ทรันด์
strande	ตอันเด
stranda	ทรันด์
stralen	ทะเล้น
straker	ตระกร้อ
straka	ทรักษะ
strahan	ทราน
stradal	ทราล
strache	ธรัช
straban	ตะบัน
straats	ตาตส์
stowell	ท์เวลล์
storrs	ทอร์เรส
storrie	ทอร์เร
stornes	ทอร์เน
storla	โตรไล
storchs	ทอร์ช
storab	ต้อนรับ
storaas	ทราซ
stonea	โทะเนะ
știrile	ตีเล
stirile	ตีเล
