โยคะ	오카
อะซุ	아수
ะภิ	아피
ฮันทิง	안팅
บั่น	版籍
กังไส	악사이
สังเกต	앙케트
นังคัล	창칼
บำนาญ	바나나의
กำบัง	감방
บาซิลัน	白蘭
อะโห	아호
บาร์เรล	박애
แอซ	앳
แอน	앤
ยุร	育兒
ยุ่น	耘
โยส	욧
เยท	아예
เยน	옌
ยัด	아야도
เวล	웰
วอัซ	왓
วัล	왈
วะอิ	와이
วัด	아와
วัด	아와
แอน	앤
อัซส	았
อุ้ง	웅
อุกิ	우키
อุบะ	우바
ตุล	툴
ตุล	툴
ท่อน	τῶν
โทอิ	とい
ตอิม	팀
ติล	틸
ติล	틸
เหลิง	헬싱
เตม	템
เทอิ	테이
เทะ	테아
ตั่ม	탐
ตอัล	탈
ต๋า	ター
สุ่ม	숨
สุ่ม	숨
สึ	수에
สตริง	세팅이
สเตอริโอ	에테리온
สอน	ソン
โซม	솜
สิม	심
สิม	심
สหุ	屬
เซิ	セイ
เซอะ	세아
สัณ	散
ซากุระ	사쿠라
ใส่	僿
ใส่ใจ	사이히
แซลมอน	사에몬
รเย	례
รวิ	뤼
รุซ	룻
อรุณ	润
รุ้ล	룰
รึ	루에
อร์เร	아라레
รอซ	롯
โรอิ	로이
โรแฌ	가로채
มันดี	란디니
มันดี	란디니
รมันเช	로만체
ริษฐา	아리타와
อรี	リー
ริฟ	아리
ริฟ	아리
ริปชั่น	日産
เรตินา	레티나
เรนเดล	렌델
เรนดัล	랜달
เรนดัล	랜달
อเรฟ	아레
อเรฟ	아레
เรอั	레아
รดั๊	아라다
รดั๊	아라다
ระอุ	라우
พรัอ	พระ
พอม	폼
ปอล	폴
ปนิ	앞니
ปนิ	앞니
พิษฐาน	피탄
พี้	피이
เป็	퍼
เผ่น	ペン
เผ่น	ペン
เพลิง	펠링
ประทัง	파탄
ปัณณา	안나카
ปัล	팔
โอเร	オレ
ออร์อะ	오라
โอโณ	오노
โอคิ	오키
โอบั	おば
อะนะ	安在
นย็	뇨
นอุน	눈
นุล	눌
นทิโลป	안티오페
นอร์	նոր
โนอิ	노이
นิพ	닢
นิโอ	니오
นอีกี	이미키의
นี	니이
งอันเด	갠더
เนอุ	네우
เน้น	恁
เนล	넬
เนิ้อ	内
เบอร์ลิน	노벨인
นัฐ	낱
ณัน	南
ณัน	南
นันทา	누산타라
ใน	ない
นัด	アナ
นัด	アナ
นับ	납
อณา	나아
มยะ	먀
มุล	물
มอซ	못
มอร์ฟิน	모리노
โมะงิ	모란이
อมอน	몬
มอล์	몰
มิย	아미의
มิย	아미의
มิฬ	밀
มี๋	ミー
เมศ	멧
เมร	մեր
อเมริกา	アメリカ
ไม่ทัน	麻田
แมตช์อิ	まち
แม่จัน	馬場
ลุน	崙
อัลอะ	阿拉
โลอะ	알코아
ลนั้	لنا
อะเล	앎에
ลิน	嶙
ลิน	嶙
ลิ่ก	알이
ลิ่ก	알이
ลั้น	岚
ละมาน	사마간
อัลอะ	阿拉
คเว	퀘
กวะ	콰
คุท	아쿠토
กุณ	焜
กุอิ	隗
ก้อม	콤
กอบ	야콥
กเค	っけ
กิล	킬
คิบ	킵
เคน	垦
เกล	켈
แก้	카에
ขา	カー
อินั้	이나
อิเค	이케
อิดิ	이디
อิบะ	이바
หญิ	희
หเว	훼
หว่าง	환가
ฮุส	훗
หุ้น	浑
ห้อม	홈
หอบ	홉
หล่ะ	阿拉
หล่ะ	阿拉
ฮิส	힛
ฮัล	할
ให้	還
ให้	還
แห้	해
หับ	합
าณ	ガン
ฟั่น	犯
แอร์	아으
เอ็ส	엇
เอง	엥
เอนั	에나
มุซ	뭇
เอโฆ	에코
ด์เด	떼
อดุล	둘
อดุล	둘
โดลฟิน	돌리네
โดลฟิน	돌이나
ดิ๊บ	딥
ดิอะ	디아
ดิอะ	디아
เด็	데오
เดลฟิเน่	데이네
อเดลไฮด์	델타이다
เดอิ	デイ
เด๊ะ	데아
ดั้น	儋
อดัล	달
แด	答え
ไอค์	아치
จุ	柷
โช่	ちょ
ชนชั้น	畜産
จ้ะ	叉
จัสตัส	핫타
ชะงุ้ม	하눔
ไชน์ส	茶店
บุล	불
โบะ	보아
อบิส	빗
บิ๋น	濱
บอิล	빌
บี๊	비이
บอิ๊บ	빕
เบน	ベン
เบม	벰
เบิ้	아베이
อะบะ	잡다
บัซ	밧
มาสเตอร์	알바세테
บั๊ม	밤
ไบ๊	柏
ใบสั่ง	白羊
อะยิ	아의
อัติ	아티
ะเร	아레
อะนะ	アナ
อัลอิ	알이
อะเค	아케
อ่าง	악
แอน	앤
สุภ	숲
อบิส	빗
ทตฺต	ㄷㄷㄷ
เริ	레이
ใส่	僿
มยะ	먀
จองหอง	弘中
ทุ่งช้าง	廣場
อุรังอุตัง	宣光
จิงจัง	定常
จ้าละหวั่น	하달한
สังฆาฏิ	상카라의
จิงจัง	定常
จิงจัง	定常
จิงจัง	定常
จิงจัง	定常
แอนติโมนี	안티모니
อุตรา	우라사
น้ำยา	남이야
มกันดั้	만다
ละติน	아티나
สลิง	이싱
บินตัน	신탄
นัมบะ	남바
พิมเสน	힘센
เฉ่ง	茨城
วิชั่น	遺産
ริบบิ้น	삔
หยิ่ง	順應
หนัง	훈방
ฮึง	후경
หังส	皇嗣
หงัน	弘安
หยิ่ง	適應
หรั่ง	하이랑
หนิง	하이닝
เห็ง	河中
แฮงส์	衡
เหงี	政司
เหลิง	헬민
เฮไลต์	合理
เห็ง	河東
ฮะงิ	항의
ฮันเด	常德
ฮับเบิ	하베이
โรมัน	으로만
เพลิน	체펠린
นทิ้ง	겐팅
เซนเตอร์	엔테
โนบี	케노비의
ยอันเด	延徳
แอตคิน	아킨
อาร์กอน	아콘
กะรัง	아랑
อัพภัน	사포판
อั้งฉิ	안기
อั้งฉิ	アンチ
ลักไก่	아카이
อารยะ	아카야
ใต้ถุน	자이툰
ใบรับ	아랍
ไมเนอร์	아이네
ไฟนัล	차이날
ไลดิส	아이디
ใต้ดิน	아이딘
บะห์เรน	아렌
แอ๊ตต้า	아에타
อกับไบ	아빠인
อาร์คิน	ダーリン
ก้าเรน	아렌
ระเด่น	라덴
อู่ทอง	주통
เซ็ง	우성
ยูเอส	雲雀
นมิง	俊明
หุนหัน	운하나
งมัน	융만
งอั้ง	운강
กิจิ๋	きち
เอวัง	絶望
เฉ่ง	不逞
สาทิส	사티시
ออร์เวลล์	오웰
คอตั้ง	お湯
โปรตอน	오톤
นทิ้ง	폰팅
งมิน	동민
ออเงิน	동인
อองเดร	頌德
โอะกิอะ	아키라
งอิ๋ง	命令
ไลเนน	林森
ลด์ฟิง	玲
ไอน์ฮัน	인한
อนฮัง	인행
ง่อง	인공
งบิน	인빈
นะงิ	신앙이
ลิมปัส	임파
เฉ่ง	茨城
ชัง	利常
เบริง	예링
เฉ่ง	葛城
ชัง	嫦娥
มะต้อง	압통
ละทิ้ง	안팅
อัษษา	아사바
สะแก	아사카제
อาร์กอน	아콘
รานั	아라나
ฮันเนส	아넷
นมิง	安明
ลั่นไก	満開
แอนไฮ	난하이
อังศุ	杨树
องไฮ	妨害
งบิน	상빈
งอั้ง	앙앙
นฟั่ง	安房
อันเดอร์	안드라
ฮันเดล	란델
อันดับ	安島
อั้งฉิ	アンチ
นบิง	散兵
ตะลุง	아웅
ลดิ้ง	알딘
กักกัน	아키칸
ไมเด้น	아이덴
ละหาน	하안
สะดิ้ง	하딩
อาจิณ	チン
คางั	안가
ชัง	劇場
ตะพัก	탐파
อันเดอร์	판데르
โมเด็ม	모뎀
บินตัน	신탄
ซินไฮ่	인하이
ซิงเย	인계
งมิน	平民
องไฮ	領海
งอั้ง	인강
นฟั่ง	新房
โลเนน	일본은
จ๋อง	寵
ชัง	利常
เรเบลส์	에벳
เดลต้า	델타
ชลัง	次郎
นอะนัส	아난아
บารอน	아하론
อู่ทอง	주통
กุดัง	우당
เฉ่ง	不逞
ชัง	劇場
เรนดิล	렌델
คอตตอน	오톤
โปรตอน	오톤
โบร์เรล	오렐
ออร์ดิเน	오리에
ทอนซิล	온실
งอิ๋ง	東坪
โกลเด้น	올덴
ทลิ่ง	이팅
สทิง	힛팅
ริซซั่ม	리쌈
อิเรเน	이레네
อินทนิล	인일
ถิงถิ	命題
องซ็อน	인손
อภินันท์	인안
วิมาน	위만이
ลคินส์	윌킨
ลคินส์	윌킨
ลคินส์	윌킨
เลมอน	이에몬
วิดีโอ	違い
พิชิต	いち
ชิง	이칭
อิ่มใจ	釵
โชเล่ย์	홀에
จิตตั	히타
ฮิลเด	힐덴
เฮลเด	헬덴
หาริ	하카리
สทิง	셋팅
เปร็ง	페롱
เยอรมัน	에만
เมอร์ลิน	에린
นทั้ง	첸탕
นมิง	文明
นกั่ง	文康
เทนไฮ	文海
ง่อง	本宮
เวเดส	文徳
เรนเดล	엔델
เรนดัล	켄달
เทนฉิ	恩賜
เอลต้า	블타바
ลคินส์	엘킨
เว็ง	北宮
หลิ่ง	悪霊
เสบบี	違い
ยัมปิ	아야미
วารั	와우리
อัตตา	아타나
วะฏ็อน	아토니
ทริง	아링
แอตคิน	아킨
อัตนัย	아타나
อัษษา	아사자
หัสดิน	앗딘
วรรณิ	와렌
อาร์เนส์	아넷
ริงส์	아링
อัพภัน	앞판
ขันโตก	안토쿠
ฮันเนส	아넷
อัณณา	안나파
อัณณา	안남
อั้งยี่	앙의
อังศุ	상순
อังศุ	杨树
อังสา	낭사
องไฮ	妨害
อนดิ้ง	안딩
อันเดอร์	이완된
อันเดอร์	이완된
ฮันเดล	란델
านัง	안방
ลำปำ	팜팜
มเบเล	아벨에
ซัลลัม	السلام
อัลคิล	알킬
กะลิง	大領
เลธอน	알톤
ลดิ้ง	알딘
อัลเบร์	알베릭
อัลบั้ม	알밤
อัลบัฆ	알반
วารึ	왈라루
กัมบะ	마캄바
ไอที	와이티티
ไอที	아티키
ไม้ไผ่	와이파이
ไมเนอร์	아이네
ไพลิน	파일인
อะหัง	大黄
อะหัง	하한가
อะเชเบ	아체에
อับอาย	아바다
อาญา	알아야할
อัลคิล	알킬
อัญชัน	遺産
โรมัน	로고만
อร์ไลค์อะ	りか
ริณี	레비님이
เรเนน	엔겐
รันเวย์	라네요
แรนช์	ランチ
เพริด	페리오
ออร์เวลล์	오웰
บอสตัน	오탄
อรหัง	오랑
ล็นเดล	론델
โกลเด้น	올덴
ลัษณะ	아시나
อิทธา	이타야
อีเทอร์	아이시테루
อิเซตัน	이세탄
ระห่ำ	라함
ปินัส	잎이나
อินเทล	인텔사
กะทัน	카탄
อิ่มใจ	釵
เวสตั้น	에탄
เวสตั้น	에탄
สลิง	悪霊
เยอรมัน	에만
รดิเน	에린에
เวเนเร	에네르
เรนเดล	엔델
เทนฉิ	恩賜
เบลก้า	엘카
เพลิง	悪霊
เอลเดสต์	엘데
ดั๊ตตั้น	ッタン
อัษฏา	아스타라
สันติ	아산티
สันทะ	바산타
อาร์แน	아레나에
าเนส	아랫
อาจั๊	아라하
วันทา	안타가
ฮันเนส	아넷
สันดอน	반돈
แอนดิส	安帝
อนดิ้ง	안딩
อันเดอร์	반디에라
ฮันเดล	란델
อั้งฉิ	アンチ
ารัศ	아나라
อานันท์	아난타
อัลตรา	알테라
อัลแทร์	알테라
ซัลลัม	السلام
อัลไล	알아인
อัลคิล	알킬
เลธอน	알톤
แอนธิ	앤티
นัลด์เร	알레
อัลเบร์	알베릭
ลัษณะ	알았나
ไอรอน	아이러니
ไส้ไก่	아이카기
ไมเด้น	아이덴
แอ๊ตต้า	아에타
อัญชัน	諂
อาบัติ	차밭이
ก้าเรน	아렌
ติฉิน	いち
เทนดิว	텐디
ทากิ	타테와키
ตอันเด	타는데
ทารุ	타마루
ท่าลี่	탈이
ทาฐะ	타카타
ซูโม่	숙모
สเตอริโอ	테리
สถาวะ	소타와
สแตส	스타렛
สเปนิ	세니아
สหพันธ์	シャンティ
สอะนัส	刹那
เซนเซอร์	센에
สันโดษ	사노
รุบี	루비치
รสิงห์	레싱
ริษฐา	잇타
ริคกี	りき
ริบู	리부른
เรนโช	렌초
เรชั่	레히아
ประยุร	라유
ราวั	라싸와
ระงับ	란과
อรัลดิส	라잇
ระกำ	라캄의
ปานั	파산자
ปาฏิ	パーティ
นิทรา	니라
นิสิต	について
ปนิษัท	니사토
นอินดัส	니다
งาน	가란
งด้าน	大安
มุทา	우타라
มลันด์	만도
มัรยัม	마야마
มาร็	마타로
มากั	마사카
มาฬิ	말갈이
มักได้	마카이
ไมไม	마시마
มะดา	마다한
ละทิ้ง	渟
ลีนดิ	インディ
กรานิ	쿠라니
ใขณะ	라이나
เคอเลิน	케인
เคลเวอส์	켈렛
ทิสัง	이상
เจ็น	이헌
หลัง	항아
ไฮม์อิ	하임이
งอัลเด	갈대
เอลเดสต์	엘데
หลิ่ง	悪霊
ได้ยิน	大英
ด้านั้	다야나
จิสึ	赤色
ชินโต	ちの
ชิงิ	루치니
เจนั	城南
จรัล	하랄
เบรธิล	베루티
อัลดิส	발디스
ไมต์เน	아이네
ยอันเด	延徳
ย้อมใจ	羽柴
ดุริยะ	우리야
ระงิ	우량이
อุปมาน	우만
ทุนรอน	운용
งกัณ	융캉
องไฮ	충하이
เฉ่ง	不逞
อุบัติ	반티
ซูกิ	すずき
สุตา	スター
สึก็	수서
ซึมิ	순미
สึก็	쓰네코
สุนัข	스나코
ซูโม่	스쿠모
สุขุม	쓰쿠미
ซูบั	스쿠바
สุขิน	스키너
สุขี	스킴이
สุขี	スキー
สุขา	つかさ
สุขา	스카다
โสมนัส	손맛
ศรัง	시랑
เสริม	세림
เอวัง	세광
เสิง	셀링
เซย์ไฮ	篩
เซ็ง	세동
สนใจ	釵
ษัทเค	사토에
ซาเร	사파르
สนเทศ	산테
สังโฆ	산코
อันเดอร์	산데
ไซโค	사이코
ซาเน	사카네
ไซคิ	사이키
สะอ้าน	사악한
รุงเย	룽
ตรึง	룰은
โรมัน	로만
โรเตอร์	롯테
รอสซี่	롯시
บร็อนต็	로토
ออนซอน	아론손
โทงุ	ロング
โระเน	로잔에
อร์เด็น	로던
โระเนะ	로사나
ริตสึ	리세
บริเตน	리티엔
รีเทล	뤼텔
ริซซั่ม	리싸
ริศา	이사라
ริงส์	리갓
ริลเล	릴케
ริกา	리쿠알라
ไรฟัน	리안
เรื้อน	테르켄
เรซิน	레이나
เรนโฟร	레노
เรนเดอ	人的
เรนเดอ	人的
เรนัล	레날
อร์ไมน์	레만
เรินต์	렌타
ริลเล	레일에
เรชั่น	레호안
เรเบิล	레빌
เรเบิล	레벨
อร์เบิน	레벨인
แร่ง	랭
รณ์สึ	染色
ระงิ	라니아
พร่ำเพ้อ	라페
รัมภา	람파
รอัมพ์ส	라맛
ประเคน	라켄
รานั	라자냐
ระวิง	라잉
ตอันเด	티란데
ไรช์	라이초
ไรฟัน	라이안
รานั	리아나
อร่าฮัน	아라한
ราบึ	라부레
กระเบน	라번
ราดั	람바다
ออร์เวลล์	오웰
คอตตอน	오톤
โอ่โถง	오턴가
คอตั้ง	お湯
ออสติน	오시노
บอสตัน	오탄
พอร์ทัล	오랄
ทอร์เรส	터렛
คอร์เนล	오렐
ออร์เฟน	오랜
ออร์เวลล์	오렐
นนันต์	온난
อองเดร	从而
งบิน	공빈
โดมิโน	오미노
มะแม	도마마에
ออลไมท์	오마이
ออกโรง	코콩
กิจิ๋	きち
ทอดมัน	오만
โทะเนะ	오바나
โมเดล	모델‏‎
ลิดรอน	이돈
อัพภัน	앞판
ทิสเดล	이델
อร์ฟิง	이링
อินเตอร์	인트론
นกั่ง	진캉
งมอน	킹먼
งมัน	인가만
งกัต	잉카타
งกัณ	닝칸
งะกิ	신가키
ปินัง	인장
นัมบะ	남바
ที่นอน	티몬
ติ‌เมตร	메레
ลมันน์	일만인
ไลยั	일이야
กันทะ	칸타
พิชิต	いち
วิบัติ	밭이
จุรี	후리기
หืน	헤센
หืน	후에는
เรนัล	레날
หรั่ง	한구
จระเข้	하케
โฮร์เน่	호리에
โฮร์เน่	호넷
โชเรน	호렌
หนิง	호잉
โฮันน์	호만
โชเล่ย์	홀에
โฮลเด้น	홀은
ไฮเนส	히네
เฮ็นส	헤롯
เหม็น	헤론
เทรลเล	헬에
เฮ็นส	허나
เห็ดโ	허도
เห็ดโ	허도로
เห็ดโ	허도
เทนแน	텐넨
เหง้า	헤나가
เหลิง	헬민
เฮลไบ	和白
ฮั่นแ	하나에
หัวหิน	하위인
หัวพัน	茶碗
หาริ	해파리
ฮันทิ	한티
หัวนอน	하논
ฮะงิ	한가이
ฮันเด	한뒤에
แฮนดิ	한뒤
ฮันเด	한뒤에
หัวมัน	함안
ฮามั	하맘
หลัง	할당
หากิน	하킨
ไฮมู	하지무
ไฮเคอ	하이케
ฮาร์ด	하가라도
ฮั่นแ	해내
ไฮม์อิ	하임이
ฮัดเด	할땐
ชาตั	하야타
ฮาร์ส	하룻
หายนะ	하마나
ฮาร์ดิ	하마디
เทือน	트랜
เกศริน	에린
เอร์เรซ	테르
โรงิ	롱이
เทอะทะ	테라토마
เยอรมัน	에만
เมอร์ลิน	에린
เรนัส	에레나
เรดอน	에런
แอนซัส	엔샷
เอนไซม์	센사이
เทนแน	엔나
งกัต	벵카타
เรนดัล	켄달
เทนฉิ	恩賜
เทมโป	템포
เลธอน	텔레톤
จุฬา	出来
โชธา	ほた
ชัง	池塘
อัญชัน	아찬
ระยัง	자양
ถั่วพู	타웅우
วัณณะ	아와나
ระวัง	아왕
ธาณิ	타운이
มะต้อง	압통
อะตอมิ	아톰이
พัทนัม	안암
ละทิ้ง	안팅
ะธันญ์	탄야
กะตัง	大唐
ตะลอน	해탈온
มัสมั่น	맛만
อัศวินิ	아시니
มัรยัม	아얌
ทาฐะ	아라타
มะโรง	아롱
อาร์กอน	아콘
อาร์คิน	아킨
ใต้ดิน	아이리디
ทริช	탈리히
อาร์ฮัน	아라한
ทรันด์	사란디
ระกำ	라캄
อัพภัน	앞만
อัพภัน	앞판
อัพภัน	앞판
พันธะ	판타
าเนส	아파넷
บั่นทอน	안톤
นทิเน	아니네
ตัณฑะ	타니하라
พันตัน	安曇
ะธันญ์	安曇
คะนอง	아농
ฮันเนส	아넷
อัณณา	안나카
ทั้งคน	안엔
อังศุ	杨树
อังสา	낭사
มังกุ	倉庫
งฮัล	당할
อะเงะ	앙엘라
ธารั	안가라
สันดอน	반돈
กันได	안달이
านัง	안방
อัมพวัน	아완
อำพัน	암산
สำส่อน	감손
อำรุง	아룬
อัมมัน	암만의
อัมมัน	암만
อาสนะ	아맛나
มังส	사망시
ไมถิ	마이티
ตะลุง	아웅
อัลมัส	알만사
กะลิง	大領
เลธอน	알톤
แอนธิ	앤티
ตะเลง	冷
อัลเบร์	알베릭
อัลไบ	알바니
อายัน	알나얀
านัม	살아남
ไลง์	알아인
ปักษิน	아신
กลอง	กลอง
กักกัน	아키칸
เกจิ	아케치
คากิ	타카아키
ไอสึ	아이스케
ไอรอน	아로나
ไม้ไผ่	와이파이
ไอโอวา	아이오와
ไอรอน	아이론
ไมเนอร์	아이네
ไอน์ฮัน	아이난
ไบเล่ย์	愛樂
ไมเคิ	타이케이
ไทโช	타이허
อะหัง	愛上
ไดโช	哀愁
เอวัง	애왕
แอนซัส	안사
แอ็ง	애종
แอ็ง	개동
แอ็ง	개봉
สะดิ้ง	하딩
ดากิ	타다아키
อาจิณ	チン
ชินั	아히나
อาฉี	赤い
เฉ่ง	麻城
เอะใจ	釵
ตะบอง	압송
อาร์เร	아바레
าเรส	바렛
กะบัง	아방
พิทัล	피탈
ยูนิค	유니코
ยูโร	슈쿠로
งมัน	양만
ยักษี	씨이
ยากั	야마오카
วิบุล	위룰
วินเนอร์	쉰네
วนิง	위닝
วิกฤติ	위리
วารั	와타라
วะฏ็อน	안톤
วันลอย	完了
ไวศย	와이스의
ไวลเด	과일에
วัลเดส	와데
สุสาน	수산
สุตา	스타나
อู่ทอง	주통
สเตอริโอ	수트리
กุศลิน	우신
อร์มัง	우랑
ดุริยะ	우리야
เรเนน	우르는
ปริยั	우리야
สุรา	우파나
แพร็	무패로
อนดิ้ง	훈딩
นันทั้	난타
อนุมัติ	马蹄
ซุลฏอน	풀톤
กันทะ	칸타
สุชน	速成
อบาง	우방
ทุเรศ	투렛
ตุรกี	투리
ทุเรศ	투렛
ตูไบ	투바의
ทรูเด	루데
โรมัน	로만
ทริง	링에
ตรึง	렝
ทรัยา	라야
ทราธิ	투라티
ทรัตน์	라텐
ทราน	타탄
ทรันด์	ランド
ตอันเด	티란데
ทรันด์	란다
ทรักษะ	타라카
ทราน	타한
ตะบัน	라반
ทอร์เน	토리네세
โตรไล	トラ
ต้อนรับ	토압
โทะเนะ	토에아
ติดพัน	티파니
ที่พัก	티파
เทอร์เนต	텐에
เตอร์กี	테리
เทปูน	튼
เตลิด	털이다
เทิลร็	테일로
เถิง	텐고
เถิง	特定
ทะเล้น	타율은
ถาโถม	아톰
ทัศนะ	타샤
ตัดรอน	타론
ธารณั	타나
ต้ายั	아라야
ตาเน	타라네
ทอะธอน	안톤
ตังเก	안케
ตังเม	탄게
ตอันเด	타인들
ธาริ	탄리
ทำไพ่	탐파
ทำไพ่	탐파
ทำโทษ	타모
ทำเล	타밀어
ฐาธิ	아마티
ทาฐะ	타만타
ทะเล้น	알켄
ทะเล้น	알덴
ตะไคร้	타카라
ตะเวน	태원
ตอันเด	텐데
ตัดรอน	타던
ใต้ดิน	아딘
ตะบิ้ง	탑인
ถ่ายเท	타테
เรนดิส	레닛
กระนั้น	란산
พริ้ง	팔로잉
พริ้ง	링에
พรึง	페렝
ปรัง	파랑에
ประเคน	파케
ปอร์ตู	포투
โปรตอน	포토
พอร์ทัล	포라
โภคิน	포킨
โปงิ	퐁이
พิตต้า	피타
พิทัล	피탈
พิทัล	이탈에
พิทักษ์	피타
พิซซ่า	이싸
พริ้ง	필링
ปกิณณะ	핀이나
ปกิณกะ	피카
เพลิน	페린
พริ้ง	펠링
เปนเน	펜네
เพดาน	페다인
เผชิญ	페치
ปเวลล์	파웰
ปฏิฆะ	팍티카
ไพที	パーティー
พันธน	판톤
พันธะ	판타
ไปง์	磐井
พัลดัล	팔다
ปะหัง	파한
นพะเด๊ะ	파다
ปาเร	판다렌
ออร์เวลล์	오웰
ออร์แกน	오켄
โลเรนซ์	오렌세
เรเนน	로렌은
ออร์เวลล์	오렐
ทอร์ชั่	お茶
โปลิส	πόλις
โซนาร์	손하
อองเดร	从而
ล็นเดล	론델
โดมิโน	오미노
ออลไบร	올바로
โมกมัน	오만
กิจิ๋	きち
หยัง	오향
เสริม	세림
บัณฑุ	版圖
สัมฤทธิ์	심리
มอร์ฟิ	모리아
โมเดล	모델‏‎
เมร์กัล	메라
เมร์กัล	메카
มากั	마라카
โลงั	龍華
โลชั่น	오찬
ลินิน	陵寢
ลานั	아야나
ละติน	아티나
ละมาน	아만
ไลเค	아이크
ขอแรง	렝
กรามิ	라미
กระถิน	쿠라인
คอรัส	코랏
คอร์พัส	코파
โครคัส	코카
คอร์พัส	코파
โกลเด้น	콜은
กลินน์	킨나
กลาเร	카레
โกเมน	코멘
แกร็น	케론
เคอร์เนล	켄에
กปิง	에핑
ใขณะ	퀴나
กัตต้า	κατά
คาร์เน่	카론에
คัปเป	카펠
การั	캄팔라
กนั้นเค	안케
อันเดอร์	칸델라
กันได	칸다
กัลกิ	칼키
กัลกัต	칼카
อกับเลส	캣
กัลเด	알덴
กอัลบัม	칼바
กาเน	あかね
ใขณะ	카이난
ริยาด	イヤー
ธารั	키타하라
ทิสัง	이상
อิเรเน	이레네
ไซเรน	세이렌이
เรเนน	이레네
เรนัส	이레나
เรนัส	이레나
อินทรา	인티라
ซิงเย	인계
อินเทล	인텔
องซ็อน	인손
อิงอร	징조라
งมัน	인가만
บิงโก	핑코
สิงหั	싱하
งฮัล	인가할
สิเนรุ	ねる
อนดิ้ง	新町
เม็นส์	임언수
ริลภัส	일파
ลิ่งส	일인것
กกิ้ง	디코킹
ศีติ	시키시마
ทิหิง	힝
ริดดิม	띰
ริดเดล	뗄
เฉ่ง	茨城
วิชั่น	遺産
เบริล	베릴
หวั่ง	후왕
จุไร	후라이
หุนหัน	후난
หนาม	후남
ฮึง	會盟
ฮึง	湖城
จระเข้	하케
หอวัง	호완
โห้หิ้น	호신
ฮ่องเต้	호네
ฮอนโด	혼도리
ฮอนด้า	혼다
โฌนัส	호나
หลิ่ง	홀딩
หมอลำ	호암
โชกุน	호쿠
หลาน	하얀
หยิ่ง	適應
หยัง	海洋
จิตตั	히타
หิธา	이타야
จิไธ	히타치
หิรัณ	히란
หิรัณ	히란
หิรัณ	이란에
ฮีโร่	히이로
หิรัณ	히란
ชิงุ	히나구
ชิงิ	인기
ฮิวมัส	히마
หลิ่ง	石嶺
ชีระ	힘이라
จีนั	힘이나
ฮีน็	힉시노
ไฮเดร	히데
เชเรน	和仁
แฮนดิ	핸디
เฮนช์	헨치
เหม็น	허나
เหมันต์	헤만
เหลือ	헬에게
เฮลเด	헬덴
เหลา	헬마
หายนะ	하예나
ฮัยษัม	하야마
หัวนอน	하원
หัวนอน	한오
หัวน้ำ	ハナ
หัวคิด	하키
หัวพัน	茶碗
หัวซุน	하순
หาวั	하라와
ฮามั	한라마
ไฮร็	하이로
หับเผย	하페
ห้าง	豪放
ฮันทิ	한티
ฮันทิ	한티
ฉันทะ	한탈
ฮั่นแ	한태우
ฮันซ็	한손
หัวนอน	하논
ฮันเนส	한네
จะงอย	한규
ฮะงิ	항의
ฮะงิ	항리
ฮะงิ	昌黎
หันเห	漳河
ฮังเล	항에
ฮะงิ	黃帝
ไฮเนส	하넷
ฮันเดล	하넬
แฮนดิ	한뒤
อันเดอร์	한데로
ฉะนั้น	하난
จันอับ	하나비
ชำระ	함라
หม่อง	함옹
ชำนิ	하마니
แหละ	하멜
ไฮเน	할인제
จักขุ	ハク
หักโหม	하쿠호
หาริ	하카리
หันคา	하카다
ไฮนส์	하인샤
ไฮเน	하인에게
หัวหิน	후아힌
ไฮเน	하이네
หาวั	하가와
หาริ	항아리
ห้าง	하강
ฮันเดล	아델
ฮับบะ	아비바
หาริ	아바리
จะบัน	하반
ฮานอย	하반의
ฮากิ	한바퀴
ชาเร	하라레
หาริ	하레이
อารัญ	하나라의
หาริ	하라이
หาไม่	하야미
ฮามั	하차만
ฮาร์ดิ	하마디
ตัณฑะ	세탄타
ซนิกิ	에스니키
เซอร์วิส	세리
เยอรมัน	에만
เมอร์ลิน	에린
เบริง	예링
เรเนส	텔레넷
เรนัส	에레나
เรบี	테레비의
พันธะ	판타
เรนเดล	엔델
เอลเดสต์	엘데
เซกชัน	세하
เซนเตอร์	세인트
เรดเรน	에렌
เอ็มเบ	촘베
ชินโต	치토
ชิง	휭
ชวัน	치환도
ชมัน	후만
ชเดล	處得
ชึช	初出
ชิเร	赤熱
จอร์ดิ	朝日
โจเร	차호를
โชเล่ย์	홀에
โชก็	チョコ
โชเนน	호엔
โชเวล	호엘
ชิสา	ひさ
ชิเป	歯科
จิณกิ	チン
ชินั	친아우
ชลิต	池里
ชิลเด	힐에
เชรา	헤라
เชงค์	沉
เจิน	臣民
เจเค	헤켈
ชเรเด	測地
เชเบ	河本
ชวัน	茶碗
ชาร์น	諂
ชำระ	치하라
จั๊งค์	ชัก
ฌานิ	禪寂
จะนะ	禪家
แชร์	チャネル
ชะมัด	하마
ชัลเคอ	ชัก
ชะล่า	ชา
แชน	하겐
ชาเด	産地
เสณี	센이치
อัมมัน	암만
เบเธล	베텔
ไอยเรศ	아예렛
อาร์ตั	아와타
ระวัง	아왕
วาริ	마와타리
ซาเน	사안에
อันเดอร์	가운데로
สตูิ	사울이
ตรัง‎	아랑
พัทนัม	안암
ตะวัน	아타와
ตัณฑะ	아타나
อาณิก	아타니
