zya	زيا
tansman	هانسمان
tankara	أَنْكَرَ
tanj	انج
tanihara	انهارا
tangshan	أنشان
tanghal	أنغالي
tangara	أنغارا
tanganas	أناناس
tanfana	انفانتا
taneyamagahara	تانياماغاهارا
tandanya	أنانيا
tamy	أمّي
tamu	أمُّ
tamm	أمم
tami	أمِ
tamaran	أقماراً
tamarani	تامران
tamarama	ماراما
tamanna	أمانينا
tamanian	أماناً
taly	اليّ
talywain	اليوان
talyshi	الجيشِ
talyllyn	أليلين
talwars	الفوارس
talu	آلُ
tals	ألس
talshir	الصغیر
talsarn	السارين
talpanas	الاناس
talm	ألمٍ
talmudah	المداح
talmant	المأنث
talmans	المانسا
tallman	العلمان
tallboys	اللبيس
talland	اللاوند
tallaia	الولایة
tallaght	اللغط
tallaboa	اللابة
taliska	الإسكية
taliqan	الإتقان
talipan	الإسپان
talinas	الإنقاص
taliana	الإبانة
taliahad	الآحاد
talhami	الحامِل
talgarth	الأرث
talayan	الاعيان
talavara	الآڤار
talaqan	الاتقان
talanta	الأنطمة
talanga	المانگا
talamini	الأمنِ
talamba	المامبا
talamban	المبان
talamat	الجامات
talakad	الأكباد
taladas	الأدناس
talaash	الأواش
taky	أكي
takshaka	أكشاك
takiyama	أكياما
takh	أخ
takeyama	أكياما
takeharu	آخَرُ
takehara	آخَرَ
takarna	افكارنا
takarada	أَراضَ
takanawa	كاناوا
takamaya	أكاماي
takaharu	آخَرُ
takadaya	اكاديا
taja	آجا
taillard	اللأرض
taih	آیه
taia	آیة
taht	احط
tahl	أهّل
taharqa	الحارقة
taharka	الحَركة
taharat	الحارات
tagh	آغ
taghliq	أُغلِق
taghlamt	أغلاط
taghlabi	أغلَب
taghaza	الغازى
taghadh	أغراضه
tagbanwa	أبانوا
tafa	افا
tadrart	تادرارت
tadd	آدد
tada	أدا
tadamasa	أداماس
tabr	آبر
tablada	البلادة
taba	أبى
tabatha	ابياتها
tabarka	الباركة
tabarian	أباران
tabaraya	أباراي
tabantha	بانثا
tabanan	آبدانان
taalman	عَالماً
taalbank	البانك
szymany	عزيماني
szyk	زيك
syun	يُن
sysw	يسو
syst	يست
systran	يسيطران
sysq	يسق
sysa	يسا
synn	ينن
syms	يمص
syma	يمة
syla	يلى
syfy	يفي
syed	ئد
sydmark	هيدمارك
syas	يأس
syar	يار
syam	يام
syamaka	ياماوكا
syal	يال
syah	ياه
swynford	وينفرد
swithan	وإثنان
swin	وإن
swihart	وإنهارت
swif	وإف
sweatman	واطمأن
swas	وأس
swartzii	سوارتز
swarajya	واراجي
swantown	وأنطون
swandal	والنضال
swamiini	وَإِنِ
svalbard	البارد
suwaydan	وايضاً
suttana	سُلطانًا
sutarsky	تارسكي
susharma	شارما
suraksha	راكشا
sună	سُن
sumantra	مانترا
sumalaya	مالايا
sulayman	لايمان
sulayem	تُلائم
sukhbir	يُخبِر
suja	سجة
suhmata	سُحماتا
sughayer	غائر
sudrajat	دراجات
sudharma	دهارما
subulata	سُبُلَ
subhadra	بحاضرة
subahdar	باهدار
styr	طير
styrians	تيرانس
styn	طين
styleman	تيلمان
stuttard	تُطارد
stur	سطّر
stum	صُم
stubstad	تُصطاد
strowman	ترومان
stri	تری
strf	طرف
strawny	تراودني
strawhat	طروحات
stratham	تراثًا
stratan	ترابطاً
strasman	راسماً
stranzha	طرازها
stramash	تاماش
strahan	تراثاً
strables	طرابلس
strabane	تراباً
strabain	تراباً
straasha	ترأسها
stjarnan	تجاراً
sthapati	ذَاتِ
sthaniya	ثانية‏
sthanaka	تاناكا
sterstan	ترستان
staz	طاز
staw	تاو
statham	ستاثام
starsha	تمارسها
starland	أرلاند
starkman	أركمان
staraya	ستارايا
staphyla	تأهيلة
stanzani	تانزان
stanyan	ثانياً
stanica	سلطانیة
standly	ستاندلي
stanard	تانكارد
stamnan	ثامناً
stalman	تأقلماً
stallyns	تالينس
stallard	اللأرض
stahlman	تأهلاً
stadtrat	اضطرَّت
stadskanaal	ستادسكانال
ssuk	سُك
sruk	رُك
srl	سيرل
srinatha	إناثا
srbi	ربِّ
srba	ربّة
srak	راك
srah	رأه
sqns	قنس
sqdn	قدن
spartana	سرطانة
sparland	أرلاند
sparkman	أركمان
spal	پال
sota	سطى
sōshaban	شاباً
sosandra	ساندرا
songshan	سنغان
solayman	لايمان
söka	سكّة
snowland	نولاند
snay	ناي
snan	نان
snam	نام
smyl	ميلٍ
smyk	ميك
smrk	مرك
smdt	مدّت
smay	ماي
smarkets	ماركتس
smaranda	اراندا
smaraka	ماراكاي
smal	مال
smalbany	ألباني
smak	ماك
slys	‏ليس
slym	ليم
slyh	ليه
sluj	لُج
slinkard	لإنكار
slinfah	لإنفاذ
slimania	لِمَنِ
slatwall	لأطوال
slak	لاك
slagstad	لاستاد
slad	لاد
skyz	كيز
skyy	كيي
skyshark	يشارك
skylands	كيلاند
skyflash	كفلاش
skya	كيا
skra	کرة
skrayty	كرايتيك
sklyarks	كلاركس
sklansky	لانسكي
skladany	كلداني
skil	كِل
skif	كیف
skaz	كاز
skay	كَيْ
skaw	كاو
skaryota	كاريتا
skanska	سكانسكا
skanawan	كاناوا
skam	كَم
skamania	كأمانة
skaloyan	كاليان
skaldina	كالدنا
skaland	كالاندر
skaf	كاف
skabilly	كابللي
själ	سجلّ
siwanoys	إوانيس
siwaliks	والإكس
sity	إتي
sita	إتا
sisy	إسي
sistanis	ستانِس
sisa	إسا
siry	إري
sirayan	إرادياً
sirajul	لِرَجُلٍ
siny	إنـي
sintran	إنترانت
sinkaram	إنكارا
sinj	إنج
singham	إنغهام
sindika	عِنْدِكَ
sinanan	إنساناً
simz	إمز
simearth	إمارته
simearth	إمارته
simansky	مانسكي
sily	إلي‮
sils	إلس
silahdar	لاحضار
sikhana	إخوانى
sihasana	حَسَنًا
sihanada	هَنَّدَ
sighana	إغوانة
sify	إفي
sidharth	إدارته
siddarth	إدارته
sibt	إبط
siba	إبا
siar	یار
sialanka	الأنكا
shyr	حيّر
shye	ہے
shyamala	حَمَلَ
shwartz	شوارتز
shuwang	شوانغ
shur	حُر
shulama	هُلامية
shub	حُبّ
shsh	هسه
shrawan	حمراوان
showland	هولاند
shosanya	حصانية
shma	هما
shmarya	غمارية
shlonsky	هلنسكي
shirwan	شیروان
shirazi	شیرازی
shinshar	إنشار
shil	هِل
shibana	حِبَّانَ
shenshan	شنشى
shendryn	هندرين
shaz	هاز
shayrat	حائرات
shawtown	هاوتون
shaunaka	هُناكَ
shaumyan	حامياً
shaughan	هاغان
shatzman	حازماً
shatrah	هاتوراه
shas	هاص
shastry	شاستري
sharshal	هارشا
sharmans	هارمان
sharkman	أركمان
sharkham	حاخام
sharkara	حَرارة
sharīʿat	شارات
shariman	هارمان
sharaya	هارمايا
sharawy	هاراواي
sharawa	هاراواي
sharath	حواراته
sharata	بهاراتا
sharanya	أرانيا
sharana	هاريانا
sharakan	أراكان
sharabha	حاربها
shaq	حاق
shapland	هالاند
shantata	هنتاتة
shantar	هوانتار
shantal	شانتال
shanshan	أنشان
shanmata	أنماطًا
shankly	شانكلي
shangha	غانغا
shandra	شاندرا
shandler	هاندلر
shandean	هاندان
shamshad	هامشًا
shamsan	هامشاً
shamiran	امیران
shamian	حامِلاً
shamblin	هامبلن
shamasha	حماسها
shamara	غامارا
shalmar	هايلمار
shalmali	المالِ
shallard	اللأرض
shalgham	الغام
shalawah	الأواه
shalamar	الأمار
shalalth	حالاته
shakyans	حاكياً
shakthan	هاذان
shakesby	هاكسبي
shakatak	هاكاتا
shakara	ذَكَرَ
shakamak	حَكَمَ
shakala	هاسكالا
shakabpa	هاكابا
shajarah	حَجَرًا
shahzad	شاهزاد
shahrara	احرارا
shahran	شاهراً
shahida	شَهِدَ
shahdara	حَضَرَ
shahdan	حاشداً
shahana	هاغانا
shaf	هاف
shaftman	هافمان
shafdan	هالفدان
shadean	هادئاً
shab	هَب
shabran	هابرمان
shabnam	شابنام
shabaran	أباران
shabany	حاصباني
shabala	غابالا
shaa	هَا
shaaban	هارابان
sfat	فأت
sfas	فأس
sfar	فار
setswana	تسوانا
semystra	ميسترى
seldwyla	لدويلة
sebi	سبإ
sealaska	الأسكا
schwarze	شوارز
scalata	صَلَّيْتَ
sberbank	بربانك
sbarbaro	باربار
sayward	ايدوارد
sayr	آير
sayn	اين
sayh	آيه
sayf	أيف
sayfawa	سايفاوا
ṣawt	اوت
sawrahan	اورهان
sawa	آوى
sawatsky	أوتسكي
savamala	أَمَلًا
saum	أُمّ
saumitra	أُمِرَ
saumitra	أُمِرَ
satyrata	ستيرات
satyana	تاتيانا
satsana	اتصالنا
satr	أطر
sathyan	أثريان
sathtal	التهطال
sathima	اتُّهِمَ
sathanas	أتاناس
satdhara	آثارا
satanta	أتلانتا
śatakam	أتاكاما
satakam	أتاكاما
sask	آسك
sashabaw	أصحابة
sasanka	ساسانكا
sasakwa	أساكوسا
sarzana	الرزانة
sary	اري
sartlan	أرتلاند
sartana	ارتأينا
sartaba	الرتابة
sarsina	بارسینة
sarsawa	أريساوا
sarsana	أمرسانا
sarodya	سفاردية
sarnath	سارناث
sarm	ارم
sarmatia	ارماتا
sarmatai	ارماتا
sarmatae	ارماتا
şarl	آرل
sarkash	فاركاش
sarh	آره
sarfaty	بارفاتي
sardhana	أردهان
sardenya	اردنية
sarbanda	اراندا
saratha	أراثوا
sarasat	ارهاصات
sarasan	فَرَسان
saranta	آرانيتا
saransk	سارانسك
saranai	ساراناك
saraland	أرلاند
sarakata	أركاتا
sarahna	ارواحنا
sarabski	أرابسك
sarabha	الرابحة
saraban	أعراباً
sarabah	أراباهو
ṣaqr	اقر
saqr	اقر
saqlabi	انقلابی
saqf	أقف
sany	أنـي
sanyang	انيانغ
santwat	النتؤات
santhan	أنثيان
santhana	آذانا
santanas	أتاناس
santals	أنطابلس
santali	انْطَلِقْ
sanstha	أنشطها
sansthan	استهان
sann	أنن
sanmyaku	سانياك
šank	أنك
sankaty	أنكاثي
sankata	انكاثا
sankasht	أنكاش
sankarah	انكاره
sanj	انج
sanjaya	سانجايا
sanh	أنه
sangshad	انشاد
sangram	انغرام
sanghera	أنغرا
sanghar	أنغارا
sandykly	أنديلي
sandmann	اندمان
sandhaus	اندحاس
sandeman	اندمان
sanathan	ناثان
sanasay	أناسازي
sanandaj	أناندا
samy	أمّي
samthang	امتحان
samstha	المسطّحة
samsthan	مسطحاً
samsama	المسامة
samraat	المرَّات
samm	أمم
sammatha	مماتها
saml	امل
samland	أمالاند
samh	أمه
samgraha	صَراحةً
samb	أمب
sambrasa	أمباسا
sambiria	أمیریة
sambhala	أمبالا
sambanathan	راماناثان
sambalka	أمبالا
sambahsa	أمباسا
samatata	ماتاتا
samanta	أمانتها
samansky	مانسكي
samangan	أماناً
samandar	أماندا
samandağ	أماندا
samanak	أوماناك
samalian	آمالاً
samaali	الْمَالِ
salz	الز
salzthal	الذال
salzmann	الزّمان
saly	اليّ
salynas	ساليناس
salwator	الوَتر
salu	آلُ
salutar	الفُطار
salubria	البریة
ˈsaltsax	سالتسا
saltholm	الثلم
salthill	التحلل
saltford	التفرّد
saltdal	التضاؤل
saltanis	التأنس
salsita	سالِفتا
salsinha	السِنة
salsbury	السُري
salmiyah	المياح
salmiala	المالَ
salmasii	الْمَسِّ
salmanu	الزمانُ
salmakis	الماكس
salmabad	المأبض
salmaan	السمَّان
sallyman	الليان
sallman	العلمان
sallian	اللِّسان
sallarid	اللأرض
salland	اللاوند
sallada	الولادة
salk	الك
salkind	الكِندي
salisha	الإسهام
salinia	الدینیة
saliman	الإمكان
salikala	ألكالا
salihah	الإصحاح
salibury	الإبري
saliban	الإبانة
salheya	الهئية
salghur	الغُرف
salfati	الْفَتْحِ
saleaula	الأُلى
saldina	الدِّينَ
saldeana	الدانا
salatsch	الاتش
salanter	الأنتر
salanta	الأنطمة
salandy	الكاندي
salander	الأندر
salamina	لَمِنَ
salamaua	الأمَّة
salamat	الجامات
salamanu	الآمان
salamano	الآمان
salamand	ألماند
salamah	الاملاح
salalila	اللیلة
salalah	ألالاخ
saladyn	الآبدين
salaban	ألقاباً
saky	أكي
sakthan	آخذاً
saks	أكس
saksala	أكسالات
sakr	أكر
sakhawat	أخوات
sakharam	آخَرَ
sakastan	كاستان
sakaran	أفكاراً
sakalya	اكمالية
sakaldy	ألكالدي
sakalaba	كالابا
saiyaman	اياماً
sairaala	سَأَلَ
saillard	اللأرض
saia	آیة
šahs	أحس
sahr	أحرّ
sahn	أحن
sahnaya	أهناسيا
sahm	أهمّ
sahmata	رَحْمَتَ
sahlman	الحلمان
sahithya	أحذية
sahakyan	حاكياً
sagrada	أغراضًا
saft	آفت
safa	افا
safaryan	فاريان
safarjal	سافارا
sady	أدّي
ṣadr	أضرّ
sadi	أدی
sadh	أده
sadb	ادب
sadamasa	أداماس
sacr	صار
saby	أبي
sabt	آبت
sabs	أبس
sabryna	سابرينا
sabratha	برأتها
sablyami	الْيَمِّ
sablayan	أبلاين
sabhathe	ابحاث
sabatha	ابياتها
sabatham	بأتهام
sabarna	أحبارنا
sabarian	أباران
sabanis	تَبَنِس
sabanas	كاباناس
sabalan	اقبالاً
sabahan	أرباحاً
sabaash	أبالاش
saar	اَر
saarland	أرلاند
saal	اَل
saalman	عَالماً
saakshar	آكشار
saakara	أَنْكَرَ
rzab	زاب
ryza	يزة
ryun	يُن
ryty	يتي
rytwiany	يتواني
rytmann	ليتمانن
rysy	يسي
rysa	يسا
rynn	ينن
rynhart	رينهارت
rymr	يمر
rylands	يولاندس
rydl	يضل
ryan	يأن
ryad	ياد
ruwallah	واللَّه
rustans	مُستأنس
rukhmini	خمینی
rukarara	كارارا
ruht	رحت
rosandra	ساندرا
rondalya	نضالية
ronaghan	ناغان
romansky	مانسكي
rojansky	جانسكي
robathan	بأذان
rnrs	نرس
rmnn	منن
rizalman	ظالماً
riya	إية
ritz	إتز
ritm	یتم
rishtan	إشتفان
risa	إسا
risalat	إرسالات
rint	إنت
rins	إنس
ringmar	إنغمار
ringham	إنغهام
ringhals	إنغلس
rinehart	إنهارت
rily	إلي‮
rila	إلــى
riky	إكي
rijnland	إنلاند
rightman	إغمان
rietman	إئتمان
ridd	إدد
rian	یان
riam	ایام
rhys	حيس
rhyl	هيل
rhye	ہے
rhur	حُر
rhun	هُن
rhum	هُمْ
rhay	هاي
rham	حام
rhah	هاه
rfam	فام
rémalard	مالارد
remalard	مالارد
rekhmara	خمارة
reinland	إنلاند
reinhart	إنهارت
razr	أزر
rayz	ايز
rayy	آيي
rayt	أيت
raystown	ايستون
rayo	رأيٌ
raynard	ماينارد
raym	آيم
raymann	ايماناً
raykhan	أيخمان
rayhana	ايذانا
rayanna	ايماننا
rawy	آوي
rawn	آون
rawmarsh	ومارش
rawl	اول
rawk	اوك
rawh	أوه
rawd	آود
rawa	آوى
rauwshan	أوشان
raum	أُمّ
raumati	أُمَّتِي
rauf	أُفٍّ
raud	رُدّ
ratt	آتت
rathsman	اثمان
rathmann	اثمان
rathams	أثاماس
ratasha	لاتاشا
rastriya	استريا
rastala	استقالا
rastaban	استبان
rass	أسس
rask	آسك
raskhan	راسخاً
rashwan	الشوان
rashrash	احراش
rashraj	الشراج
rashaya	أشاريا
rashawn	الشاون
rashard	الشارد
rashaida	اشادة
rashaan	أصهاراً
rary	اري
rari	أری
rarh	آره
raqa	أقا
ranzany	تانزاني
rany	أنـي
rantala	انتحالا
ransdall	انسدال
ransdaal	انسدال
rann	أنن
ranh	أنه
randalf	جاندالف
ramz	امز
ramy	أمّي
ramwadi	الموادِ
ramu	أمُّ
ramstad	أميستاد
ramnath	أمنياته
ramm	أمم
ramkanta	مكانتة
ramb	أمب
ramayan	أمامياً
ramatkal	ماتكال
ramathan	امتحان
ramasar	المَسار
ramasamy	ماسامي
ramarama	ماراما
ramanna	أمانينا
ramanand	أماناً
ramamma	امامهما
ramamani	أماماً
ramakant	ماكانت
ralt	ألت
rall	ألل
ralitsa	الإتساق
ralf	الّف
rala	آلَ
rakwana	اخوانى
raks	أكس
rakshya	كاكشيا
rakshana	أخانا
rakshama	اسهاما
rakryan	اخريان
rakrakan	أراكان
rakh	أخ
raka	اكا
rakastat	راستات
rajawali	أَوَّلِ
rajabhat	اجابات
rait	آیت
raio	رأی
raig	رأی
rahwayh	أهوائه
raht	احط
rahshaf	أخشاف
rahsaan	احساساً
rahr	أحرّ
rahmanan	همانان
rahl	أهّل
rahbany	الحباني
rahasya	أهناسيا
rahaman	أحكاماً
raghubar	غُبار
raganya	اغانية
rafz	أفز
rafn	افن
rafa	افا
rady	أدّي
radvanus	أدڤانس
radstadt	اصطادت
radl	أدلّ
radd	آدد
raby	أبي
rabl	آبل
rābi	ربِّ
rabastan	باسطاً
rabanan	آبدانان
raay	ااي
raastad	الأستاد
raanana	أَنَّنَا
raam	أَمْ
qwil	ویل
qwardian	وأرضاً
qwan	وان
qwam	وآم
qvalstad	الستاد
qurtuba	قُرطُبة
quanshan	أنشان
qsar	صار
qrdm	ردم
qlwn	لونـ
qishlak	إستهلاك
qisarya	إصدارية
qirq	قرق
qins	إنس
qingshan	إنشاً
qina	إنا
qili	إلإ
qianshan	أنشان
qdir	دیر
qbik	بِك
qazghan	مازغان
qaytbay	قايتباي
qays	آيس
qayrawan	ايروان
qawa	آوى
qata	اتا
qataqan	اتفاقاً
qatanna	آذاننا
qataban	أتابكاً
qasmiyah	أسمياه
qash	أصح‏
qasa	آسا
qari	أری
qardaha	أردناها
qarb	أرب
qara	أرة
qaranka	كارانكا
qaramay	كاراماي
qanghar	أنغارا
qandala	ماندالا
qandahar	اندحار
qana	انا
qama	‏أما
qalqilya	الإلية
qalmaqs	المراقص
qali	الی
qalhati	الخَطِّ
qalander	الأندر
qalahati	الآهات
qajy	اجي
qaiqabad	آق‌آباد
qahtaba	احتسابا
qahr	أحرّ
qafa	افا
qaddadfa	أضدادا
qadariya	أدارية
qabr	آبر
pyuthan	يُستهان
pyun	يُن
pyst	يست
pyry	يري
pyrland	فيرلاند
pyra	يرا
pynn	ينن
pyms	يمص
pymm	يمم
pylyshyn	ليشين
pyla	يلى
pyka	يكا
pyjs	يجس
pyhy	يحي
p'ya	عيا
pyay	ياي
pyat	يأت
pyar	يار
pwll	ولل
pwat	واط
pushkara	شكارة
punzalan	نزالاً
pukwana	مُكوَّنة
ptsa	تسى
pths	تحص
ptak	تاك
ptah	طاح
psyk	سيك
psin	سِّن
psamatia	ساماتا
przy	رزّي
przy	رزّي
prys	ريس
prystal	كريستال
pryn	رين
prun	رُن
priz	ریز
prdi	ردِّ
praz	راز
pratmana	اطمأنَّ
prathama	اذاما
pras	رآس
prashna	راشانا
prashad	راتشاد
prasart	رانسارت
pran	ران
pranjani	رانجان
prandtl	براندتل
prananda	أناندا
pramatha	رَمَحَ
prakrama	اكرامى
prakash	براكاش
prai	رأی
prab	رأب
prabhat	برابهات
prabhakara	برابهاكاران
prabakaran	برابهاكاران
praa	راى
potaraka	تَرَكَ
pósalaka	سَلَكَ
polwarth	لوارث
pollstar	للستار
polansky	لانسكي
pnin	نِن
pnar	نـار
plyr	لير
plym	ليم
plishka	لِشركة
plin	لإن
plaz	لاظ
playtown	لايتون
plav	لاڤ
plastira	لاسترا
plasman	الاسمان
plantyn	لانتيان
plantara	أنتارا
planskoy	لانسكي
pkwy	كوي
pkharmat	خامات
piya	إية
pityana	إتيانها
pithart	إثارات
pithana	إيذانا
pisa	إسا
piry	إري
piny	إنـي
pintada	إنترادا
pinkman	إنكرمان
pingshan	إنشاً
pily	إلي‮
pilintra	إلنترا
pikatan	إكباتان
pijl	إجل
pihkala	إشكالا
pidansat	إدانات
piby	إبي
piar	یار
piamarta	إمارتا
phyl	هيل
phun	هُن
phul	هُل
phrathat	حراثة
phrabat	شرابات
phlm	هلم
phin	حین
phashyph	حاشيه
phar	حارّ
pharsala	ارسالة
pharand	هارلاند
pham	حام
phal	حالٍ
pfyn	فين
pfam	فام
pfad	فاض
pearland	أرلاند
peakland	أكلاند
pazy	أزي
pazyryk	بازيريك
pazmany	الزماني
pazhama	ازدحامًا
paza	ازا
payr	آير
payetan	حائطاً
pawk	اوك
pawb	اوب
pavamana	آَمَنَ
pauw	أُو
paundras	أندراس
paulina	أُعلِنَ
paty	أتي
pattala	استطالة
patr	أطر
patrash	افتراسه
pathsala	اتصالا
pathria	الذریة
pathmark	اثمار
pathala	الثالة
patasala	اتصالا
patalas	أنطالاس
patalan	اتصالاً
patakam	أتاكاما
pasukan	السُكان
pastinha	اسطنها
pastaza	باستازا
pastaora	آستارا
paskhas	أشخاصٌ
pashtrik	اشترك
pashaura	اشارة
pasayat	أساسيات
pasaraya	سارايا
pasaran	أصهاراً
pasamiya	سَمِيًّا
pasaman	أجساماً
partyka	كارتيكا
parthaon	أرثاً
parshat	مارشات
parsadan	آرادان
parn	أرن
parnham	أرنهايم
parnaby	بارنابي
parmatma	ارماتا
parl	آرل
parkham	الرخام
parkash	فاركاش
parishad	أرشاد
parhaat	ارهاصات
parf	ارف
paremata	ارماتا
pard	أرضٌ
parayan	آرامياً
parasat	ارهاصات
paranza	كارانزا
paranal	بارانال
paramara	أَمَرَ
paraman	كارامان
parakanã	أراكان
panthay	بانثاي
panthalassa	بانثالاسا
panthaky	أنطاكي
pantaray	أنتارا
pantana	سانتانا
pantala	انتحالا
panshet	أنشئت
panpatha	اناثا
pank	أنك
pankrat	انخراط
panjway	بانجواي
panistas	أنستاس
panh	أنه
panhala	انهالوا
pangkham	انغام
pandyans	انديان
pandraud	أندراد
pandoras	أندراس
pandara	النضارة
pandana	أنديانا
pandanas	أناناس
pandala	ماندالا
pandaan	أندامان
panawala	أَوَّلَ
panasas	ماناساس
pams	أمس
pami	أمِ
pambana	كامبانا
pama	‏أما
palz	الز
paluskar	الصكار
palsgraf	الصراف
palquera	القُرى
palonzwa	النزوة
palmtran	المران
palmstraat	المسترِدَّات
palmira	المیرزا
palmeras	المراس
palmeras	المراس
palmerah	المراه
palmbaum	المبام
palmaria	المارّة
palmarea	المارّة
palliola	اللیلة
palliard	اللأرض
pallawa	الطلاوة
pallanka	للانكا
pallana	اللسانى
pallady	الملادي
pallada	الولادة
palk	الك
paliyars	الإياس
paliyam	الإيلام
paliwan	الإيوان
palitra	الإطراء
palisna	الإسناد
palinody	الإندي
palilia	الإلهیة
palilay	الإلاهي
paliath	الإناث
palhares	الحَرس
palganj	الغانج
palfari	الفارسی
palestra	السترة
palermaa	الرماة
palayan	الاعيان
palayams	الأيام
palawija	الاوجة
palawano	الاوان
palatka	الفاتكة
palatas	الاتاسي
palatak	الاتراك
palaspas	الأساس
palanza	الأنظمة
palanyag	الآنية
palantir	الأنتر
palangka	الأنكا
palanga	المانگا
palandri	الأندر
palander	الأندر
palanan	الاٍنسان
palamino	الأمین
palamian	الآمان
palamas	الألماس
palamaon	الآمان
palamai	العامةِ
palakila	الكِلى
palakaw	الكاكاو
palaima	الاِمام
paladwr	الادوار
paladina	الأدنى
palabras	لابراس
palabras	لابراس
pakstan	باکستان
pakshaya	آخايا
pakhyan	اخريان
pakhtas	أختصاص
paka	اكا
pait	آیت
paillard	اللأرض
pahl	أهّل
pahjamah	أحجامه
pahaska	ماهاسكا
paghman	واغمان
paghmani	أغانِ
padshahnama	الشاهنامة
padmaja	اندماجًا
padaran	أدواراً
padamja	الدامجة
paaw	اَوْ
paam	أَمْ
paal	اَل
ozun	ظُن
ozra	زرا
ozma	زمة
özil	ظِل
ozar	زار
özal	زال
özak	زاك
ozak	زاك
oysl	يسل
oyly	يلي
oyeh	ئه
oyat	يأت
oyasama	ياسالمة
oyan	يأن
oyam	يام
owyn	وين
owlz	ولز
owja	وجى
owayawa	وَيَوْمَ
ovan	ڤان
outmarsh	تمارسه
otta	تتا
otryadyn	رياضين
othmanic	ثمانِ
otha	ذا
otby	تبي
otay	تاي
otar	تار
otak	تاك
osya	سية
oswy	سوي
osun	سُن
osum	صُم
osty	ستّي
ostraya	ستارايا
ostland	سيتلاند
osthryth	ذريته
osta	سطى
osry	سرّي
osna	ســنة
osma	صمة
osmanya	اسمانية
osmansky	مانسكي
oslyabya	صليبية
osla	سلة
oska	سكّة
osja	سجة
oshikawa	شكاوى
osby	سبي
osbrany	سبرانية
osat	سات
osas	ساس
osan	صان
osam	سامّ
orza	رزة
orys	ريس
orun	رُن
örud	رُدّ
orsa	رسى
orna	رنة
ormy	رمي
örmt	رمت
orma	رمة
ormandy	روماندي
órla	رلى
orla	رلى
orkz	ركّز
orkland	روكلاند
orka	ركا
orin	رِن
orinthal	إنتحال
orby	ــربي
orba	ربّة
oray	رأيٌ
óran	ران
oran	ران
oranyan	ربانياً
oram	رامٍ
oramiyan	رامياً
orai	رأی
orab	رأب
oraa	راى
oqil	قیل
opryland	ريلاند
ōokayama	كاياما
onsy	نسي
onny	نني
onks	نكس
onin	نِن
onathar	نَذَرَ
ónar	نـار
onan	نان
onam	نام
önal	نال
onalaska	الأسكا
omya	مية
ōmurawan	مراوان
omsk	مسك
omri	مرِّ
omis	مِس
omba	مبا
omartian	مارتان
omarska	ماريسكا
omariya	مَرِيضًا
oman	مَن
omam	مام
omak	ماك
olza	لظى
olys	‏ليس
olya	ليـا
olvy	لڤي
oltmares	لتمارس
ólta	لتى
ólta	لتى
olta	لتى
olsy	لسي
olst	لست
olsavsky	لساسكي
olry	لري
olmy	لمي
olma	لمّا
ollmann	للمانان
ollanta	للانثى
ollamda	للامداد
ollamain	للأمان
olja	لجأ
oliy	لِي
olid	لإد
olia	لِى
olha	لهى
olfa	لفة
oldy	لديّ
oldt	لدت
oldb	لدب
olda	لدة
ølby	لبي
olby	لبي
olbalbal	بالبال
olaz	لاظ
olay	لأيٍّ
olav	لاڤ
olat	لاط
olas	لاس
olas	لاس
olar	لار
ólaf	لاف
olaf	لاف
olad	لاد
olabhat	لأبحاث
okwa	كوا
okun	كُنْ
okun	كُنْ
okudaira	كُدارة
okta	كتة
okraman	كارامان
oklahoma	كلاهما
oklahoma	كلاهما
okin	كإن
okhtyrka	خطيرةٍ
okhrana	خرسانة
okha	خا
okba	كبا
okaz	كاز
okaw	كاو
okatysh	كاتفيش
okataina	كاتانا
okashana	كاهانا
okan	كأنْ
okamada	كالمادة
okak	كاك
ojra	جرأ
ojin	جِن
ojal	جال
ojah	جاه
oizy	إزي
oith	إذْ
oita	إتا
oima	إمـا
oila	إلــى
oiad	یاد
ohrt	حرت
öhrn	هرن
ohra	حرى
ohnsman	هنتسمان
ohma	هما
ohly	حلي
ohls	حلس
ohlmarks	لماركس
ohka	حكا
ohis	هِس
ohba	هبّة
ohan	حان
ohanyan	ثانياً
ohai	های
ohad	حادٍّ
oghy	غي
ogan	گان
ogan	گان
ogallala	اللالا
öfwerman	فورمان
ofra	فرى
ofka	فكة
ofir	فیر
ofin	فإنْ
ofia	فِى
offy	ففي
odym	ضيم
odwa	دوة
odri	دری
ödra	درّة
odra	درّة
odna	ضنة
odil	دِل
oddy	ضدي
odda	ضدا
odba	دبا
odaw	داو
odawara	دياوارا
odan	ضان
odam	ضَم
odalarda	الأرضى
odak	داك
odah	داه
odaa	دَا
obtshak	بتشابك
obry	بريّ
obramba	برامبيا
oblt	بلت
oblonsky	بلنسكي
obin	بِنْ
obeahman	باهمان
obby	ببي
oban	بــأن
obal	بَل
oaty	أتي
oatland	أرتلاند
oarm	ارم
oard	أرضٌ
oans	أنس
oani	أنِّ
oanh	أنه
oala	آلَ
oaklands	أكلاند
oakhart	اختارتْ
nzas	زاس
nyth	يتح
nyst	يست
nystrand	ستراند
nysa	يسا
nyra	يرا
nyla	يلى
nyby	يبي
nyay	ياي
nyas	يأس
nyar	يار
nyak	ياك
nyakwana	ياكونا
nyah	ياه
nyad	ياد
nwi	نوین
nuhadra	مُحاضرة
ntsu	تْسُ
