zita	زیتا
unimin	نیمبین
unimarc	نیمار
unilink	یلینک
uniana	نیانزا
ungwana	گوآنا
ungjin	گنگجین
ungarn	نگارند
ungarie	نگاری
unerman	نرمان
undwin	آندوین
undheim	ندهیم
undarum	ندارم
undara	ندارَه
uncaria	ناریا
unangax	نانگا
unangas	انگاس
unangam	نانگا
unaliq	نالایق
unaalik	نالیک
umuahia	ماهیا
umrani	مرجانی
umphang	پهانگ
umniati	نیاتی
ummati	مهماتی
ummadi	متمادی
umlias	ملی‌اش
umgang	امگانگ
umenari	مناری
umegae	μεγάλη
umbrail	مبایل
umbanda	باندا
umasaka	آساکا
umarrah	مارَه
umarkot	مارکت
umariya	ماريا
umanitá	مانیت
umalusi	مالسی
umalali	ملالی
umaima	ماهیما
umadda	ٓ
umadaha	مادها
ulzana	الظَّنَّ
ulvaria	لاریا
ultrair	لتریر
ulthar	لوتهار
ulstein	لستین
ulring	هلرینگ
ulrikh	الریخ
ulrika	لیریکا
ulqini	تلقینی
ulqinit	لینیت
ulpiana	پیانا
ullman	لولمان
ullian	لیلیان
ullarin	لارین
ulidian	لیدیا
ulibin	لایبین
ulians	لیسانس
ulgarth	گارث
ulfran	لوفران
ulfilas	لیلاس
ulfand	گلفاند
ulfada	لفکادا
ulbandi	باندی
ulanji	الانجی
ulander	لاندر
ulaging	لاگین
ukrainy	کراین
ukraine	کراین
ukimwi	کی‌ام‌وی
ukigawa	ایگاوا
ukhaant	کهانت
ukawsaw	کاساو
ujizane	جیزان
ujikimi	جِیمی
ujaama	جَرَمَ
uilili	ایلمیلی
uigwan	ایگوانا
uhlmann	هلمان
uhlich	هلیچ
uhlanga	لانگا
uhland	هالاند
uhaymir	هَمِر
ugstad	گرستاد
ugrians	گریان
ugorski	گرسکی
uglich	گلیچ
uglara	گلابرا
ugland	گولاند
ugashik	اشیک
uganik	گمانیک
ugajin	گاجینی
ufanks	فرانکس
ueshima	شیما
ueshiba	شیبة
uelands	لاندس
udlajan	لاجان
udinsk	دوینسک
uddandi	داندی
udatin	ضابطین
udasan	داستان
udarnik	درنیک
udaiyan	دایان
udagawa	داگوآ
uchini	چینی
uchiha	چیها
uchida	چیدا
ubsalam	سالام
ubinas	بلیناس
ubertas	برطاس
überjam	برجام
ubastat	استات
ubarri	باربری
ubangui	بانگی
ubaidah	بایدا
ubadah	باضافه
uashat	اشارت
uallach	اللَّه
uachdar	احضار
tzitzak	ایتزاک
tzanni	زانینی
tzahal	تزاحال
tzadiks	زادیک
tyshawn	شاون
tysabri	صابری
tyrwhit	روهیت
typeid	تأئید
tymbark	مبارك
tybrisa	بریسا
tyangla	آنگلا
twyning	ونینگ
twynham	ونهام
twingia	وینیا
twiinz	ویگینز
twigim	بویگیم
tweakin	واکین
twardy	مواردي
twanna	واندنا
twanger	وانگر
twallin	والین
twality	وَلِيٍّ
twaaang	وَأَنْ
tverian	վերին
tvastar	آستار
tvashtr	اشتر
tvarita	آریتا
tustar	جُستار
tusiani	سیانی
tushita	شیتا
turmish	رمیش
turhand	رهاند
turawal	راوال
turanga	رانگا
turaida	رایدا
turahan	راهان
turabin	رابین
túngara	نگارا
tundrae	تندرا
tumhari	مهاری
tumarki	مارکی
tumahai	ماهای
tulista	لیستا
tulipan	لیپان
tulimak	لیماک
tukrish	کریش
tukhara	خارا
tukaram	کَرَم
tukarak	کَرَک
tukabai	کابای
tuhiwai	هیوای
tudiya	قُضِيَ
tubiana	بیانا
tubanti	بانتی
tubalar	بالار
tuathan	اذان
tualian	الیان
tualang	الانگ
tsurkan	سرکان
tsukada	سکادا
tsotigh	ستیغ
tsitas	سی‌تی‌اس
tsirion	سیرین
tsirang	سرانگ
tsillas	سیلاس
tsilka	شیلکا
tsikada	سکادا
tsiante	صیانت
tsi-ang	سیانگ
tshwane	سهواً
tshuapa	شاپا
tshilio	شِلی
tshalpa	شاپا
tshadda	شادا
tsering	سرینگ
tselani	سلانی
tsehafi	صحافی
tschlin	شلین
tschira	شیرا
tschida	شیدا
tschanz	شانز
tsayezi	سائز
tsashin	اشین
tsarong	سارنگ
tsantes	سانتس
tsangpa	سانگا
tsander	ساندر
tsaltas	التاس
tsalagi	سالگی
tsakhit	ساخت
tsakhia	ساخا
tsakane	ساکان
tsaidam	سادام
tsahar	ساهارا
tsafiki	سای‌کی
tsadra	صادرﺍت
tsabari	آباری
tsaagan	ساگان
trwyth	روئته
trutina	رتینا
trumpan	رُمان
trumark	رمارک
trumans	رمانس
trumann	رُمان
trugman	رُمان
trueman	رُمان
trubar	رُبار»
tromans	رمانس
trizin	ریزینگ
trizina	رزینا
triyana	ریانا
triunia	رینیا
tritsch	ریچ
tritri	ریزتری
tritin	ریتیون
tristar	ایستار
trisong	ریسنگ
trischa	ریشا
tripra	ریپرها
tripoli	ریپلی
tripolitania	تریپولیتانیا
tripkau	ریپکا
trinità	رینیت
trinita	رینیا
trinil	ترینیل
trinch	رینچ
trimiar	ریمیا
trijuga	تریگا
trigona	ترینا
triglia	ریگلی
trigion	ریگین
trigant	ریگان
trigano	ریگان
trifan	حریفان
trient	ریئنت
tribino	ریبین
triberg	ریبرگ
tribeni	日本
tribble	ریببل
triash	تریاسه
tri-ang	ریانگ
triange	ریانگ
triambi	ریابی
triala	ریدالا
triadis	ریاضی‌
triada	ریاضات
treiman	ریمان
treiben	日本
tredman	ردمان
trebnik	ربنیک
tratman	رامان
trasna	دراسنا
trapier	راپیر
trantas	آنتاس
transilvania	ترانسیلوانیا
transdanubia	ترانسدانوبیا
transat	انساط
tranin	رانینگ
trangia	رانیا
trangas	انگاس
trandum	راندم
tranbia	انبیا
tranai	ران‌های
tramwaj	امواج
tramvaj	تراما
trampa	رامپال
trampas	امپاس
tramino	رامین
tramiel	رامیل
tramble	رامبل
tramal	رامالا
trakta	راکتها
trakiya	راکیا
trajani	آجانی
traitie	رایتی
traitel	رایتل
traison	رایسن
traisen	رایسن
trainor	راینر
traing	رانینگ
trainde	رایند
traigh	رادیگه
traiano	رایان
tragida	رایدا
trafikk	رافیک
traffik	رافیک
trachey	طراحي
trabia	رابیتا
trabert	رابرت
towngas	ونگاس
towanda	واندا
toshmal	شمال‌
toshimi	شیمی
toshima	شیما
toshiki	شیکی
toshiba	شیبة
torwali	روالی
torkham	رخام
toringi	رینگی
torajan	راجان
toptani	پتانی
topsham	پشام
toplana	پلانا
tøpanga	پانگا
topanga	پانگا
tonnara	오나라
toniata	نیاتا
tonatis	ناتیس
tommasi	مماسی
tomlins	ملینس
tomisan	میسان
tomilin	میلین
tomaras	ماراس
tomania	مانیا
tomalta	مالتا
tomalin	مالین
tomalak	مَلَكٌ
tomakin	ماکین
tolland	للاند
toliman	لِمَنْ
tokushi	کُشی
tokiwai	کیوآی
tokhmak	تخمک
tokhari	خاری
tokhara	خارا
toishan	ایشان
tobaski	باسکی
tobashi	باشی
tmimim	می‌میرم
tmimata	میاتا
tlinkit	لینیت
tlillan	لیلان
tlappan	لاپان
tlanusi	لانسی
tlalpan	آلپان
tlalam	لالامی
tlaili	دلایلی
tkufat	کُلفَت
tkibuli	کیبلی
tkdaya	خدايا
tjilik	ژیلنیک
tjaldir	الدیر
tiziani	زیانی
tiyanik	یانیک
tiwari	یوآرآی
titzia	یتزیرا
titran	میتران
titlis	بیتلیس
titians	ای‌تی‌اس
titiani	تیانی
titchie	ایچی
titawin	یاوین
titanis	تانیس
titabar	تابار
tiswas	بیسواس
tishri	فیشری
tishrin	شرین
tirwal	فیروال
tirran	بیرران
tirmidh	رمیده
tirman	یرمیان
tirkan	زیرکان
tiriti	تِ‌رِتِ
tirith	تیریث
tirgan	تیرگان
tirawi	کیراوی
tirawa	تیراوا
tirari	نیراری
tirard	گیرارد
tirans	ایرانسل
tirali	ایراکلی
tiragan	راگان
tiquina	یقینآ
tipakan	پاکان
tinsman	اینمان
tinside	اینسید
tinling	ایلینگ
tinkum	مِنْكُمْ
tinkard	این‌کار
tinkang	اینکان
tinika	وینیکا
tinian	ایندیان
tinhale	این‌حال
tingwei	اینگوی
tingmon	اینگمن
tingkan	اینکان
tindaw	لینداو
tindal	تیندال
tinatin	اینتین
tinang	پینانگ
tinamba	نامبا
timuani	ایمانی
timori	تیموری
timlin	ایرملین
timgad	تیمگاد
timati	تیماتی
timarli	مارلی
tilwada	لوادا
tiltan	سیلتان
tilsit	تیلسیت
tilman	سیلمان
tillana	ایلانا
tilibra	لیبرا
tilhas	ایلخاص
tileans	ایلانس
tilaks	دیلاکس
tilabi	سیلابی
tikunim	یکنیم
tiktin	نیکتین
tikhvin	یخین
tijuan	逆巻
tijani	هیجانی
tihrani	حرانی
tihamah	یَمَه
tigrean	ایگران
tigrane	ایگران
tigrai	تیگرای
tignish	ایگنیس
tiglian	گلیان
tiglat	تیگلات
tighina	یغیا
tigard	دی‌گارد
tigara	ایگارکا
tigana	تیگانا
tiflis	سیفلیس
tieshan	ایشان
tieling	ایلینگ
tidyman	ایدمان
tidnish	یدیش
tidning	دنینگ
tidlig	تیلینگ
tideman	ایدمان
tibilis	بیلیس
tiberis	ایبریس
tiberia	ایبریا
tibaldi	بالدی
tiarna	یارنال
tianzun	یانزن
tianshi	انشی
tianma	ایپانما
tianhan	یانان
tiandao	یاندا
tiamat	یاماتا
tialano	یالان
tiagan	گیاگان
thymian	همیان
thwing	هوپینگ
thurman	حرمان
thüring	هرینگ
thurian	هریان
thumana	همانا
thsang	هوسانگ
thruman	رُمان
thronia	هرنیا
thriti	هریتیج
thrita	هرگیتا
thrass	حراسیس
thrangu	هرانگ
thrain	هرایزن
thorian	هریان
thorald	هرالد
thoning	هنینگ
thomlin	هملین
thivras	هیراس
thiuram	هیرام
thismia	هیمیا
thinis	هینگیس
thingz	هنینگز
thingol	هینگل
thinam	هینگام
thimann	هیمان
thijmen	هیجمن
thieman	هیمان
thidias	ای‌دی‌اس
thidal	هیردال
thibron	هیبرن
thibert	هیبرت
thiassi	ای‌اس‌سی
thiarna	هارنا
thiard	هیوارد
thiara	شیارا
thiana	احیانا
thialfi	هیالی
thewaka	هوآکا
thermia	هرمیا
thermas	هرماس
thayil	هائیل
thayih	ذبایح
thayers	حائر
thayan	شايان
thawra	هامورا
thawin	هالوین
thawban	هوبان
thawal	شَوال
thaumus	حُمُّص
thatche	هاچ
thassi	한씨
tharwa	هارواد
tharwat	هاروت
tharsis	هاریس
tharons	هارنس
tharbis	اربیس
tharaud	هاراد
thantos	هانتس
thanthi	انتهی
thanin	هانجین
thangi	هانگری
thangam	هنگام
thandwe	هاندو
thandi	هاندلی
thanasi	ان‌اس‌ای
thamudi	حامدی
thamrin	آمرین
thamnos	ثامن
thamizh	آمیزه
thambi	هامبلی
thalwyl	حالول
thalna	هالینا
thälman	هلمان
thalion	هالین
thalia	همالیا
thaliad	هالید
thalaba	آلابا
thaksin	اکسین
thakita	اکیتا
thakin	هاسکین
thakil	هاسکیل
thakar	ذَكَرٍ
thakali	هاکلی
thaisa	هایاسا
thaila	هانیلا
thaiday	هایدا
thaidam	هایدا
thahir	شاهیر
thagyin	هاگین
thafeth	حافطه
thadzi	شادزی
thadimi	ادیمی
thaden	هادئن
thaata	هاکاتا
thaana	هاگانا
thaabit	هابیت
tetiana	تیانا
tessina	سسینا
teshrin	شرین
teshima	شیما
tersana	رسانى
ternata	رناتا
termera	ἡμέρα
termani	رمانی
terashi	راشی
terapan	راپان
terania	رانیا
teraina	راینا
tenshin	نشین
tenaska	ناسکا
tenarai	نارای
tenagra	ناگرا
temuera	ἡμέρα
temirim	میریم
temeria	ἡμέρα
temanit	مانیت
temanim	مانیم
telogia	λογία
telmera	ἡμέρα
telinga	لینگا
telangi	لانگی
telanai	لانای
tekwadi	کوادی
teknisk	تکنیک
tejalpa	جالپا
teishin	ایشین
teimani	ایمانی
tehrani	حرانی
tefilat	فیلات
tedania	دانیا
tebaldi	بالدی
teatria	آتریا
teatrą	تئاتر
teatina	آتینا
tealham	الهام
teabing	ابینگ
tchang	چانگ
tbilisi	بی‌ای‌سی
tbeirah	بیراه
tazlina	الینا
tazhin	ازهمین
tazbir	الزبیر
tazaki	اوزاکی
tazajal	أَجَلٍ
tayuman	ايمان
tayrona	ايرنا
tayowan	ايوان
taynish	آنیش
taymani	امانی
tayern	ﺍﻳﺮﺍﻥ
tawrah	اوراش
tawonga	اونگا
tawnia	اومنیا
tawkar	آسوکار
tawjihi	اوژیه
tawingo	اوینگ
tawilan	ویلان
tawhaki	اوهای
tawhaio	اوهای
tawawa	اوراوا
tawatha	أَذًى
tawarik	واریک
tawaret	اوارت
tawara	اواردا
tawanna	اوآنا
tawakul	وَكُلٌّ
tawakal	اوآکا
tawahka	اوآکا
tawahin	اواین
tawada	اواردا
tavisha	آیشا
tautra	اُترار
tausala	اصالة
taurid	اُرکید
taurasi	آراس‌ای
taurans	اُران
taumata	أُمَّةً
taulman	آلمان
taulani	الانی
tauila	أُحِلَّ
taugani	تاگان
tatrys	اتريش
tatrit	آرتریت
tatras	پاتراس
tatnam	پاتنام
tatira	اتیراو
tatiara	تیارا
tatiani	تیانی
tathai	امت‌های
tathair	تطهیر
tatavla	آتالا
tatary	آثاري
tatars	آنتارس
tatarka	اتارا
tataric	آتاری
tatanka	تانکا
tatang	اتانگا
tataka	آتاکان
tatabi	آفتابِ
taszar	اسفزار
tasword	اسورد
tastrup	استرپ
tasties	استیس
tassis	تاسسیس
tassin	اساسین
tassili	سسیلی
tassal	اس‌اس‌ال
tasrail	آسایل
tasnif	اسنیفل
tasmans	امانس
taslitz	اصلیت
taslima	سلیما
taskia	آسکیا،
tashker	اشکر
tashka	اشکان
tashiro	اشیر
tashih	آشیخ
tasars	کاسارس
tasanh	افسانه
tasaki	ماساکی
tasaday	آسادا
tarziu	تَزِرُ
tarzian	اریان
tarzans	آزانس
tarzana	آرانا
tarumas	آرماس
taruisa	اریسا
tartown	آرتون
tartit	آرتیست
tartaus	آرتاس
tartane	آرتان
tarsta	ارستال
tarski	آرنسکی
tarsina	آرینا
tarsila	ارسلا
tarshis	آرشی
tarrazi	آرازی
tarras	کارراس
tarquin	ارقین
tarplin	آرلین
tarpana	آرانا
tarnius	آرنیس
tarnita	آنیتا
tarnais	آرنیس
tarmiya	ارمیا
tarmidi	امیدِ
tarlati	آلاتی
tarlai	ارل‌های
tarkwa	ارکواز
tarktat	ارطات
tarkine	ارکین
tarkiln	ارکین
tarkaan	ارکان
tarini	آرینیو
taring	امرینگ
tarikhy	اریکه
tarihi	ارایه‌ای
tarifit	آریفی
tarifa	زاریفا
tarida	آگریدا
tarhuna	آره‌نا
targhın	ارغن
taretan	آرتان
tarebia	اربیا
tardush	آردش
tardif	آردی‌اف
tarchna	آره‌نا
tarchi	ارچی
tarbisu	اربیس
tarbiat	ابیات
tarbatu	ارباط
tarbart	آبارت
tarbaby	ارباب
taraza	بارازا
tarasio	آراس‌ای
tarasa	آراس‌او
tararua	آرارا
tarant	یارانت
taranna	آرانا
taranga	رانگا
tarand	آراندا
tarama	آرام‌اس
taralye	آرائ
tarakos	آراکس
taraka	تَرَكَ
tarakam	راکام
taraji	اراجیف
taraja	کاراجا
tarajal	أَجَلٍ
tarain	افراین
taracua	تَرَى
tarabu	وَرَبُّ
taraba	ضَرَبَ
tarabai	اربای
taraak	آراواک
tapraq	یاپراق
taplin	اپلینگ
tapingo	اپینگ
taphian	آپیان
taphan	اسپهان
tapati	امپاتی
tapatap	اپاتا
tapant	آرپانت
tapanta	پانتا
tapani	جاپانی
tanzam	النظام
tanusha	انشا
tantrix	انتری
tantris	آنریس
tantrai	انتری
tantine	آنتین
tanteni	آنتنی
tantawi	آنتوی
tantan	انتانی
tantam	انتقام
tantalo	آنتال
tantai	انتانی
tanski	آرنسکی
tanlin	دانلین
tankiz	یانکیز
tankin	نانکین
tanken	تانکین
tankah	جانکاه
tanjay	آنجايی
taniwal	نیوال
tanith	آفنیته
tanioka	آنیکا
taniga	انیگما
tanida	اونیدا
tangina	آنگین
tanghal	آغال
tangela	آنگلا
tangai	سانگای
tangair	انگیر
tangail	انگیل
tandura	آندرا
tandil	ماندیل
tandag	تانداگ
tanburi	انبری
tanawal	ناوال
tanassi	ان‌اس‌ای
tanara	آنانرا
tanapag	آناپا
tanaosi	ان‌اس‌ای
tanang	دانانگ
tanana	آنانرا
tanama	ان‌ام‌اس
tanala	ان‌ال‌آر
tanakh	باناخ
tanaka	تاناکا
tanaji	آیناژی
tanais	ان‌آی‌اس
tanairi	نایری
tanaina	ناینا
tanaim	اناهیم
tanahu	أَنَّهُ
tanach	ان‌اچ
tanaami	ان‌ام‌ای
tamzin	تامزین
tamwan	آموزان
tamura	سامُرا
tamunay	امناي
tamspan	اسپان
tamsma	بامسما
tamsila	امیلا
tamruat	امرات
tamraz	المراز
tamplin	املین
tammari	اماری
tammany	اماني
tamkang	امكان
tamizis	آیزیس
tamishe	آمیش
tamiras	آمیاس
taminda	آمیدا
tamimi	ام‌ای‌ام‌ای
tamika	آمیکاز
tamiia	امینیا
tamiaki	آمیاک
tamhini	مهینی
tamgan	امگانگ
tambrax	آمبرا
tambram	آبرام
tamboli	امبلی
tambler	امبلر
tambiah	امبیا
tamberg	امبرگ
tambak	وامباک
tambadi	مبادی
tambaba	ابابا
tamazic	امازی
tamati	آماتیس
tamasna	ماسنا
tamasin	ماسین
tamasa	اماسرا
tamarua	أمارة
tamaroa	أمارة
tamarac	أمارة
tamanui	امانی
tamanoi	امانی
tamanna	ماننا
tamangs	امانس
tamakon	اماکن
tamaki	تاماکی
tamaha	آمارها
tamagni	ماگنی
tamaeli	امالی
talysh	الجيش
talura	تالارا
talulah	اللَّه
taluban	آلبان
taltal	الطالب
talsma	الاسما
talsit	السویت
talqan	طالقان
talpas	الپاسو
talmont	المنت
talmay	آلماني
talmant	لمانت
tallman	آلمان
tallina	الینا
tallard	آلارد
tallant	اللات
talizer	الیزر
taliwa	الیویا
talison	آلیسن
talisay	آلیسا
taliqan	الیان
talipan	لیپان
talinis	الینس
talimi	الیامی
talheim	الهیم
talhah	الصحاح
talgrig	آلگری
talgat	فالگات
talfan	آلفانو
talfah	الفتاح
taleban	آلبان
talburt	آلبرت
talbiya	البیا
talbert	آلبرت
talberg	آلبرگ
talath	الاثر
talarn	آلبارن
talaqu	الْحَقُّ
talant	گالانت
talanoa	الانا
talango	الانگ
talange	الانگ
talamba	آلابا
talala	آلکالا
talaiot	الایت
talaing	الینگ
talagi	آلاگیر
talaga	الاگنا
talaat	آلاپات
talaash	الاش
talaaq	الآفاق
talaai	الالای
takwish	آویش
tak-wah	آکواه
takutai	اکتای
takushi	کُشی
takuran	اُران
takula	وَكُلًّا
taksimo	اکسیم
taksas	اخصاص
takṣaka	آکاکا
takrit	آنکریت
takkar	اکنکار
takkari	اکاری
takian	اکیداً
takhti	آخرتی
takhta	اختفا
takhin	راخین
takhar	آخَرَ
takeshi	آکشی
takeaki	اکاکی
takaza	ماکازا
takatsu	آکاتس
takata	ساکاتا
takaroa	آکارا
takaoka	آکاکا
takanis	کانیس
takali	تاکالی
takada	آکادیا
takadanobaba	تاکادانوبابا
tajudin	اُدین
tajimi	ناجیمی
tajima	تاجیما
tajiki	اوجی‌کی
tajgan	واژگان
tajdid	الجدید
tajdare	آجدار
taizan	جایزان
taiwan	دایوان
taitsh	رایتش
taiska	اِسکات
taisia	آی‌سی‌اف
taishin	ایشین
tairyan	ﺍیرﺍن
tairiku	اِریک
taiqan	وایقان
taipai	پای‌پای
tainai	ساینای
tailtin	التین
taijin	آی‌جی‌ان
taihang	آیهان
taigan	پایگان
taichi	آیچی
taibai	بای‌بای
tahuna	لَهُنَّ
tahsina	حسینا
tahsil	اتحصیل
tahmtan	همتان
tahmina	آمِنًا
tahmid	اشمید
tahltan	آلتان
tahjair	احجار
tahiya	وَهِيَ
tahiti	اذیتِ
tahisas	احساس
tahiri	اثیری
tahira	اخیرأ
tahbit	اهلبیت
tahawi	آرهاوی
tahati	اهانتی
tahash	اوهاش
tahanto	اهانت
tahami	الهامی
tahama	الهاما
tagrit	ماگریت
taghvai	آغای
taghliq	اغلی
taghlib	اغلب
tagawa	اوگاوا
tagara	ساگارا
taganka	آگانا
tagand	آگاهند
tagami	آگامای
tagalas	گالاس
tagabis	گابیس
tafsili	فسیلی
tafnit	آفنیته
taflan	آفلاین
tafkhīm	افخم
tafileh	افیله
tafilah	افیله
tafani	اف‌ان‌بی
tafaki	افلاکی
taewang	آوانگ
tadrib	باضریب
tadrart	ادارت
tadini	ادینیو
tading	اردینگ
tadinae	آدینا
tadham	اودهام
tadanao	آدانا
tadaima	دایما
tadadi	اعدادی
tachin	اچین
tachik	آچیک
tabura	كَبُرَ
tabris	آبرتیس
tablist	ابلیس
tabligi	الیگی
tablica	ابلیا
tablat	ابالات
tablada	الادا
tabiti	آبیتیک
tabigat	ابیات
tabgach	آبگاه
tabbaa	آب‌بالا
tabata	ساباتا
tabaski	باسکی
tabasi	اباسین
tabary	ابزاري
tabarsi	بارسی
tabarin	بارین
tabarie	آباری
tabaret	آبارت
tabarca	ابارا
tabala	ابالات
tabaka	رَبَّكَ
tabaiba	ابابا
tabada	آبادان
taasisi	آسیسی
taasia	اکاسیا
taarna	آپارنا
taanit	آلانیت
taanis	آلانیس
taalman	آلمان
taalim	اقالیم
szymany	زماني
szulman	زلمان
sztaril	تاریل
szpital	پیتال
szlaski	لاسکی
szlamas	لاماس
szikla	زیکلای
szewska	زوسکا
szanton	زانتن
szantho	زانث
szandor	زاندر
szalkai	الکای
szalayi	سالای
systému	سيستم
systemu	سيستم
sysling	سلینگ
syriana	ریانا
synurid	يُرِدْ
syhamal	حَمَل
sybrand	برَند
sybaris	باریس
syaoran	ياران
syamala	امالا
syagria	اگریا
switlyk	ویتلک
switlik	ویتلک
switha	ویتهام
swithan	ویهان
świrski	ویسکی
swirski	ویسکی
swinson	وینسن
swingle	وینگل
swildon	ویلدن
swilcan	ویلان
swikart	وکارت
swienta	وینتا
swidler	ویدلر
świata	ویاتکا
swians	وی‌ان‌سی
swathi	وارثِ
swatar	واتاری
swarts	وارتگس
swarthe	وارث
swardt	واردتر
swarat	وزارات
swapan	سواپان
swansea	وانسا
swanger	وانگر
swangaz	وانگا
swander	واندر
swaleha	والها
swails	وایرلس
swaidi	فوایدی
swaham	واحکام
swadron	وادرن
swadhin	وادین
swachh	واچه
swabia	سوابیا
svaning	آنینگ
svalnar	النار
svaland	آلاند
suthul	مُثُل
sutaria	تاریا
sushila	سهیلا
sushant	شانت
susarma	سارما
susarla	سارلا
susanin	سانین
suryadi	رياضی
surmani	رمانی
surmali	رمالی
suriana	ریانا
suqiong	穹
suprima	پریما
suprana	پرانا
sunshin	نشین
sunions	∪
sungari	نگاری
sunbati	نباتی
sunanda	ناندا
sumitra	میترا
sumatra	ماترا
sumaria	ماریا
sumarah	مارَه
sumanth	مانته
sumanik	مانیک
sumaila	مایلا
sumadih	مادیه
suliman	لِمَنْ
suliard	لیارد
sulardi	لَردِ
suladan	لادان
sukrana	کرانة
sukhra	اُخرا
sukhram	کهرام
sukhbir	خبیر
sukhama	خاما
sukashi	کاسه‌ای
sukarna	کَرنا
sukarma	کارما
sukardi	کاردی
suisham	ایشام
suining	اینینگ
suihua	会話
suhaili	هایلی
sugatha	گات‌ها
sudwala	دوآلا
südring	درینگ
sudrian	دریان
sudarma	دارما
sudairi	دایری
subrizi	بریزی
sublink	بلینک
subimal	بیمال
subashi	باشی
subarna	بارنا
suartas	آرتاس
suanshu	سانْش
súaltam	التام
sualtam	التام
sualiki	الیکی
sturman	ترمان
sturka	تُرکان
sturgis	تُرِس
stuarda	تاردا
struans	ترانس
štromas	ترماس
stroman	ترمان
strojan	ترجان
strnad	ترنادو
strizh	ترکیزه
stringz	تینگز
stringe	ترینگ
striner	ترینر
strimon	تریمن
strika	توریکا
strigl	تریدگل
strigea	تریگا
strigas	تریاس
strida	ترمیدا
streibs	تریبس
streibl	تریبل
strazza	ترازا
strayer	طائر
strawny	تراون
strawbs	تراوس
strauks	تراکس
stratta	تراتا
straton	تراتن
stratix	تراتی
stratis	تراتی
stratia	راتیا
strathy	طراحي
strater	تراتر
straten	تراتن
stratas	تراتا
stratan	راتان
strass	تراسسا
stranos	ترانس
stranks	تانکس
stranja	تانجا
strangr	ترانگ
stranda	راندا
strambi	ترابی
stralis	رالیس
strakh	تراکیه
straker	تراکر
straka	تَرَكَ
straja	تراژان
straith	رایطه
straide	تراید
strahm	تراخم
stracin	تراین
strable	ترابل
strabel	ترابل
stowmar	تومار
stormin	ترمین
stonham	تنهام
stonard	تنارد
štitari	تیتری
stinta	ترینتا
stinkor	تینکر
stiniva	تینیا
stingle	تینگل
stingel	تینگل
stilian	تیلیا
stilgar	تِلار
stilaro	تِلار
stigman	تیمان
stigers	تیگرس
stigant	تیگان
stigand	تیگان
stieman	تیمان
stickan	تیکان
sthomas	شماس
sthawar	هاوار
sthala	توهالا
sterman	ترمان
sterian	طریان
sterban	تربان
stenham	تنهام
steindl	تیندل
stehman	ثمان
stębark	تبارک
steamin	تاٌمین
stazak	تازاکی
stayner	طائر
stayman	ايمان
stawski	اوسکی
stawki	تاسوکی
stavrim	تاریم
stavila	تایلا
stauss	تاُسیس
statman	تامان
statler	تاتلر
statis	تاتیوس
statili	آتیلی
statik	تماتیک
stathi	تراثی
stather	تأثر
stathas	تات‌ها
statens	تاتنس
statcan	تاتان
statcan	تاتان
stastna	استنا
stassi	تاسسیس
staska	ایتاسکا
stasik	پتاسیک
stasia	تاسیات
starza	تارزان
starsia	آرسیا
starsha	ارس‌ها
starsem	تارسم
starna	تارنما
starmix	طارمی
starlix	تارلی
starla	تارلاک
starlab	طرلاب
starks	تارکوس
starkid	ارکید
starke	استارک
starion	تارین
starink	تاریک
starine	تارین
starfit	طرفیت
starfin	طرفین
starého	ستاره
stardew	تاردو
starday	تاردا
staraya	تَرَى
starane	تاران
stapar	تاب‌پار
stanzl	تانزلی
stanyer	طائر
stannis	تانیس
stankus	تانکس
stanish	آنیش
staniša	تانیا
stanica	تانیا
stanica	تانیا
stangl	تانگیل
stangir	انگیر
staneks	تانکس
standly	تاندل
standel	تاندل
stanari	اناری
stanard	تنارد
stampin	تاٌمین
stampfl	تامپل
štampar	تامار
stamnan	تامان
stamitz	تامیز
stamile	تامیل
stambha	تامبا
stalman	آلمان
stalins	الینس
stalino	تالین
staline	تالین
stalham	الهام
stålarm	تلارم
stakman	تامان
stainz	تایتنز
staind	تایلند
staiger	تایگر
stagira	اگیرا
stadnik	تانیک
stadin	تادینو
stabia	تابیتا
srpskih	سرپخ
sristi	ریاستی
srinath	رناته
srimal	پریمال
srikant	ریکان
srijit	بریژیت
srijana	ریانا
srichan	ریحان
srebnik	ربنیک
srdjan	اردجان
sratha	راکتها
sraosha	راسها
sramik	راسمیک
sraghna	اغنا
squitch	قیچ
squatch	قاچ
spyland	پلاند
spykman	پيمان
spurlin	پرلین
sproats	پراتس
spritze	پریتز
sprink	پروینک
spriggs	ریگگس
sprias	پرویاس
sprawa	پراودا
sprader	پرادر
sporkin	پرکین
spontin	پنتین
spoirit	پیریت
splanky	پلانک
spitzka	پیتکا
spittal	پیتال
spitale	پیتال
spitak	پیتساک
spisak	پیتساک
spiriva	پیریا
spirii	پی‌ریزی
spirig	پیرسیگ
spirgel	پیرگل
spirala	پیالا
spinzar	پینار
spinus	ساپینس
spinnin	پینین
spilman	پیمان
spillar	پیلار
spildra	پیدرا
spierin	پیرین
spiegal	پیگال
spicant	صیانت
spiazzi	پیازی
sperlin	پرلین
sperian	پریان
spathi	پارثی
spasimo	پاسیم
spartz	پایرتز
sparton	پارتن
spartax	پارتا
spartas	آرتاس
spartam	پارام
sparmac	پارما
sparkie	پارکِ
sparket	پارکت
sparkes	پارکس
sparil	پارسیل
sparham	ارحام
