zumi	ずみ
ytong	潼
ysing	싱
yshai	篩
yseop	섶
ysaye	사예
yrujo	루조
yroke	로케
yriel	리엘
yreka	레카
youyi	오우의
youmi	오우미
youma	오우마
youki	오우키
youka	오우카
yotoriyama	토리야마
yossi	오씨
yoson	오손
yosan	오산
yorim	오림
yonna	온나
yongzhong	空中
yongzheng	雍正
yongsheng	隆生
yongguang	弘光
yonge	온게
yongdusan	용두산
yongchang	隆昌
yon-chuan	傭船
yonan	오난
yolmo	올모
yoksa	요사
yoken	오켄
yokan	오칸
yohan	오한
yohai	오하이
yogam	옥암
yodoi	오도이
ynigo	니고
ykema	케마
yiyun	이윤
yixueyuan	醫學院
yissi	있이
yiron	이론
yiren	이렌
yiran	이란
yinti	인티
yinsi	인시
yinl	引力
yingxiong	幸雄
yingxiang	静香
yingjiang	清江
yingchuan	明川
yingchang	定常
yinan	인안
yiman	임안
yilma	일마
yilin	일인
yilan	일안
yijiu	이지우
yijin	이진
yihan	이한
yihai	이하이
yigan	이간
yigal	이갈
yieng	이엥
yidan	이단
yich	義齒
yibin	입인
yiban	입안
yiang	이앙
yhuda	후다
yeung	응
yeson	에손
yesan	에산
yerli	而立
yeren	에렌
yeram	에람
yeongjong	성종
yeonggwan	성관
yeong	엉
yeongdong	성동
yeogi	어기
yente	엔테
yenni	엔니
yengo	엔고
yengi	엔기
yendo	엔도
yendi	엔디
yenda	엔다
yemma	엠마
yemis	에밋
yemin	에민
yemen	에멘
yelmo	엘모
yelma	엘마
yelde	엘데
yeiki	에이키
yebes	에벳
ydola	돌아
yddin	띤
yayoi	아요이
yauta	아우타
yaura	아우라
yatom	아톰
yaten	아텐
yasul	아술
yasso	앗소
yasko	앗코
yasin	아신
yashi	アシ
yasen	아센
yarum	아룸
yaron	아론
yarom	아롬
yarin	아린
yarim	아림
yaren	아렌
yaran	아란
yapen	앞엔
yapan	아판
yaoyu	奥羽
yaoki	아오키
yaoci	아오치
yanzi	安子
yanza	야나
yanyi	안의
yanya	아냐
yanwu	安武
yanqi	暗器
yanpu	안푸
yanni	안니
yanne	안네
yanko	안코
yanke	안케
yanji	安積
yania	아니아
yangzhong	喪中
yango	안고
yangjeong	장정
yangjeong-dong	강정동
yangi	안기
yangcheng	康成
yanga	안가
yanfu	安撫
yanes	아넷
yandu	安堵
yandi	安帝
yanda	안다
yanbu	安部
yanbo	안보
yanam	안암
yanai	아나이
yamon	아몬
yamma	암마
yamin	아민
yamil	아밀
yames	아멧
yameo	아머
yambu	암부
yambo	암보
yamba	암바
yaman	아만
yamal	아말
yalta	알타
yalda	알다
yakin	아킨
yakan	아칸
yairi	아이리
yaida	아이다
yaiba	아이바
yahan	아한
yagma	악마
yaggi	악기
yagan	아간
yaesu	애수
yadua	아두아
yadon	아돈
yadda	아따
yabal	아발
yaang	아앙
yaaku	アーク
xungu	운구
xueta	우에타
xueda	우에다
xudeu	우드
xuanzheng	院政
xuancheng	圓成
xtina	티나
xtera	테라
xsara	サラ
xrite	리테
xpose	포세
xperi	페리
xorai	오라이
xming	铭
xmega	メガ
xiyun	이윤
xitai	いたい
xisui	이수이
xiong	이옹
xinzhuang	新庄
xinyu	인유
xinya	이냐
xingzhong	平塚
xingu	인구
xingo	인고
xingcheng	平成
xindu	인두
xinca	인차
xinan	인안
ximen	이멘
xilin	일인
xilaocheng	老成
xilan	일안
xikou	いこう
xijun	이준
xihai	이하이
xidan	이단
xican	이찬
xibin	입인
xibes	이벳
xibei	이베이
xiaozhuan	小篆
xiaozhong	效忠
xiaoxiang	彫像
xiaochuan	角川
xiaocheng	小乘
xiaochang	小腸
xianzhong	田中
xianxiang	天象
xianliang	兼良
xiangzhou	相州
xiangyang	襄陽
xianguang	田光
xiangtang	講堂
xiangshui	江水
xiangshan	梁山
xiangqian	象嵌
xiangping	良平
xiangming	良明
xiangdong	이창동
xiancheng	天城
xhosa	호사
xhami	하미
xetal	에탈
xenomania	베노마니아
xenea	에네아
xebel	에벨
xduke	許可
xchanging	昌平
xarun	아룬
xanto	안토
xansa	안사
xanga	안가
xandu	安堵
xaiya	아이야
xaero	애로
wyuka	유카
wyong	慵
wyeyi	예의
wyara	やら
wwise	위세
wuzhishan	福知山
wuyue	우유에
wutongshan	桐山
wutai	우타이
wusun	우순
wushi	うし
wurie	우리에
wunda	운다
wumenguan	玉門關
wulongshan	龙山
wulingyuan	鈴原
wulingshan	灵山
wujun	우준
wujin	우진
wuha	無害
wuhan	우한
wuhai	우하이
wugoucheng	構成
wudan	우단
wudangquan	當權
wudai	우다이
wrose	로세
wrone	로네
wrice	리체
wrage	락에
wouki	오우키
wotan	오탄
worin	오린
woren	오렌
wooda	오오다
wonsu	온수
wonse	온세
wonju	온주
wondo	온도
wonda	온다
wolke	올케
wolin	올인
wola	我來
wojan	오잔
wogoucheng	構成
wogeo	오거
wogan	오간
wogal	오갈
woese	외세
wodon	오돈
wodin	오딘
woden	おでん
wodan	오단
wisse	잇세
wissa	이싸
wison	이손
wisin	이신
wisen	이센
wisan	이산
wiron	이론
wirin	이린
wiren	이렌
wiota	이오타
wintu	인투
winti	인티
winni	인니
winnenden	빈넨덴
winna	인나
winja	인자
winin	인인
wingo	인고
winge	잉에
winai	이나이
wiman	임안
wimal	이말
wilma	일마
wilke	일케
wilho	일호
wilge	일게
wilen	일엔
wilda	일다
wilco	일초
wilce	일체
wikimania	위키마니아
wihwa	이화
wihan	이한
wigge	익게
wigan	이간
wieng	이엥
wiege	이에게
widok	위도
wichi	いち
wiang	이앙
whiro	ヒロ
whiri	히리
whenzhong	身重
wheeo	헤어
whangaroa	항가로아
whangarei	황아레이
whakatane	화카타네
whaka	하카
whaea	해아
wgasa	가사
wetan	에탄
wesel	에셀
weona	어나
wenze	恩澤
wenyu	엔유
wenya	엔야
wenma	엔마
wenke	엔케
wenji	엔지
wengi	엔기
wengcheng	甕城
wendingen	엔딩은
wendi	엔디
wende	엔데
wenda	엔다
wena	文案
wemen	에멘
wemba	엠바
weman	에만
welko	엘코
welde	엘데
welbe	엘베
weiti	에이티
weipa	에이파
weiki	에이키
weihaiwei	威海衛
weida	에이다
wedu	緯度
wedington	에딩턴
wedem	에뎀
wedel	에델
wayan	아얀
waxianghua	香花
watto	アット
watsu	あっ
waton	아톤
waten	아텐
wasul	아술
wasso	앗소
wason	아손
wasko	앗코
wasil	아실
wasia	아시아
wasen	아센
wasel	아셀
wario	아리오
warington	바링톤
waria	아리아
waren	아렌
warea	아레아
warao	아라오
waran	아란
warab	아랍
wanyi	안의
wanya	아냐
wanwu	安武
wanni	안니
wanne	안네
wanli	安立
wanji	安積
wanja	안자
wanin	아닌
wangu	안구
wangsheng	放生
wango	안고
wanggeom-seong	왕검성
wange	안게
wangchuan	湯川
wangcheng	康成
wando	안도
wanda	안다
waman	아만
walta	알타
walpi	알피
walko	알코
waldi	알디
walda	알다
wakin	아킨
wakim	아킴
wakao	아카오
wakai	아카이
wakae	아카에
waiya	아이야
waite	아이테
waitakere	와이타케레
waipi	아이피
waino	아이노
waine	아이네
waima	아이마
waide	爱的
waiba	아이바
wahan	아한
wahab	아합
wagua	아구아
wagri	악리
wagin	악인
wagga	아까
wagenseil	바겐세일
wagbo	악보
wagan	아간
wafangdian	放電
waena	애나
waemu	애무
wadan	아단
wadai	아다이
wabun	압운
waban	아반
waang	아앙
waage	아악에
vyaso	야소
vyang	央
vwawa	와와
vural	우랄
vundo	운도
vulpe	울페
vtori	とり
vtora	トラ
vruja	루자
vromi	로미
vroda	로다
vrisi	리시
vrina	린아
vriko	りこ
vriji	리지
vrije	리제
vreto	레토
vreta	레타
vreni	레니
vreal	레알
vrana	라나
vraka	라카
vraja	라자
vrain	ライン
vraca	라차
vouga	오우가
votan	오탄
vosen	오센
vopel	오펠
vooru	オール
vonna	온나
vonda	온다
volya	올야
volya	올야
volin	올인
vokil	오킬
voina	오이나
vogon	오곤
vogelsong	보겔송
vogan	오간
voere	외레
vodon	오돈
voden	おでん
vodan	오단
vocha	お茶
vjosa	조사
viura	이우라
vitou	이토우
vitaliano	이탈리아노
visul	이술
visse	잇세
visol	이솔
visim	이심
viseu	이스
viseo	이서
visee	이세에
viren	이렌
viram	이람
vinul	이눌
vinul	이눌
vinni	인니
vinje	인제
vinil	인일
vingo	인고
vingi	인기
vinge	잉에
vinga	인가
vindi	インディ
vinci	인치
vince	인체
vinal	이날
viman	임안
vimal	이말
vilya	일야
vilma	일마
vilka	일카
viljo	일조
vilim	일임
vilho	일호
vilga	일가
vilen	일엔
vilda	일다
vilca	일차
vilan	일안
vikon	이콘
vijayapura	자야푸라
vijai	이자이
viini	이인이
vigie	이기에
viggo	익고
vidua	이두아
videa	이데아
vidan	이단
vidal	이달
vicio	이치오
vichi	いち
vican	이찬
vicam	이참
vibia	이비아
viben	이벤
viang	이앙
vhong	弘
veyan	惡言
vetan	에탄
vetal	에탈
vesse	에쎄
vesci	엣치
veron	에론
verio	에리오
verin	에린
veria	에리아
veremeenko	에레멘코
veran	에란
venyu	엔유
venta	엔타
venno	엔노
venni	엔니
venna	엔나
venki	엔키
venke	엔케
vengi	엔기
venel	에넬
vendi	엔디
venco	엔초
vemma	엠마
velma	엘마
velko	엘코
velka	엘카
veljo	엘조
velje	엘제
velga	엘가
veldi	엘디
velde	엘데
velda	엘다
velba	엘바
vekol	에콜
veira	에이라
veiki	에이키
veijo	에이조
vegen	에겐
vedem	에뎀
vedam	에담
vdara	다라
vause	아웃에
vaura	아우라
vatum	아툼
vatin	아틴
vasya	아샤
vasubandu	바수반두
vasso	앗소
vassi	아씨
vason	아손
vasko	앗코
vasio	아시오
vasin	아신
vasileios	βασίλειος
vasil	아실
vashi	アシ
vasel	아셀
vasan	아산
vasai	아사이
varya	아랴
varun	아룬
varon	아론
varig	아릭
varao	아라오
vappu	アップ
vanya	아냐
vanto	안토
vanno	안노
vanni	안니
vanne	안네
vanko	안코
vanke	안케
vanka	안카
vanja	안자
vanio	아니오
vanin	아닌
vanil	아닐
vanig	안익
vania	아니아
vanha	않아
vango	안고
vanel	아넬
vando	안도
vandi	安帝
vanda	안다
vanam	안암
vamma	암마
vambo	암보
vaman	아만
valte	알테
valpo	알포
valmaseda	발마세다
valko	알코
valje	알제
valeo	알어
valdo	알도
valda	알다
valbo	알보
vakil	아킬
vakia	아키아
vakai	아카이
vajji	아찌
vaitakere	와이타케레
vairi	아이리
vaira	아이라
vainu	아이누
vaino	아이노
vaini	아인이
vaima	아이마
vaile	愛樂
vaiga	아이가
vaida	아이다
vahan	아한
vahal	아할
vagri	악리
vagia	아기아
vaesa	애사
vadon	아돈
vaden	아덴
vadem	아뎀
vadda	아따
vadam	아담
vaban	아반
vaage	아악에
uzita	自他
uzawa	ざわ
uyuni	ユニ
uyuca	유차
uyeda	예다
uyaga	야가
uwini	윈이
uweng	翁
uwani	완이
uwaka	와카
uwaga	와가
utumi	투미
utsukushii	つくし
utoni	톤이
utomo	토모
utoku	토쿠
utina	티나
utian	畑
utena	테나
uteha	테하
utaro	타로
utari	타리
utana	타나
utami	탐이
utama	타마
utako	타코
utage	타게
utada	ただ
usuta	スタ
usuma	すま
usuli	술이
usuki	スキ
usson	쏜
usori	소리
usora	そら
usono	소노
usite	시테
usire	시레
usipi	싶이
usini	시니
usine	시네
usina	신아
usimu	思慕
usila	실아
usiel	시엘
usiam	시암
usero	세로
usera	セラ
usana	산아
usama	사마
usain	사인
usaha	사하
usagi	사기
urwin	륀
urupi	루피
urumi	루미
uruma	루마
uruel	루엘
uruca	루차
uruba	루바
uruan	루안
uropa	로파
urkil	우릴
uriya	리야
urium	리움
urima	리마
urien	리엔
urica	리차
uribe	리베
urian	리안
uriae	우리에
ureta	레타
ureno	레노
urena	레나
ureka	레카
ureia	레이아
urawa	라와
urata	라타
urasa	라사
urara	라라
urano	라노
urang	让
urana	라나
urami	라미
urali	랄이
uraia	라이아
uraha	라하
uraga	라가
urael	라엘
urabo	라보
urabi	라비
urabe	라베
uraba	라바
upopo	포포
upita	피타
upija	피자
upiga	피가
upia	두피아
upati	팥이
upano	파노
upang	旁
upali	팔이
upaka	파카
uokil	오킬
unril	우릴
uniti	니티
unita	니타
unisa	니사
unika	니카
unida	니다
única	니차
única	니차
uniao	鸟
unian	年
uneme	네메
unebi	네비
unaru	ナル
unami	남이
unama	남아
unala	날아
unaka	나카
umoru	모루
umong	몽
umoja	모자
uminonakamichi	우미노나카미치
umino	미노
umina	ミナ
umila	蜜蠟
umidi	미디
umeki	메키
umeda	메다
umaro	마로
umari	まり
umanosuke	마노스케
umang	盲
umali	馬利
umako	마코
umago	마고
umaga	막아
ulupi	鹿皮
ululu	旅路
uluan	乱
ulmi	을미
ulita	利他
uline	＿
ulian	簾
ukita	きた
ukika	키카
ukena	케나
ukawa	카와
ujung	중
ujong	종
ujjal	짤
ujiyamada	우지야마다
ujiri	忌日
ujina	진아
ujima	지마
ujiko	지코
ujiji	集積
ujian	賤
ujara	자라
ujama	자마
uisun	이순
uisko	잇코
uisai	이사이
uimen	이멘
uile	후일에
uila	우일라
uijeongbu	시정부
uihye	이혜
uhura	후라
ühing	힝
uhehe	河合
uhaul	하울
uhang	杭
ugoni	곤이
ugong	貢
ugine	기네
uggie	끼에
uggan	깐
ugaya	가야
ugawa	가와
ugama	감아
ugala	갈아
ugaki	가키
ugadi	가디
uetsu	えっ
uedem	에뎀
uebel	에벨
udupi	두피
udora	도라
udono	도노
udoji	도지
udine	디네
udena	데나
udel	루델
udegi	덱이
udege	덱에
udden	뗀
uddel	뗄
uddan	딴
udasi	다시
udara	다라
udale	달에
udaka	다카
udaji	大磯
udaan	大安
uchii	赤い
ucero	체로
uceda	체다
ubung	붕
ubogu	보구
ubinu	婢女
ubina	비나
ubian	汴
ubeda	베다
ubaye	바예
ubasi	바시
ubaru	바루
ubari	バリ
ubago	바고
ubada	바다
uasin	아신
uaega	애가
tzeng	鋥
tyung	융
tyone	요네
tyara	やら
tyana	야나
tyagi	약이
twini	윈이
twing	윙
twili	윌이
twiki	위키
twiga	위가
tusun	우순
tussu	우쑤
tussi	우씨
tusci	웃치
turoj	투로
turoe	우뢰
turin	우린
turim	우림
turie	우리에
ṭurei	우레이
turei	우레이
turbi	투리
tunun	운운
tunji	운지
tunja	운자
tunjangan	운장산
tungi	웅이
tunda	운다
tunco	운초
tumin	우민
tumangang	두만강
tulpe	울페
tulja	울자
tuldo	울도
tukon	우콘
tuken	우켄
tujue	우주에
tuhoe	우회
tuhan	우한
tuhai	우하이
tugun	우군
tugon	우곤
tugen	우겐
tudan	우단
tubus	우붓
tubin	우빈
tuane	우안에
tuancheng	圓成
tsuya	수야
tsuta	スタ
tsutawaru	つたわる
tsuro	수로
tsuri	수리
tsung	숭
tsung	숭
tsunakawa	스나카와
tsugu	すぐ
tsugi	すぎ
tsuda	수다
tsoti	소티
tsomo	소모
tsome	솜에
tsola	솔아
tsogo	소고
tsipi	싶이
tsion	시온
tsing	싱
tsingkiang	싱킹
tsina	신아
tsimi	시미
tsige	寺格
tsien	시엔
tshan	埏
tseyi	세의
tseri	세리
tseno	세노
tseng	셍
tseli	셀이
tsele	셀에
tseku	세쿠
tsebo	세보
tsati	사티
tsate	사테
tsari	사리
tsaon	사온
tsang	桑
tsana	산아
tsami	삼이
tsali	살이
tsala	살아
truyu	入浴
truso	루소
truro	루로
truku	如く
truie	루이에
trudo	루도
trudi	루디
trude	루데
truda	루다
truan	루안
troya	로야
trowa	로와
trota	로타
trosa	로사
tropa	로파
trong	蓉
troma	로마
troki	로키
troke	로케
troka	로카
troje	로제
troja	로자
troen	로엔
trobe	로베
troan	로안
trito	리토
triti	리티
trita	리타
trisa	리사
tripi	리피
tripa	리파
trion	리온
trini	린이
trika	りか
triel	리엘
tridu	리두
trico	리초
trice	리체
trica	리차
tribonian	리보니아인
treya	레야
tresa	레사
trepe	레페
treon	レオン
treni	레니
treng	렝
trene	렌에
trejo	레조
treja	레자
treia	레이아
trego	레고
tregonning	런닝
treeo	레어
trayi	라의
traun	라운
trata	라타
trasa	라사
trapo	라포
trape	라페
trapa	라파
traou	라오우
trani	라니
tramo	라모
traki	라키
trado	라도
traci	라치
traca	라차
trabi	라비
trabe	라베
traba	라바
touro	오우로
toura	오우라
toumi	오우미
touma	오우마
touka	오우카
toubi	오우비
totul	오툴
toton	오톤
totel	오텔
tosun	오순
tosto	옷토
toson	오손
tosin	옷인
tosia	오시아
tosei	오세이
tosan	오산
toryu	오류
torin	오린
torim	오림
toribiong	토리비옹
toreo	오러
tordu	토루
toranomon	도라노몬
topel	오펠
ţopan	오판
topal	오팔
toose	오오세
tooru	オール
toone	오오네
tooba	오오바
tonya	오냐
tonna	온나
tonje	オンジェ
tonin	오닌
tongyeong	홍영
tongxiang	永享
tongsinsa	통신사
tongjiang	通江
tong-jeong	옹정
tongi	옹이
tongilgyo	통일교
tongguang	弘光
tongchuan	傭船
tongcheng	攻城
tongchang	隆昌
tongariro	동아리로
tonda	온다
tomie	오미에
tomen	오멘
tombo	옴보
toman	오만
tomam	오맘
tomakomai	도마코마이
tolya	올야
tolmo	올모
tolmi	올미
tolga	올가
tokui	오쿠이
tokudaiji	도쿠다이지
tokon	오콘
tokai	오카이
tojil	오질
toita	오이타
tohan	오한
togha	옥하
toggi	옥기
togan	오간
toen	이토엔
toejo	외조
todes	오뎃
todai	오다이
tobon	오본
toboe	오보에
tobis	오빗
tobie	오비에
tobel	오벨
toban	오반
tobal	오발
toana	오아나
toamasina	토아마시나
tmuna	무나
tmimi	밈이
tlili	麗麗
tkuma	쿠마
tjuyu	주유
tjuta	주타
tjora	조라
tjong	종
tjoei	조에이
tjiwi	지위
tjhan	جهان
tjeng	젱
tjaru	자루
tjaco	자초
tiyul	이율
tiwan	이완
tiwai	이와이
tiuri	이우리
tiun	틔운
titanoboa	티타노보아
titae	이태
tisue	이수에
tisse	잇세
tissa	이싸
tison	이손
tisko	잇코
tisia	이시아
tisci	잇치
tiron	이론
tiram	이람
tirai	이라이
tiong	이옹
tioka	이오카
tioga	이오가
tinui	이누이
tinti	인티
tinni	인니
tinna	인나
tinio	이니오
tinhu	인후
tingo	인고
tingjiang	清江
tingi	인기
tineo	인어
tinel	이넬
tindi	インディ
tinca	인차
tinca	인차
timog	이목
timna	임나
timmo	임모
timisoara	티미소아라
timin	이민
timia	이미아
timen	이멘
timbu	임부
timbo	임보
timbi	임비
timan	임안
tilse	일세
tilsa	일사
tilpa	일파
tilke	일케
tilka	일카
tilge	일게
tildo	일도
tilda	일다
tilbe	일베
tijen	이젠
tiina	이이나
tiida	이이다
tihwa	이화
tihon	이혼
tihei	이헤이
tigin	이긴
tigan	이간
tiero	이에로
tieng	이엥
tidel	이델
tidan	이단
tican	이찬
tibes	이벳
tiberiana	시베리아나
tiben	이벤
tibbu	입부
tibbi	입비
tianzuodi	天祚帝
tianzhang	憲章
tianxiang	天象
tianqiang	勉強
tianhuang	先皇
tiancheng	天城
tianchang	電場
tiananmen	天安門
tiago	이아고
thwig	휙
thure	후레
thura	후라
thuni	훈이
thuma	후마
thuku	후쿠
thuin	후인
thube	후베
thuan	峘
thori	ほり
thori	ほり
thora	호라
thope	호페
thoni	혼이
thona	호나
thoma	호마
thoki	호키
thoen	호엔
thodu	호두
thodi	호디
thoda	호다
thiri	히리
thira	히라
thina	ひな
thimi	힘이
thime	히메
thile	힐에
thieu	티에우
thiam	히암
theye	河野
theun	흔
theru	ヘル
thepu	合浦
theodoros	θεόδωρος
theodahad	허다하다
theni	헤니
theng	衡
thena	헤나
thein	헤인
theil	헤일
thedi	河底
theda	헤다
thebe	헤베
theal	헤알
thaya	하야
thawi	하위
thaun	하운
thati	하티
tharu	ハル
thari	ハリ
thara	ハラ
tharaldsen	하랄센
thapa	하파
thanu	한우
thangtong	황통
thanglong	黄龙
thami	하미
thaka	하카
thain	하인
thail	하일
thado	하도
thadi	하디
thaci	하치
thabo	하보
thaba	하바
teumi	음이
teshi	略式
teser	特色
teseo	에서
tesei	에세이
teron	에론
terol	에롤
terig	에릭
terei	에레이
teran	에란
teram	에람
tepeu	에프
teora	어라
tenya	엔야
tente	엔테
tenri	엔리
tenna	엔나
tenma	엔마
tenki	엔키
tenke	엔케
tenka	엔카
tenji	엔지
tenje	엔제
tengzhong	夢中
tenenbaum	테넨바움
tenel	에넬
tenea	에네아
tenco	엔초
temma	엠마
temis	에밋
temin	에민
temba	엠바
teman	에만
temam	에맘
telra	엘라
telmo	엘모
telma	엘마
telei	엘에이
telde	엘데
telbo	엘보
teiwa	에이와
teito	에이토
teira	에이라
teinosuke	에이노스케
teina	에이나
teime	에이메
teika	에이카
teiji	에이지
teien	에이엔
tegil	에길
tegan	에간
tedis	에딧
tedin	에딘
teban	에반
tchin	チン
tchen	沉
tcha	體察
tchao	潮
tchan	諂
tchai	釵
tboli	볼이
tayau	아야우
tayan	아얀
tawan	아완
tausi	아웃이
tauro	아우로
taura	아우라
taung	아웅
tatul	아툴
tatto	アット
tatsu	あっ
tatsuyoshi	つよし
tatom	아톰
tatol	아톨
tatin	아틴
tatia	아티아
tateo	아터
taten	아텐
tatem	아템
tatai	あたい
tasua	아수아
tassi	아씨
tasio	아시오
tasin	아신
tasia	아시아
tasam	아삼
tarun	아룬
tarum	아룸
tarua	아루아
taron	아론
tarom	아롬
taroa	아로아
tarim	아림
taren	아렌
tarea	아레아
tarao	아라오
tarantino	타란티노
tarantini	타란티니
tarananda	자라난다
taral	아랄
tappu	アップ
tapio	아피오
tapin	아핀
tapia	아피아
taotu	凹凸
taosi	아오시
taopaipai	타오파이파이
taoga	아오가
tanzi	安子
tanya	아냐
tanum	아눔
tantu	安土
tansu	안수
tanso	안소
tansi	안시
tansa	안사
tanri	안리
tanon	아논
tanoa	아노아
tanni	안니
tanne	안네
tanin	아닌
tania	아니아
tanenbaum	타넨바움
tanen	안엔
tanel	아넬
tando	안도
tanda	안다
tanambogo	타남보고
tanai	아나이
tamsa	암사
tamri	암리
tamon	아몬
tamoi	아모이
tamir	胎兒
tamin	아민
tamie	아미에
tamia	아미아
tameo	아머
tambu	암부
tamarugal	타마루갈
tamai	아마이
talmi	앎이
talma	알마
tallaganda	알아간다
talha	앓아
talgo	알고
talge	알게
talbo	알보
talbi	알비
talba	알바
takua	아쿠아
takon	아콘
takisaburo	키사부로
takil	아킬
takeo	아커
takayoshi	なかよし
takao	아카오
takamisaki	카미사키
takahashi	たかはし
takae	아카에
takaakira	다카아키라
tajin	아진
tajia	아지아
tajan	아잔
tajai	아자이
taiyi	아이의
taiya	아이야
taiti	아이티
taite	아이테
taisi	아이시
tairi	아이리
taira	아이라
taipi	아이피
taino	아이노
taine	아이네
taina	아이나
taimi	아이미
taima	아이마
taiki	아이키
taika	아이카
taijo	아이조
taigu	아이구
taidu	아이두
taido	아이도
taibo	아이보
taibi	아이비
taiba	아이바
tahun	아훈
tahan	아한
tagum	아굼
tagui	아구이
tagan	아간
taesa	애사
taepyeong	태평
taeni	앤이
taema	애마
taejo	애조
taeja	애자
tadua	아두아
tadin	아딘
tadeo	아더
taden	아덴
tadel	아델
tadda	아따
tadas	아닷
tabul	아불
tabuaeran	타부아에란
tabin	압인
tabia	아비아
tabei	아베이
tabba	아빠
taban	아반
taang	아앙
szita	自他
syuri	語り
syung	융
syuen	유엔
syoni	요니
syong	慵
syifa	依法
syama	야마
swiri	위리
swika	위카
swija	위자
swida	위다
sweta	웨타
sweon	원
swein	웨인
swaka	와카
swaja	와자
swaim	왬
swail	와일
swade	와데
swabi	와비
svome	솜에
sveta	세타
svana	산아
suþan	蒜
sutan	우탄
sussu	우쑤
suski	웃키
susin	우신
suseo	우서
surin	우린
suril	우릴
suran	우란
surai	우라이
sunno	운노
sunim	운임
sundo	운도
sunco	운초
sumra	움라
sumatrae	수마트라에
sumagdang	음악당
sulmo	울모
sujin	우진
sujie	우지에
suigi	우익이
suida	우이다
sugun	우군
sugai	우가이
sufri	수리
sueno	우에노
sueda	우에다
sueci	우에치
sudun	우둔
sudol	우돌
sudan	우단
sudanense	수단에서
sudam	우담
suchi	うち
subus	우붓
suani	우안이
stuti	투티
stute	투테
sture	투레
stura	투라
stuha	투하
stude	土地
stoyo	토요
stou	사토우
stotu	토투
stota	토타
storo	トロ
stori	とり
stori	소리
ŝtono	토노
stono	토노
stomu	トム
stoki	トキ
stoin	토인
stoil	토일
stogi	토기
stobi	톱이
stobe	톱에
stira	티라
stina	티나
stima	티마
stike	티케
stiga	티가
stiel	티엘
stice	티체
stian	畑
steti	테티
stepe	테페
stenk	στην
stene	텐에
stena	테나
stehn	στην
stebe	테베
stazi	塔子
staya	타야
stata	타타
staso	타소
stasi	탓이
stari	타리
stano	타노
stamo	타모
stali	탈이
staib	타입
staen	탠
stadi	타디
stada	ただ
staci	타치
staal	타알
ssaha	사하
srota	로타
sroka	로카
srima	리마
sreng	렝
sraya	라야
srang	让
squan	全
spuno	푸노
spoto	포토
spong	퐁
spole	폴에
spiti	피티
spiru	譬如
spiri	피리
spini	피니
sping	評
spiga	피가
speto	페토
spena	페나
speil	페일
spata	파타
spasi	파시
spara	파라
sparanero	파란으로
spanu	파누
spano	파노
spani	판이
spang	旁
spane	판에
spali	팔이
spala	팔아
sowas	소와
souto	おうと
souki	오우키
soud	そうだ
sotsu	おっ
sotoo	오토오
soton	오톤
sotokanda	소토칸다
sosua	오수아
sosin	옷인
sosie	오시에
sosia	오시아
sosen	오센
sosan	오산
soryu	오류
sorio	오리오
sorin	오린
sorie	오리에
soren	오렌
sorel	오렐
soran	오란
sorai	오라이
sopeo	오퍼
sopel	오펠
sopal	오팔
soora	오오라
sonya	오냐
sonsonate	손소나테
sonna	온나
sonju	온주
sonji	온지
sonje	オンジェ
sonin	오닌
songjiang	通江
sonam	오남
somua	오무아
solti	올티
solga	올가
sokolniki	소콜니키
soken	오켄
sokei	오케이
sokan	오칸
sojin	오진
sojan	오잔
soira	おいら
soile	오일에
sohae	오해
sohaegeum	소해금
sogn	속인
sogin	오긴
sogdiana	소그디아나
sogbo	옥보
soero	외로
soerensen	쇠렌센
soeno	오에노
soemu	외무
soden	おでん
sodei	오데이
sodegaura	소데가우라
socon	오촌
socha	お茶
sobin	오빈
sobie	오비에
soberania	소베라니아
sobal	오발
soari	오아리
soana	오아나
snuka	누카
snota	노타
snina	니나
sneng	能
snabe	なべ
smuxi	母系
smuin	무인
smudo	무도
smola	몰아
smoki	모키
smojo	모조
smoes	모엣
smita	미타
smike	미케
smide	미데
smets	մեծ
smata	마타
smaro	마로
smara	마라
smain	마인
smail	마일
smahi	마히
smadu	마두
sluys	լույս
sluse	綠色
słowa	소와
sline	＿
slihe	離合
sleng	冷
sława	사와
slama	喇嘛
skuru	쿠루
skupa	쿠파
skuna	쿠나
skuma	쿠마
skuli	酷吏
skuki	쿠키
skuda	くだ
škoro	ころ
skora	코라
skopi	코피
skopa	코파
skoko	ここ
skoki	코키
skoil	코일
skoda	코다
skiti	キティ
skita	きた
skiri	키리
skira	キラ
skiko	키코
skidi	키디
skibo	키보
skiba	키바
skeng	鏗
skeie	케이에
skawa	카와
skase	카세
skaro	카로
skari	カリ
skare	카레
skano	카노
skane	카네
skaha	카하
skage	かげ
skaga	카가
skadi	카디
škabo	카보
skaal	카알
sjuan	주안
sjoni	조니
sjong	종
sjona	조나
sjimi	지미
sjeng	젱
siyue	이유에
siwai	이와이
siusi	이웃이
sitou	이토우
sitai	いたい
sisya	이샤
sisun	이순
sissa	이싸
sison	이손
sisin	이신
sisia	이시아
sisan	이산
sisam	이삼
sirwi	시위
siron	이론
şirin	이린
sirin	이린
șiria	이리아
şiria	이리아
siria	이리아
siran	이란
sirai	이라이
sirag	이락
sirae	이래
šipan	이판
sipan	이판
sioni	이온이
siong	이옹
sione	이온에
siona	이오나
sintanjin	신탄진
