zya	זיא
raay	אאי
raah	אאה
raad	אאד
qvav	באו
qvam	ואם
qurayyat	ראייאת
qumi	וּמִי
quanshan	אנשאן
qtel	תֵל
qsar	סאר
qong	וֹנג
qohelet	קֹהֶלֶת
qirq	קרק
qianyang	אניאנג
qianshan	אנשאן
qays	איס
qayamat	וַיָּמָת
qata	אטא
qatalyst	אתאיסט
qash	אסה
qasa	אסא
qarr	ארר
qara	ארא
qarayyah	אראייה
qaraylar	אראיאר
qana	אנא
qama	אמא
qaim	אִם
qahr	אהר
qafa	אפא
qaen	אֵן
qaem	אֵם
qadriyah	אדריאה
pzgr	זגר
pyun	יוּן
pyst	יסט
pyrz	ירז
pyry	ירי
pyra	ירא
pynn	ינן
pyms	ימס
pymm	ימם
pylyshyn	ילשין
pyin	יִין
pyhy	יהי
p'ya	עיא
pyay	יאי
pyat	יאט
pyar	יאָר
pvts	בץ
puno	וּנוֹ
pung	וּנג
pumi	וּמִי
puan	וּאן
ptsa	צַ
ptah	טַה
psin	סִן
psel	סֵל
przy	רזי
przy	רזי
prys	ריס
pryn	רין
prus	רוּס
prun	רוּן
prum	רוּם
prty	רטי
probert	רוֹבֶּרְט
preh	רֶה
praz	ראז
pras	ראס
prasanth	אסאנטה
prap	ראף
pran	רַן
prag	ראג
praa	ראא
pnar	נאר
plyr	ליר
plym	לים
plin	לִין
plaz	לאז
playday	לאידאלי
plav	לאו
plantyn	לאונטין
plantas	פלאנתאס
phyl	היל
phun	הוּן
phua	הוּא
phor	הֹר
phol	הוֹל
phlm	הלמ
phin	הִין
phia	הִיא
phen	הֵן
phem	הֵם
phayayen	האיאין
phar	הַר
pharand	הגאראנד
phap	האף
pham	האמ
phal	האל
pfyn	פינ
pfam	פאם
pfad	פאד
perucho	בְּרוּחוֹ
perdono	פְּרוֹנטוֹ
penikese	נִכְסֵי
penh	אֶנה
pelevin	קֶלְוִין
pecheneg	חֶנְג
pazy	אזי
paystar	אישתאר
payr	איר
pavy	אבי
paverman	אורמאן
paun	אוּן
paundras	אנדראס
patz	אטז
paty	אתי
patr	אתר
pateros	קַתְרוֹס
parv	ארו
parn	ארן
parl	ארל
parishad	ארשאד
parf	ארפ
pard	ארד
parayan	קאראיאן
paravant	אראבאן
paravani	אראבאן
paranal	פאראנאל
paraman	קאראמאן
paor	אוֹר
paol	אוֹל
pank	אנכ
panistas	אנסטאס
panh	אנה
pandoras	אנדראס
pandavs	אנדראוס
pams	אמס
pama	אמא
palz	אלז
palmerah	אָמְרָה
palmarsh	למארש
palk	אלכ
palatyn	גאלאטין
palasta	אלאוסטא
pakravan	אראבאן
pahl	אהל
pagg	אגג
paga	אגא
paff	אפפ
paes	אֵס
padarth	אנדארטה
pach	אָח
pachalam	אחלאם
paal	אָאל
ozzy	זזי
ozra	זרא
özer	זֵר
ozer	זֵר
ozar	זָר
özal	זאָל
özak	זאך
ozak	זאך
oysl	יסל
oyly	ילי
oyin	יִין
oyfn	יפן
øyen	יֵן
oyeh	יֶה
oyat	יאט
oyan	יַן
oyam	יַם
ovug	ווּג
ovey	בֵיי
ovda	ודא
ovar	באר
ovan	ואן
ovadyah	באידיאה
ovaa	בָא
ouan	וּאן
otyg	טיג
otts	טץ
ottorino	טוֹרִינוֹ
otta	תטא
otshchan	שחאן
otse	צְ
otor	תוֹר
oton	טוֹן
otha	טהא
otay	טאי
otar	טאר
osyp	סיף
osus	סוּס
osun	שׂוּן
osud	סוּד
osty	סתי
ostland	סטלאלנד
osthryth	שריטה
ossy	ססי
osry	סרי
osna	סנא
osma	סמא
osla	סלא
ōshu	שוּ
osen	סֵן
osel	סֵל
oseh	סְה
osat	סאת
osas	סאס
osan	סַן
osam	שָׂם
orza	רזא
oryu	ריוּ
orys	ריס
orva	רבא
orus	רוּס
orun	רוּן
ortt	רטט
orph	רפּה
orot	רוֹט
orny	רני
orns	רנס
orna	רנא
ormy	רמי
örmt	רמת
orma	רמא
orlovets	רֹבֵץ
órla	רלא
orla	רלא
orkz	רכז
orka	רכא
öreg	רֶג
oreb	רֵבּ
oray	ראי
óran	רַן
oran	רַן
oram	ראמ
oraa	ראא
opryland	רילאנד
operatio	פְּרָטוֹ
opar	פַּר
onzy	נזי
onur	נוּר
onsy	נסי
onny	נני
onks	נכס
onet	נְט
oner	נֵר
oneg	נְגּ
ondt	נדת
ónar	נאר
onan	נאן
onam	נאם
önal	נאל
omya	מיא
omsk	מסך
omon	מוֹן
omis	מִיס
omim	מִים
omid	מִיד
omey	מֵיי
ömer	מֵר
omayyads	מאיידס
omau	וֹאוּ
oman	מַן
omam	מאם
omak	מאך
olys	ליס
olya	ליא
olvy	לוי
ólta	לטא
ólta	לטא
olta	לטא
olsy	לסי
olst	לסט
olry	לרי
oloy	לוֹי
olmy	למי
olma	למא
oliveri	לִבְרִית
olifants	לפאנץ
olha	להא
olge	לגְ
oley	לֵיי
olev	לֵב
oldy	לדי
oldt	לדת
olaz	לאז
olay	לאי
olav	לאו
olat	לאט
olas	לאס
olas	לאס
olar	לאר
olag	לאג
ólaf	לאפ
olaf	לאפ
olad	לאד
okur	כּוּר
okta	כתא
okoh	כֹּה
ōken	כֵן
oken	כֵן
okaz	כאז
okashana	כאשאן
okap	כאף
okan	כאן
ohrt	הרט
öhrn	הרנ
ohra	הרא
ohod	הוֹד
ohma	המא
ohly	הלי
ohls	הלס
ohka	הכא
ohga	הגא
ohav	האו
ohan	האן
ohad	האד
ogur	גּוּר
ógra	גרא
ogoy	גּוֹי
ogny	גני
ogma	גמא
oghy	גהי
öger	גֵר
oger	גֵר
oged	גֵד
ogas	גאס
ogar	גאר
ogan	גאן
ogan	גאן
ogam	גַם
ofra	פרא
offy	פפי
ofen	פֶן
œsel	סֵל
odym	דים
ödra	דרא
odra	דרא
odom	דוֹם
odna	דנא
ōden	דֵן
odel	דֶל
oddy	דדי
odan	דאן
odam	דאם
odak	דאך
odah	דָּה
ochy	חי
obon	בּוֹן
obel	בֶּל
obayashi	בָּאשִי
obal	בַּל
oaty	אתי
oarm	ארם
oard	ארד
oans	אנס
oanh	אנה
oala	אלא
nzas	זאס
nyth	יטה
nyst	יסט
nystrand	סטראנד
nyrt	ירת
nyro	ירוֹ
nyra	ירא
nyon	יוֹן
nyen	יֵן
nyay	יאי
nyas	יאס
nyar	יאָר
nyah	יאה
nyad	יַד
nuur	נוּר
nurû	נוּר
nuri	וּרִי
ntv7	נתב
ntsu	צוּ
ntf	אנתפ
nser	סֵר
nsam	שָׂם
nrsy	רסי
n.os	נוֹס
nostrand	סטראנד
nokrashy	כראשי
nner	נֵר
nmin	מִין
niva	נבא
nhon	הוֹן
nhin	הִין
nhia	הִיא
nhau	נהא
nhat	האָט
nhas	האס
nhan	האן
ngoy	גּוֹי
ngor	גוֹר
ngma	גמא
ngin	נגן
ngas	גאס
ngar	גאר
ngaraard	גארארד
ngap	גאף
ngam	גַם
ngadyan	גארדיאן
nesr	נסר
nele	אֱלֵי
neil	נֶל
nechayev	אֶחָיו
neal	נאל
ndom	דוֹם
ndne	נדן
nchu	חוּ
nchanga	חאנגאי
nazz	אזז
nazr	אזר
navstar	אולסטאר
naun	אוּן
naum	אֻם
nat.	נאת
naty	אתי
natrang	באטראנג
nast	אסט
nastran	אסטראנס
nastasha	אסטאש
nasr	אסר
nashland	אשלנד
nashabat	שַבָּת
narz	ארז
nart	ארט
narr	ארר
narn	ארן
narm	ארם
narayan	קאראיאן
naqa	אקא
napu	נאף
naor	אוֹר
naon	אוֹן
nanz	אנז
nany	אני
nann	אנן
nanchan	אן,חאן
namm	אממ
namgyal	נאמגיאל
nall	אלל
nala	נלא
nala	אלא
naks	אכס
naim	אִם
nahr	אהר
nahm	אהמ
nahl	אהל
naha	אהא
naharon	זַהֲרוֹן
naguila	נָגִילָה
nagg	אגג
nagaland	גאלאנד
nafa	אפא
naes	אֵס
naer	נֵר
nady	אדי
nadr	אדר
nachash	נָחָשׁ
nacharam	חַרַם
naav	אאו
naas	אאס
naal	אָאל
mytr	יטר
mysl	יסל
myslyman	סלימאן
myrt	ירת
myrs	ירס
myro	ירוֹ
myra	ירא
myon	יוֹן
mylo	מיל
mydland	מידלאנד
myat	יאט
myal	יאל
mvan	ואן
muur	מוּר
mußt	מוּת
múry	מרי
murshilish	מוּרְשִילִיש
muré	מוּר
muno	וּנוֹ
munavvar	נאוואר
mume	מוּם
múkk	מכך
mttb	מתת
mtns	טנס
mtmb	מתמ
mtel	תֵל
mtar	טאר
msus	סוּס
msgr	סגר
mros	רוֹס
mraz	ראז
mqéy	מקי
mpay	מאי
moun	מוּן
moshasha	שאשא
mory	מרי
moniyot	אֳנִיּוֹת
mǫgr	מגר
moey	מֵיי
mnya	ניא
mnga	מגא
mnet	נְט
mmes	מֵס
mlan	מַן
mladost	מלאדוסט
mishmast	שמאסת
michmash	חמאסה
mianyang	אניאנג
mhyr	היר
mhor	הֹר
mgsr	גסר
mgnm	גנם
mgar	מאר
mệnh	מנה
menh	אֶנה
melandry	לאנדרי
megaland	גאלאנד
medinat	מְדִינַת
medinah	מְדִינָה
mban	מַן
mbam	בָּם
mbak	מאך
mbah	בַּה
mazz	אזז
maytham	איסטהאם
mayr	איר
mayn	אינ
maynardi	מינארד
mavs	אבס
mava	אוא
maut	מוּת
maum	אֻם
matz	אטז
maty	אתי
mataram	מאטאראם
matanzas	אטאנאס
mastras	אסטראנס
masr	אסר
mashadar	שאדאר
masd	אסד
masayasu	אסאיאס
masarati	שָׂרָתִי
marysas	אריסטאס
maryland	רילאנד
martyras	מאתיאס
martynas	ארינאס
martland	ארטלנד
martensi	מַרְסִי
marsyas	מארסיאס
marsland	ארסלאן
marselan	ארסלאן
marn	ארן
marmande	ארמאנד
marland	גארלאנד
mariana	מָרִינָה
mardakan	ארדכאן
marciano	מָרָנוֹ
marchart	ארהארט
maravani	אראבאן
maor	אוֹר
maon	אוֹן
manz	אנז
mant	אנת
mantran	האנטראן
mansaray	אנסארי
mank	אנכ
manh	אנה
mandurah	אנדראה
mandart	אנדארטה
mandans	סאנדאנס
manchan	אן,חאן
manavar	אדנאואר
manafest	אנאפסט
mamy	אמי
mams	אמס
mamá	מאם
maly	אלי
malyshev	אלישב
malvares	אלבארס
maltzman	אלזמאן
malthas	אלטהאוס
mals	אלס
malovany	אלבאני
malm	אלמ
malayans	אליאנס
malavas	אלאגואס
malavan	באלאבאן
malasar	אלאסראר
malagash	לַגַש
maks	אכס
makh	אכה
maio	אִיוֹ
maio	אִיוֹ
mahy	אהי
mahn	אהן
mahl	אהל
mahd	אהד
maharash	האראש
magt	אגת
magg	אגג
magd	אגד
mafo	מאפ
maff	אפפ
maev	אֵב
madz	אדז
mady	אדי
madrash	אנדראש
madl	אדל
maby	אבּי
maaz	אאז
maay	אאי
maanshan	אנשאן
maah	אאה
lzzy	זזי
lyva	יבא
lyut	יוּת
lyth	יטה
lyta	יתא
lysy	יסי
lyst	יסט
lynn	ינן
lynd	ינד
lymn	ימן
lymm	ימם
lyis	ליס
lyda	ידא
lyal	יאל
lvi	לֵוִי
lvin	בִן
luri	וּרִי
lubuntu	אוּבּוּנטוּ
luanshan	אנשאן
lsíd	לסד
lsel	סֵל
lōng	לנג
loau	וֹאוּ
lnc	לנח
lmul	מוּל
lmna	מנא
llyr	ליר
lll	לילל
lles	לֶס
llao	לאוֹ
ljud	לוּד
livs	לבס
lítt	לתת
limavady	מאבאדי
lii	לִילִי
liha	להא
liha	להא
lhun	הוּן
lhsa	הסא
lhin	הִין
lhan	האן
levu	לֵב
levanon	לְבָנוֹן
levanah	לְבָנָה
leús	לֶס
leto	לֵית
lệnh	לנה
lenh	אֶנה
lemberg	לֶמבֶּרג
leeshar	אֶפְשָׁר
lavr	אבר
lavrenty	אברנטי
lavrans	אוראנוס
lavi	אָבִי
lavf	אופ
lavarack	אבאראך
lau	לִיאוּ
laur	אוּר
laurynas	ארינאס
laudamus	לאדאמס
latz	אטז
latt	אתת
latramys	אראמיס
lastras	אסטראנס
laßt	לאט
lasn	אסן
lashgar	קאשגאר
lashgary	שגארי
lashalom	שָלוֹם
lasa	אסא
lasantha	אסאנטה
larz	ארז
lary	ארי
larv	ארו
lars	ארס
larr	ארר
larf	ארפ
laqa	אקא
laot	אוֹת
laor	אוֹר
laon	אוֹן
laokein	אוֹכְלִין
lanz	אנז
lany	אני
lani	אָנִי
langlond	אנגלנד
langleys	אנגליס
langland	אנגלנד
langfang	אנפאנג
langara	אנגאראב
landsins	אנדסנס
landsat	לאנדסאט
landrith	אנדרתה
landreth	אנדרתה
lamy	אמי
lams	אמס
lalm	אלמ
lall	אלל
lalgarh	אלגארבה
laim	אִם
lahr	אהר
laho	לאוֹ
lahn	אהן
lahm	אהמ
laet	אֵת
laem	אֵם
lael	אֵל
ladd	אדד
lach	אָח
lachryma	אחרים
laby	אבּי
labanim	הַבָּנִים
laas	אאס
laad	אאד
kziv	זִיו
kyst	יסט
kyra	ירא
kymn	ימן
kyma	ימא
kyln	ילן
kydland	מידלאנד
kyan	יַן
kyal	יאל
kvashay	ואשראי
kvam	ואם
kvað	כבא
kuno	וּנוֹ
kubuntu	אוּבּוּנטוּ
kuan	וּאן
ktav	טאו
kshetra	כשתראה
kshetram	שטראם
kshetram	שטראם
ksan	סַן
krys	ריס
krym	רים
kryl	ריל
krya	ריא
krvi	כרו
kruz	רוּז
krun	רוּן
krst	רסט
krot	רוֹט
krma	רמא
krka	רכא
kreg	רֶג
kreb	רֵבּ
kraz	ראז
kraschel	רָחֵל
kran	רַן
kosi	כּוֹס
komt	כמת
kommadam	ממאדאם
kohelet	קֹהֶלֶת
koau	וֹאוּ
knos	נוֹס
knor	נוֹר
knop	נוֹף
knaz	נאז
knar	נאר
kmer	מֵר
kmen	מֶן
kmak	מאך
kmag	מאג
klot	לוֹט
klob	לוֹבּ
kley	לֵיי
kleberg	לֶמבֶּרג
klay	לאי
klas	לאס
klao	לאוֹ
klan	לאנ
klal	לאל
klak	לאך
klah	לַ‏ה
klag	לאג
klaa	לַא
kistrand	סטראנד
kirchman	רחמאן
kikstart	כסטארט
khym	הים
khvylovy	הבילוי
khvansar	האנסאר
khurshah	הרשאה
khoy	הוֹי
khol	הוֹל
khna	הנא
khlysty	הבליסטי
khlystys	ליסטיס
khia	הִיא
khes	הֶס
kher	הֶר
kher	הֶר
khen	הֵן
khem	הֵם
khaz	האז
khay	האי
khayran	האיראני
khatzman	האטמאן
kharasch	האראש
kharadar	הראדאר
kharach	הָרוּחַ
khaliqan	האלקאן
khalasa	האלאסאן
khaf	האפ
kfar	פאר
keturah	קְטוּרָה
keshavan	שאבאן
kericho	יְרִיחוֹ
kenu	כֵן
kenn	כנן
kemberg	לֶמבֶּרג
kean	כאן
kdam	דאם
kbal	בַּל
kayy	איי
kaytlyn	איטליין
kayslay	איסלאמי
kayr	איר
kayraly	איראקלי
kayó	כאי
kavvanôt	אוואנט
kavl	אבל
kavalan	אוראלאן
kavadian	אבאדאן
kauz	אוּז
kaur	אוּר
katz	אטז
katy	אתי
katalyst	אתאיסט
kasy	אסי
kastran	אסטראנס
kastanas	אטאנאס
kass	אסס
kasr	אסר
kashgar	קאשגאר
kashdan	אשדאון
karz	ארז
kary	ארי
karyzny	אריזוני
kars	ארס
karm	ארם
karmdand	ארמאנד
kark	ארכ
karg	ארג
karenann	אָרְנָן
ḳara	ארא
kapı	כאף
kapayim	אַפַּיִם
kaos	אוֹס
kaol	אוֹל
kanz	אנז
kany	אני
kanu	אָנוּ
kantaris	אנטארס
kank	אנכ
kandyan	אינדיאן
kandovan	אנדואן
kanchan	אן,חאן
kanarrah	אנאראה
kamp	כאף
kamm	אממ
kamf	אמפ
kaly	אלי
kalyvas	אוליבאס
kals	אלס
kaln	אלן
kalk	אלכ
kalf	אלפ
kald	אלד
kalatch	אלפאתח
kalasan	אלבאסאן
kalasam	אלאסלאם
kalahan	קאלאהאן
kakh	אכה
kaitake	אִתָּךְ
kair	כאר
kaim	אִם
kahr	אהר
kahn	אהן
kahl	אהל
kagy	אגי
kags	אגס
kagg	אגג
kaga	אגא
kafr	אפר
kaev	אֵב
kaes	אֵס
kaen	אֵן
kael	אֵל
kady	אדי
kadr	אדר
kadd	אדד
kaby	אבּי
kaay	אאי
kaal	אָאל
kaai	אאִ
kaah	אאה
jymn	ימן
jymm	ימם
juri	וּרִי
jonatan	יוֹנָתָן
johanes	יוֹהַנֶס
jnan	נאן
jmol	מוֹל
jmal	מאל
jlli	ללִי
jlan	לאנ
jkfr	כפר
jianyang	אניאנג
jhon	הוֹן
jheh	הֶה
jhar	הַר
jhan	האן
jele	אֱלֵי
jehudah	יְהוּדָה
jehovah	יְהֹוָה
jehoram	יְהוֹרָם
jdey	דֵיי
jchi	חִ
jazy	אזי
jaym	אים
javy	אבי
javr	אבר
javi	אָבִי
jauz	אוּז
jaur	אוּר
jaun	אוּן
jatt	אתת
jats	אצ
jate	אָתֵי
jast	אסט
jasa	אסא
jary	ארי
jart	ארט
jarh	ארה
jarallah	אראללה
jaqa	אקא
janz	אנז
jany	אני
janu	אָנוּ
januvary	אנבארי
jans	אנס
janq	אנק
jank	אנכ
jand	אנד
jamy	אמי
jamt	אמת
jamm	אממ
jamf	אמפ
jalk	אלכ
jale	אלְ
jakt	אכט
jakt	אכט
jakl	אכל
jaim	אִם
jahr	אהר
jahn	אהן
jahm	אהמ
jagr	אגר
jagd	אגד
jaff	אפפ
jafa	אפא
jaen	אֵן
jael	אֵל
jadriyah	אדריאה
jadd	אדד
jaal	אָאל
jaai	אאִ
izzy	זזי
izyaslav	זאסלאב
iziaslav	זאסלאב
izen	זֶן
izeh	זֶה
izar	זָר
izal	זאָל
i̇zak	זאך
izak	זאך
iyon	יוֹן
iyar	יאָר
iyah	יאה
iyad	יַד
ivyanets	ביאנצ
ivry	ורי
ivor	בוֹר
ivon	ווֹן
ivin	בִן
ivey	בֵיי
ivet	בֵית
ivel	בֶל
ivashky	ואשכים
ívar	באר
ivar	באר
ivan	ואן
ivandvor	ואנדור
ival	ואל
ivak	באכ
ivah	באה
iuno	וּנוֹ
itys	טיס
itsu	צוּ
iton	טוֹן
itin	טִין
itha	טהא
iten	תֵּן
itat	תאת
issy	ססי
isra	סרא
isny	סני
isna	סנא
i̇sma	סמא
isly	סלי
ishu	שוּ
ishq	שק
isho	שוֹ
ishlangu	שלאנג
ishihama	שהאמא
ishe	שֶ
iset	סֵט
iser	סֵר
isen	סֵן
isel	סֵל
isay	סאי
isar	סאר
isam	שָׂם
isaf	סאפ
isad	סאד
iryn	רין
irva	רבא
irun	רוּן
irth	רטה
irta	רתא
irom	רוֹם
irna	רנא
i̇rma	רמא
irma	רמא
irla	רלא
irka	רכא
iren	רֶן
iraz	ראז
iray	ראי
iraq	ראק
iraq	ראק
iran	רַן
iran	רַן
iram	ראמ
iral	ראל
iqra	קרא
iput	פּוּט
inya	ניא
inva	נבא
intl	נטל
insh	נסה
inos	נוֹס
inny	נני
inha	נהא
ingraham	גראהאם
inay	נאי
inat	נאת
i̇nan	נאן
inam	נאם
inag	נאג
imyl	מיל
imst	מסת
imry	מרי
imra	מרא
imperato	פְּרָטוֹ
imna	מנא
imla	מלא
imin	מִין
imey	מֵיי
imet	מֵת
i̇mer	מֵר
imer	מֵר
imaz	מאז
imar	מאר
i̇mam	מאם
imad	מאד
imadshah	מדשאה
ilzy	לזי
ilya	ליא
ilva	לוא
ilut	לוּט
ilta	לטא
ilsharah	שאראה
ilsa	לסא
ilot	לוֹט
ilmr	למר
illy	ללי
ilke	לךְ
iley	לֵיי
iles	לֶס
ilch	לח
ilar	לאר
ilaq	לאק
ilam	לאם
iksy	כסי
iksa	כסא
ikle	כלֵי
iken	כֵן
ikar	כאר
ikam	כאם
ikam	כאם
ijaz	ג׳אז
ijaz	ג׳אז
ihya	היא
ihud	הוּד
ihor	הֹר
ihi	וִיהִי
ihar	הַר
ihan	האן
ihan	האן
igun	גוּן
ígor	גוֹר
igor	גוֹר
igma	גמא
igls	גלס
igla	גלא
iger	גֵר
igay	גאי
igar	גאר
igarashi	גאראש
igam	גַם
ifra	פרא
ifor	פוֹר
iffa	פפא
ifat	פאת
ifar	פאר
ifan	פאנ
idyl	דיל
idta	דטא
idra	דרא
idov	דֹב
idna	דנא
idla	דלא
ider	דֶר
idel	דֶל
idas	דאס
idar	דאר
idan	דאן
idah	דָּה
icha	חא
ibur	בּוּר
ibun	בּוּן
ibun	בּוּן
ibuk	בּוּך
iber	בֶּר
iben	בֶּן
ibel	בֶּל
ibal	בַּל
iavr	אבר
iarl	ארל
ianr	אנר
iann	אנן
iams	אמס
iain	אִין
iaai	אאִ
iaai	אאִ
hyun	יוּן
hyra	ירא
hyon	יוֹן
hynd	ינד
hyms	ימס
hymm	ימם
hyen	יֵן
hyda	ידא
hyat	יאט
hyam	יַם
hyah	יאה
hvit	בִית
hven	וֶן
hvam	ואם
huná	הוּן
huha	ההא
htin	טִין
htet	תֵּת
htat	תאת
htan	טאן
hsin	סִן
hsan	סַן
hrym	רים
hrun	רוּן
hrom	רוֹם
hrdy	רדי
hoshanah	שָׁנָה
homulus	רוֹמוּלוּס
holà	הוֹל
hode	הוֹד
hnes	נֵס
hmyz	מיז
hmo	המוֹן
hmam	מאם
himn	המנ
hham	האמ
hgem	הֵם
hfac	הפא
heze	אֶזֶ
hermano	הֶרְמַן
hermanas	הרמאנס
hēra	הרא
hazaryan	אזריאן
ḥayy	איי
hayt	אית
hayq	איק
haym	אים
hayk	איך
hayesod	הַיְסוֹד
hayesod	הַיְסוֹד
hayehudi	יְהוּדִי
hayamim	הַיָּמִים
havn	און
haverman	אורמאן
havener	אַבְנֵר
havards	אדוארדס
havanas	אוסאנאס
haur	אוּר
hauptman	האטמאן
haun	אוּן
haum	אֻם
haum	אֻם
hatz	אטז
hatrans	אסטראנס
ha-tora	הַתּוֹרָה
hatchard	אתחאד
hata	אטא
hasq	אסק
hasnath	מאסנאטה
hashomer	שׁוֹמֵר
hashash	ואשאש
ha-shamayim	הַשָּׁמַיִם
hasa	אסא
harz	ארז
hary	ארי
harv	ארו
hartuac	הָרוּחַ
hartsche	ארצח
hartland	ארטלנד
harq	ארק
harn	ארן
harl	ארל
harland	גארלאנד
harg	ארג
hardyng	הארדינג
hardhand	ארדהאן
ḥaraman	קאראמאן
haradhan	ארדהאן
harabati	רַבָּתִי
haql	אקל
haos	אוֹס
hanz	אנז
hany	אני
hanu	אָנוּ
hantzsch	אנצח
hanl	אנל
haniyah	עֲנִיָּה
hanh	אנה
hangland	אנגלנד
hanefesh	נֶפֶשׁ
handshy	אנדרשי
hanchan	אן,חאן
hamy	אמי
hamn	אמנ
halychna	אליחן
halvdan	אלבלדאן
halvarth	אוארטה
halsard	אלסגארד
ḥalq	אלק
halq	אלק
hallvard	אלוארד
halk	אלכ
halfyard	אלפארד
halfords	אלפרדס
halesham	לְשָׁם
hald	אלד
halahan	קאלאהאן
hakr	אכר
hakohen	לַכֹּהֵן
hakohen	הַכֹּהֵן
ha-i	הַ־
haim	אִם
hailsham	אלשאם
hagy	אגי
hagolah	הַגּוֹלָה
hagn	אגן
hagg	אגג
hagener	וַגְנֶר
håga	הגא
hafs	אפס
haff	אפפ
haes	אֵס
hael	אֵל
hady	אדי
hadl	אדל
hadaland	דאלאנד
hacohen	הַכֹּהֵן
hach	אָח
haby	אבּי
habayit	בַּבַּיִת
haaz	אאז
haav	אאו
haad	אאד
haaa	אאא
gzak	זאך
gyun	יוּן
gyth	יטה
gyrd	ירד
gyra	ירא
gynt	ינט
gynn	ינן
gyer	גֵר
gyda	ידא
gyal	יאל
gvul	בוּל
gvay	ואי
gvat	באט
gustavi	גוּסְטַו
gushnasp	שנאסף
gunarang	נאראנג
gufa	גפא
guanshan	אנשאן
grza	רזא
gryu	ריוּ
gryt	רית
gryn	רין
grym	רים
gryg	ריג
gryf	ריפ
gruz	רוּז
grut	רוּת
grun	רוּן
grum	רוּם
grov	רֹב
grobert	רוֹבֶּרְט
greyland	רילאנד
greg	רֶג
gred	רְד
greb	רֵבּ
graz	ראז
grayland	רילאנד
grat	ראת
gråt	גרת
grandval	רנדואל
grandhan	אנדהאן
gral	ראל
grah	רָה
gnir	נִיר
gnar	נאר
gnad	נאד
gmsh	מש
gmin	מִין
gmaz	מאז
gmar	מאר
gmaq	מאק
glym	לים
gluz	לוּז
glud	לוּד
glos	לוֹס
glod	לֹד
glin	לִין
glil	לִיל
glev	לֵב
glaz	לאז
glay	לאי
glav	לאו
glashan	לאספהאן
glandyth	לאניטה
glamford	לאמפרד
glak	לאך
girn	גרן
giborim	גִבּוֹרִים
ghys	היס
ghun	הוּן
ghoy	הוֹי
ghon	הוֹן
ghod	הוֹד
gherman	הֶרְמַן
ghen	הֵן
ghazaleh	הַאלֶה
gharqad	הארקאדה
ghan	האן
ghantar	האנצאר
gham	האמ
ghaklah	האכילאה
ghad	האד
gfan	פאנ
gezerah	עֶזְרָה
gearhart	ארהארט
gdud	דוּד
gdov	דֹב
gcat	גאט
gbar	בָּר
gazz	אזז
gayt	אית
gayndah	אינדיאה
gayl	איל
gayk	איך
gavi	אָבִי
gava	אוא
gavaudan	אבאדאן
gaun	אוּן
gatz	אטז
gatt	אתת
gath	אתה
gasq	אסק
garz	ארז
garvald	אקרבאלד
gartland	ארטלנד
garr	ארר
garp	ארף
garm	ארם
garl	ארל
garg	ארג
garf	ארפ
gardneri	גארדנר
gardiens	גארדנס
garavani	אראבאן
gaos	אוֹס
gann	אנן
ḡani	אָנִי
gani	אָנִי
ganeshan	אנשאן
gand	אנד
gandash	אנדארש
gama	אמא
galy	אלי
galvanis	אלבאנס
galstyan	אלסטין
galp	אלף
galatyn	גאלאטין
galathea	גאלאטה
gaio	אִיוֹ
gahr	אהר
gahn	אהן
gaha	אהא
gagg	אגג
gaev	אֵב
gadz	אדז
gadl	אדל
gadg	אדג
gadd	אדד
gach	אָח
gaby	אבּי
gaay	אאי
gaar	אאר
gaad	אאד
fysh	יש
fyns	ינס
fynn	ינן
fung	וּנג
fühl	פהל
fügt	פגט
ftha	טהא
frys	ריס
fryd	ריד
frydman	פרידמאן
frya	ריא
frka	רכא
freshpet	רֶשֶׁת
freh	רֶה
fran	רַן
frah	רָה
fmr	פלמר
fmin	מִין
flyz	ליז
flyn	לין
flyg	ליג
flya	ליא
flut	לוּט
flud	לוּד
fltk	לתך
floy	לוֹי
floq	לוֹק
flin	לִין
flaz	לאז
flav	לאו
flashman	לשמאן
flandres	לאנדרס
flamants	למאנצ
flad	לאד
filz	פלז
ffag	פאג
fêng	פנג
femn	פמן
felisha	אֱלִישָׁע
fele	אֱלֵי
fazz	אזז
fazl	אזל
fayz	איז
fayt	אית
faym	אים
fayd	איד
faya	איא
fatz	אטז
fatt	אתת
fatshan	אצפהאן
fastrand	סטראנד
fass	אסס
farzand	פארבאנד
fary	ארי
farland	גארלאנד
fark	ארכ
farg	ארג
farf	ארפ
faqa	אקא
faol	אוֹל
fany	אני
fanm	אנם
fani	אָנִי
fangfang	אנפאנג
fandral	אנדריאל
famy	אמי
famn	אמנ
falz	אלז
faly	אלי
falr	אלר
falk	אלכ
fald	אלד
fakt	אכט
fakr	אכר
fahy	אהי
fahn	אהן
fahm	אהמ
fahl	אהל
fahd	אהד
fagg	אגג
fafa	אפא
faes	אֵס
fachanan	חָנָן
faby	אבּי
faas	אאס
faal	אָאל
faaa	אאא
ezzy	זזי
ezze	אֶזֶ
ezra	זרא
ezet	אֶזֶ
ezen	זֶן
ezal	זאָל
eyth	יטה
eya	יְיָ
eyan	יַן
eyam	יַם
eyal	יאל
eyad	יַד
evva	בבא
évry	ורי
evry	ורי
evra	ורא
evol	בוֹל
evna	בנא
evka	בכא
évin	בִן
evin	בִן
evet	בֵית
evertson	וְצֹאן
