zita	自他
vasilie	撕裂
vasama	奥さま
varunan	汝南
varnsen	岸森
varming	阿明
variete	艾略特
varduli	阿闍梨
vanyume	岸嶽
vanson	安松
vanowen	安穩
vannius	按鈕
vannin	安寧
vanlig	按铃
vanisha	泥砂
vaniman	安曼
vanila	马尼拉
vanian	阿娘
vanger	苍耳
vangen	坂根
vaneman	安曼
vandon	安東
vandia	鞍点
vandel	暗地裡
vandali	安代
vanchi	樊迟
vamosi	達磨寺
valiya	瑪利亞
valiani	阿利安
valesi	安樂死
valéian	阿利安
valadao	拉倒
vajjian	阿見
vaishak	愛紗
vairano	愛染
vainio	愛鳥
vaikai	再開
vaidyan	礙眼
vaiden	矮凳
vadian	壓電
vachan	阿川
vacanza	摻雜
uzzayan	杂言
uzunada	尊大
uyapari	牙牌
uweinat	維那
uwaisi	外事
utushka	屠杀
utusan	退散
utumia	図面
utulei	拖累
utshudi	樹敵
utique	退却
utinni	田籾
utimaco	体貌
utican	笹倉
utians	田寺
uthiyan	体验
uthandi	探底
utatomo	掏摸
utataki	塔臺
utatabi	塔臺
utanga	堂塔
utanede	谈得
usuman	舒曼
ustashi	踏實
ustashe	他社
ushurma	數碼
ushuaia	衰
ushitsa	石塔
ushiro	示弱
ushiba	屍斑
ushent	神体
ushanas	紗那
usener	甚而
useishi	死尸
usayran	撒鹽
urushev	入社
urunana	汝南
urumchi	乳齿
urshan	入山
urseren	惹人
urizen	日臻
urilia	日蓮
uribeno	日本
urgenci	人次
urganda	敢打
urenui	认罪
urenco	認錯
urdang	入党
urbinai	比奈
urbiben	日本
urbian	耳邊
urbanke	半顆
urauchi	乳齿
uranie	然別
upshire	溼熱
upinder	品德
upanga	龐雜
uomachi	馬齒
unteren	特任
unshiu	村塾
unnayan	鈉鹽
un-lun	群论
uniti	菌絲體
unisan	逆算
uniper	尼泊尔
unimin	匿名
unilink	逆鱗
unihan	內涵
unichar	逆差
unibank	泥板
uniana	唸法
ungmu	荒木
ungkan	旬刊
unetice	內側
unended	嫩的
undashe	大赦
unchou	恩仇
unanue	南岳
unanga	南瓜
ummachu	馬出
umilani	米蘭
umgang	母港
umariya	麥芽
umalali	馬來
umakai	马快
umaima	脈脈
ulzhan	力戰
ulutan	芦田
ulusan	禄山
ulungur	輪轂
ulundi	倫代
ulunda	倫代
uluman	魯莽
ulugan	流感
ulufeci	綠肥
ultimen	裏門
ullian	露臉
ulitin	立田
ulindi	林帶
ulidia	利点
ulibin	來賓
ulians	廉価
uliano	蓮藕
uliana	聯大
uliama	練馬
ulhicun	栗村
uleyan	樂園
ulenga	冷暗
ulbandi	班底
ulansey	藍色
ulanji	聯繋
ulanga	琅琊
ulander	爛的
ukunda	寬大
ujizane	简略
ujiyasu	加速
ujiteru	借入
ujisato	祭掃
ujikuni	擊潰
ujikane	简略
ujaama	じゃじゃ馬
uishun	吸吮
uisang	稽颡
uguash	掛失
ugolin	高林
ugogwu	贡物
ugnayan	鈉鹽
ugento	跟头
ugenti	更替
ugenia	隔年
ugajin	趕緊
úgaire	改任
ugadai	高岱
ufaysan	发散
ueshima	駛馬
uehling	悪霊
ueding	則定
udosen	稲森
udongk	動き
udinesi	跌死
udhagai	大概
udayana	打眼
udatin	打田
udapadi	大牌
udanin	单音
udaina	大きな
uchiko	赤口
uchiha	癡漢
uchida	池袋
ucanca	燦燦
ubugari	不改
ubhuali	花笠
ubenide	北地
ubanski	半死
ubanqui	坂崎
ubangi	颁给
ubaidah	白搭
ubadiyu	白魚
tziyon	自用
tzigane	紫紺
tyutin	宇田
tyupkin	宇品
tyulpan	魚籃
tyranni	研擬
tyrande	染地
tyneman	野蠻
tyerman	野蠻
tyennan	野南
tydeman	地幔
tychai	羽柴
tyanean	岩岸
twenthe	溫和
twankey	晚课
twanger	輓歌
twanga	王法
twallin	瓦林
tutuola	拖拉
tutuban	凸版
tutore	托人
tusiren	死人
tushita	石塔
tusheti	設題
tusayan	撒鹽
tuqizhi	旗幟
tuotuo	駱駝
tuopin	多频
tuolin	若林
tunong	愚弄
tunnan	村南
tunmen	軍門
tunliu	存留
tunisi	突尼斯
tungan	筍乾
tundun	困頓
tunbao	損保
tunannu	男女
tumoren	默认
tulisen	笠森
tukong	虚空
tuizhi	退職
tuiyin	退隱
tuinen	天恩
tuinei	對內
tuigan	推桿
tuican	摧残
tuengen	恩根
tuburan	不燃
tuatan	花壇
tuatai	樺太
tuaran	嘩然
tuanku	短裤
tuanhe	寛和
tuanbo	绢帛
tuanan	华南
tsyang	饲养
tsuzuki	宿醉
tsuzuji	宿醉
tsutako	俗套
tsusho	素手
tsushin	俗世
tsurkan	肅然
tsumago	宿毛
tsukiji	歲計
tsujino	粟津
tsuguo	鎖国
tsueng	蘇峰
tsouli	壽禮
tsonga	訟案
tskhumi	疏密
tsivyan	私鹽
tsiang	私囊
tshwane	善惡
tshina	市南
tshimpi	試み
tshepo	嬸婆
tshela	射篮
tshalpa	沙拉
tsfanya	泛亞
tseren	舎人
tsenpo	嬸婆
tseang	色盲
tschusi	處死
tschuna	出納
tschumi	疏密
tschudi	樹敵
tschida	石打
tsatoke	骚客
trusha	入山
trusan	乳酸
trummen	入门
trumani	塗滿
trulia	入殮
trugon	入貢
troyan	肉眼
trouwen	歐文
trousse	肉色
troumba	肉麻
trouin	蹂躪
trouche	柔和
trouba	肉包
trongum	通う
tronge	溶液
tronci	栄次
tritin	日田
tritia	日田
trisha	日晒
trigano	日高
triemen	熱門
tridon	日東
triang	日航
trexan	热线
tretin	熱田
tresham	熱沙
trenza	人造
trenyce	忍野
trenque	人去
trenmor	仁摩
trenker	认可
trenen	任人
trendle	忍了
trendex	认得
trencin	人次
trenale	忍了
trelipe	热烈
treiben	日本
trehan	熱戰
tredoux	熱闘
tredia	熱電
tredair	热带
trauner	然而
träumen	入门
traore	擾人
tranter	然而
transue	染色
tranmer	然而
tranin	染印
trandum	染毒
traisen	埃森
trainde	染地
tozoku	偷走
toyouji	游击
toyeite	を以て
toutou	喉頭
tousen	有森
tourian	偶然
touren	逗人
tourang	偶然
tourane	偶然
toupin	優品
tounao	右脳
toumai	購買
toulan	偷懒
toukan	偷看
touhou	厚厚
toudao	厚道
totang	坳塘
tōshiya	施压
toshiya	施压
toshimi	試み
toshima	駛馬
toruniu	乳牛
toranj	陶然
tonian	默念
tongsu	同宿
tongmi	痛み
tongli	農曆
tonghe	松合
tonggu	桶谷
tongfu	龍夫
tonger	從而
tongbi	用筆
tomilin	密林
tolupan	路盤
toliman	豊満
tolian	磨練
tokushi	酷似
tokuchi	堀池
tokong	撥空
tokachi	卡尺
toguchi	古池
todong	破洞
tōdaiji	待機
todaiji	待機
tobing	鏖兵
tobashi	罢市
tobana	陶板
tmolus	墨綠色
tlinget	领略
tlidon	力動
tlicho	離愁
tlanusi	兰斯
tkachev	卡车
tjielte	结了
tjibaou	佳偶
tjedan	特點
tizimin	子民
tiwari	替わり
tiumen	球门
titalia	他倆
tiruchi	乳齿
tiremen	熱門
tinne	天内
tinjin	引进
tinian	思念
tingyu	青玉
tingxi	英喜
tingui	新規
tingri	明日
tinglu	行路
tinghe	迎合
tingfu	井伏
tingen	銀根
tingbo	請撥
tinang	子囊
timure	夕暮れ
timosha	抹煞
timofei	莫非
timion	提名
timere	鐵人
timaru	西馬込
tikunei	堀内
tijuan	丝绢
tihuan	替換
tihanyi	寒衣
tihange	酣歌
tiguan	辭官
tieran	截然
tiengen	恩根
tiefen	節分
tidlig	提领
tideman	地幔
ticheli	車裡
tibiao	词表
tianzi	骗子
tianze	贬责
tianyu	天羽
tianyi	偏倚
tianya	天涯
tianxi	辨析
tianru	填入
tianqi	便器
tianmu	天目
tianma	天馬
tianhe	聯合
tianfu	前夫
tianci	年次
tiagua	加挂
tiagan	下疳
thutade	畫得
thurman	忽然
thurian	晦暗
thurban	护板
thuraya	花芽
thuong	胡弓
thundu	純度
thulêan	呼兰
thulean	呼兰
thulani	胡来
thulane	花呢
thuinn	輝男
thuille	毁了
thuani	歓喜
thuana	華奈
thsang	哈桑
thrangu	染谷
thouron	後ろ
thouria	後日
thouin	後進
thoren	後任
thomen	后门
thoeren	和仁
thiende	恨得
thesen	和伸
thermen	耳門
therien	和仁
theride	黑得
therans	赫然
theoren	和仁
theofan	和範
thenius	和牛
thenga	很高
thenali	很愛
themen	射門
thelon	賀龍
thelius	河柳
thelin	喝令
thekkan	何堪
theitic	黑體
theisen	黒色
theilke	黑了
theiler	黑了
theilen	黑了
theeran	赫然
theepan	河畔
theches	荷車
thebans	合辦
thebais	和白
thebaid	和白
thebaic	和白
thayan	海晏
thawan	海湾
thasou	咳嗽
tharun	滑潤
tharen	漢人
thanwi	寒微
thantra	旱獺
thanke	山科
thaniya	海牙
thanin	韓信
thania	颔下
thangs	航速
thangi	長い
thanei	寒微
thandwe	喊得
thandu	歡度
thando	喊到
thandi	汉代
thandie	喊得
thanda	汉代
thamen	海門
thaman	汉满
thaleia	哈雷
thakita	海獭
thaiyil	駭異
thaisa	害臊
thaine	海内
thaimu	斎木
thaila	还来
thaikek	骇客
thache	号車
thaana	哈瓦那
texican	西餐
tewende	文徳
teweisi	畏死
tewane	鐵腕
tetuan	各團
tétouan	投案
tetouan	投案
tetiana	額田
teshima	駛馬
teschen	惡神
terzyan	而言
terrano	而然
terrani	而然
terongi	鵝絨
terlouw	耳漏
terling	悪霊
terklou	耳漏
terian	耳尖
terglou	耳漏
teresh	えれ属
terenti	人体
terashi	而是
tenshin	恩師
tenpei	認賠
tennen	嫩嫩
tennan	问难
tenmei	粉煤
tenkai	憤慨
tengre	冷熱
tengku	冷酷
tengfei	恩給
tenger	曾爾
tengene	恩根
tendai	粉黛
tenchu	根除
tenchi	奔馳
tenaya	熱那亞
tenaxia	拿下
temujin	木槿
temming	惡名
telinga	悪霊
telangi	饿狼
tekong	耳孔
teitan	煤炭
teishi	內侍
teisen	梅森
teimei	黑莓
teiman	美滿
teijin	累進
teihei	嘿嘿
teigen	北根
teheran	赫然
teeling	悪霊
tedong	河東
tecuan	略傳
tebing	葉柄
tebang	河蚌
teabing	阿炳
tchuto	鋤頭
tchuruk	出入
tchula	畜栏
tchiowa	赤蛙
tchimpa	驰马
tcheka	扯開
tayuman	譽滿
tayuban	魚板
tayouan	幽暗
tayang	麻央
taxodii	陶笛
taximen	西門
taxidou	西都
tawilan	愛蘭
tawanna	完納
tawang	拉往
tawana	哈瓦那
tavisha	愛紗
taviche	爱车
taugani	塗改
tatong	馬桶
tatlian	阿利安
tating	馬庭
tatian	鴨田
tatang	大堂
tashua	雜耍
tashrih	踏實
tashman	阿山
tashian	試案
taschen	阿嬸
tarong	哀荣
tarandi	探底
taquan	安全
taphian	阿片
tapairu	排入
taongui	暗鬼
taobao	高保
tanzman	安曼
tanzan	安葬
tanusha	暗殺
tanudan	黯淡
tantrai	安泰
tanton	安通
tantia	岸田
tanthar	坍塌
tanten	安藤
tantawi	安泰
tantany	安曇
tansuo	難所
tansman	安曼
tanong	安永
tanlin	寒林
tanken	濫墾
tankan	難看
tanisha	泥砂
tanhuma	氨化
tangye	岡野
tanguma	鞍掛
tanguay	鞍掛
tangri	當日
tangra	盎然
tangmi	糖蜜
tangku	仓库
tanghe	棒喝
tanggu	唐古
tangen	坂根
tangchangyas	盲腸炎
tangai	盲愛
tanfern	安份
taneli	暗地裡
tanela	安哥拉
tandon	安東
tandin	安定
tanchat	安插
tanang	阿娘
tanama	巴拿馬
tamin	天民
taminda	敏达
tamiao	奧妙
tamiang	阿明
tamengo	阿蒙
tamade	他妈的
taluban	鲁班
talisi	爱丽丝
taliqan	阿利安
talipao	禮炮
talipan	阿利安
taling	大嶺
taliana	阿利安
taleshi	樂施
taleng	怕冷
talanta	蘭塔
talang	雅朗
talakai	拉開
talabot	阿拉伯
takushi	酷似
takechi	可恥
takashi	卡式
takaiye	开业
taizan	愛蔵
taiyou	還有
taixue	才學
taiwei	胎位
taitao	海濤
taitano	哀叹
taisun	外孙
taisou	咳嗽
taishin	碍事
taisan	愛山
tairyan	礙眼
tairon	哀荣
taiqan	愛錢
taipei	采配
taipai	开拍
taimina	愛民
tailtin	矮林
taikan	來看
taiichi	愛吃
taihei	白黒
taigman	哀感
taigen	奈根
taichu	哀愁
taicho	哀愁
taibei	塞北
taibao	財宝
taibai	愛不愛
tahouri	後日
taheran	赫然
tahama	巴哈馬
tahala	撒哈拉
taguima	桂馬
taguchi	古池
taeyang	略阳
taedong	阿東
tadiran	愛染
tading	亞丁
tadashi	大柿
tadanao	大鬧
tadaima	代碼
tacuyan	粗盐
tacuna	台村
tachen	打沉
tachai	打柴
tabuyan	不言
tabunan	不難
tabuchi	不啻
tablian	阿利安
tabang	發榜
tabanca	板擦
tabanan	办案
tabaimo	白魔
szulman	阻拦
szulgai	素來
szubin	主賓
szondi	宗弟
szigeti	自給
szidon	自动
szelig	责令
szalai	再来
syukuro	迂闊
syesha	野山
sycuwan	鱼丸
syafei	藥費
swenoda	问答
swengel	问个
sweileh	圍了
swegen	尾根
swaran	宛然
swapan	碗盤
swanti	丸太
swanne	湾内
swanley	玩了
swania	晚霞
swanger	輓歌
swander	玩得
swandal	丸大
swanage	輓歌
suzong	福宗
suzhou	橘洲
suyong	木俑
suwaidi	外敵
sutong	旭通
sushun	不順
sushila	石蠟
sushen	屈伸
suruchi	乳齿
surigao	日高
suqian	不浅
suprana	肅然
suonan	國男
suogao	脫稿
sunzha	屯扎
sunshu	村塾
sunmin	村民
suning	絮凝
sungui	雲貴
sundui	倫敦
sundai	倫代
sunbie	頓別
sunanda	南大
suming	慕名
sumeru	務める
sumaye	駙馬爺
suluhan	鹿晗
suluan	胡亂
sulong	舞龙
suliman	豊満
suleima	勒马
sulang	篤郎
sukashi	卡式
suizhi	退職
suisun	毀損
suishu	歲數
suiren	归仁
suijin	碎金
suihua	葵花
suichi	最遲
suhaili	海里
sudong	律動
suchus	隨處
sucharu	茶入
suchan	物产
subutai	不太
subotai	伯太
subashi	罢市
subang	鼓棒
suayan	化驗
suanfa	算法
suaidi	怀帝
stutman	塗滿
stutin	土田
sturman	塗滿
stupin	土瓶
stupide	推得
stupia	圖片
stunde	団地
stugun	突貫
stufen	突風
stubin	突变
stuben	投奔
stubai	颓败
strumen	入门
strouse	肉色
strenge	人格
stratou	塔頭
strande	染地
straken	拓墾
straide	抬得
straban	踏板
stoyan	脫鹽
stouti	頭胎
stoupan	投案
stoumen	土门
stouch	透徹
storen	托人
stolan	偷懒
stofan	脱藩
stities	蹄铁
štitari	体态
stipan	铁盘
stinia	體念
stingo	聽我
stimmen	寺門
stiman	体面
stilesi	鐵絲
stikayi	踢開
stigsen	笹森
stigman	体感
stigant	体感
stigand	体感
stieng	提燈
stiegel	替え歌
stidia	踢掉
stichus	剔出
stichie	鵜池
stiamo	天魔
stesia	特斯拉
sterren	特任
sternen	特任
stepan	铁盘
steling	悪霊
stegli	藤里
steffan	特番
stefen	铁粉
stefany	特番
stefans	特番
stefano	特番
stefani	特番
stefana	特番
stefaan	特番
stayman	塔岩
stavoli	桃李
statie	臺鐵
statali	塔臺
stashu	桃树
stashek	他社
starsha	他殺
starmen	它们
starken	拓墾
stargen	他人
stargen	他人
stantec	忐忑
stanser	貪色
stansel	貪色
stannah	檀那
stanmor	貪墨
stanlio	贪利
stanko	碳烤
stankey	坦克
stanhoe	談合
stangl	唐律
stanger	探戈
stangel	探戈
stanfa	天罰
standen	谈得
standel	谈得
standau	贪渎
stancu	糖醋
stanciu	嘆詞
stancil	嘆詞
stanbic	炭筆
stanage	探戈
stampen	它们
stamnan	探案
stammen	它们
stalken	拓墾
stalin	檀林
stalina	他倆
stalag	拓郎
stakman	踏勘
staiti	臺鐵
staite	臺鐵
stainke	坦克
staine	胎内
staigle	台閣
staifi	台肥
staicu	台村
stahnke	坦克
stagni	汤尼
staende	谈得
stacken	拓墾
stachus	踏出
stache	台車
stachau	踏出
stabben	拓本
staaken	拓墾
sruoga	若干
srujan	如见
sroufe	肉粉
srishti	日時
sriman	日冕
srikant	日刊
srijan	日間
sranan	冉冉
squeake	缺課
spumans	撲滿
spudman	撲滿
sprouse	肉色
sprixie	辟邪
springe	品格
sporlan	破烂
šporer	破れる
sporer	破れる
spondan	破胆
spolin	迫令
splende	盆地
spinosi	拼死
spinke	片刻
spinei	嬪妃
spindel	品德
spinco	拼凑
spilio	坯料
spento	噴頭
spense	噴射
speiser	配色
speiler	赔了
speigle	赔了
spanta	蟠桃
spanje	判决
spanie	判別
spanien	潘恩
spangur	盤古
spango	攀過
spange	龐德
spanga	龐雜
spanda	盼到
spahan	爬山
spadman	爬滿
spadaro	爬到
soyang	奥様
sowande	玩得
sowaidi	外敵
sourou	狗肉
sourian	偶然
souren	逗人
soumen	斗门
soulou	佝僂
soulin	蹂躪
soulie	後列
souhan	後漢
soufan	油飯
sopan	收盤
sonori	その日
sonian	默念
songze	松沢
songti	总体
songmo	濃墨
songgwangsan	龍王山
songgu	桶谷
songer	從而
somari	泊まり
somachi	馬齒
solong	博隆
soling	迫令
soliman	豊満
solibao	礼包
solanke	蘭科
sojirou	肌肉
sogang	波岡
sochen	博臣
sobantu	半途
sneider	內耳
smulyan	木兰
smouha	謀害
smooter	模特兒
smolyan	魔眼
smolin	茂林
smolen	模棱
smolan	磨練
smogon	魔宫
smissen	米森
smiljan	米蘭
šmihula	秘話
šmigun	糸貫
smendes	門地
smedile	没了
smashin	麻矢
smashie	麻矢
smarden	罵人
smanie	滿街
sluzalo	炉灶
sluman	魯莽
slubice	芦別
sloyan	落雁
sloulin	綠林
slongo	隆博
slöinge	领略
slogen	隆恩
slocan	老殘
slipman	豊満
slimani	豊満
slimane	豊満
sligon	離宮
slidin	利点
slicher	礼车
slesha	乐善
sleiman	豊満
sledai	累代
slavici	來此
slatan	籃壇
slapin	拉平
slanker	蘭科
slanie	籃協
slanga	琅琊
s-lance	散策
slaman	拉面
slainte	萊特
slainge	领略
slaikeu	來客
skyang	克洋
skuthai	苦海
skulan	溃烂
skouze	扣著
skoufas	口伐
skouen	叩門
skoshi	考试
skogli	空力
skoger	空耳
skogan	口感
skeron	可溶
skender	墾地
skelund	客轮
skecher	客车
skansin	砍死
skansie	砍死
skansen	岸森
skania	砍下
skander	看得
skanda	砍到
skammen	卡门
skalmen	卡门
skainan	碍难
skaian	开完
skafida	開打
sjursen	舉人
sjundeå	俊徳
sjimmie	寂滅
sizhou	米州
sizhen	日臻
sizhao	比照
siying	利英
sixiao	爱笑
sitong	筆筒
sitamen	它们
sishun	吸吮
sishui	溢水
sishen	死神
sisang	稽颡
sirong	戚容
sirenas	死人
sipishu	皮书
siping	敉平
sinyan	饮宴
sinsen	陰森
sinong	隶农
sinnai	信乃
sinkai	新開
sinjin	引进
sining	宜宁
sinian	思念
singye	幸也
singge	晶格
sinchi	摈斥
sinche	新車
sincan	新参
șincai	芹菜
sinanju	南橘
sinanan	南岸
simizhi	米脂
siming	西銘
similan	米蘭
simiao	帝廟
simiane	面額
simacan	馬喰
silikou	豊口
silicea	撕裂
sileshi	樂施
silang	次郎
siktuna	私吞
sikiru	起きる
sijing	僻靜
sijiao	遞交
sijian	私見
sihang	慈航
sigong	起工
siganme	幹麼
siemen	解悶
sielun	結論
siecha	脇差
siebte	斯各特
sidang	立党
siculo	失措
sichan	日產
sibuyan	不言
siburan	不燃
siayan	鉀鹽
siawan	加完
siaosi	吊死
siaogangshan	小倉山
sianfu	前夫
shuyun	輸運
shuxun	互選
shuwaik	戶外
shutoku	火窟
shutaro	護套
shusui	湖水
shushe	出社
shusai	活塞
shurtan	忽然
shurman	忽然
shuriki	輝き
shurden	湖人
shuraya	花芽
shuppan	湖畔
shunzo	混作
shunzi	順子
shunzei	戶內
shuntu	昏頭
shuntei	戶內
shunryu	混浴
shunkan	虎男
shunju	昏厥
shungu	春谷
shungo	混过
shungo	混过
shundo	昏倒
shunda	混蛋
shumou	主謀
shumlin	虎林
shumin	庶民
shu-mei	狐媚
shuman	注滿
shumake	化け
shulman	呼兰
shulkin	虎林
shulhan	呼喊
shulḥan	呼兰
shulgin	虎林
shulani	胡来
shukan	初刊
shujin	忽見
shuixi	吹襲
shuiski	輝き
shui-hu	輝虎
shuhun	呼喚
shuhei	灰黑
shugui	魂归
shugnan	虎男
shugen	除根
shugei	输给
shueng	胡蜂
shueili	絵里
shudun	后盾
shubina	湖滨
shubaru	滑入
shuara	嘩然
shuangyashan	皇海山
shuafat	華髮
shpendi	很低
showan	好玩
shouzo	後奏
shoush	喉舌
shouse	喉舌
shourie	後日
shoukri	後日
shoshu	後述
shoran	霍然
shoqafa	殺伐
shongo	鴻博
shonda	宏大
shonan	好男
shojuro	後ろ
shojin	後進
shohan	浩瀚
shogen	鸿恩
shogan	弘安
shodai	好歹
shoban	厚板
shoaiba	海抜
shmenge	横额
shlumei	露美
shizuo	織作
shizhi	矢志
shizhe	侍者
shiyou	還有
shiyao	吃藥
shiyan	海晏
shixun	質詢
shixia	吃下
shiwei	雉尾
shiwan	市丸
shivaya	砂押
shivaji	殺機
shitsu	持つ
shitou	黑頭
shitao	海濤
shitan	試探
shitai	海苔
shisun	石笋
shisui	知穂
shirou	吃肉
shiren	黑人
shiran	使然
shiqiu	矢萩
shipei	失陪
shiouji	後繼
shinen	稚嫩
shinei	海内
shinan	海难
shimin	時敏
shimen	海門
shimei	魑魅
shimao	时髦
shiman	海鰻
shimai	只买
shilun	齒輪
shikao	只靠
shikai	只开
shijun	直俊
shijie	使節
shihuo	失火
shihui	灰灰
shihua	会話
shihou	斥候
shihei	灰黑
shigui	氏規
shigao	會搞
shigai	悔改
shifan	师范
shicai	海菜
shibei	之辈
shibao	至宝
shiban	屍斑
sheyman	和彦
shewans	喝完
shestan	河灘
sheshna	河沙
sheshak	河沙
sheshai	赫塞
sherzai	和哉
sherren	和仁
shermin	和民
sherjan	赫然
sherima	黑馬
sherifa	黑髮
sherene	和仁
shereen	和仁
sherden	和仁
shenzi	沈子
shenyu	谶语
shenwu	陣屋
shentu	塵土
shensai	赫塞
shenna	很難
shenley	狠了
shenin	何年
shenhe	很恨
shengo	很够
shenfu	身负
shendo	很多
shenale	狠了
shemran	赫然
shemlan	荷兰
shemen	射門
sheman	河面
shemamo	賀茂
shelqan	荷兰
shelon	賀龍
shelcan	鶴喰
shelben	河本
sheila	黒瀬
sheikan	何堪
shehwan	喝完
shegog	河工
shefman	和範
sheeren	和仁
sheeran	赫然
sheenan	很暗
sheehan	和漢
sheddan	核彈
shechem	荷車
shebeli	河北
sheahan	和漢
shazha	花札
shayan	海晏
shawnna	漢那
shawna	哈瓦那
shawiya	海牙
shawan	海湾
shaunta	旱獺
shaunna	漢那
shatuo	茶托
shatili	海里
shatan	沙滩
shatai	海苔
shasun	耗损
shashi	滑石
shashe	寒舍
shasha	殺殺
sharun	滑潤
sharita	海獭
sharifa	還發
sharan	嘩然
shaqiu	好逑
shaokun	號哭
shan-yu	韩语
shanyn	酣饮
shantha	旱獺
shantar	旱獺
shantal	旱獺
shantae	旱獺
shansi	斬死
shanpu	山浦
shanley	喊了
shanku	汉口
shankle	喊了
shania	颔下
shangy	航業
shangyangtai	光洋台
shanga	航法
shandi	汉代
shandel	喊得
shanda	汉代
shanan	海难
shamoke	兞
shamin	浩敏
shamima	海马
shamili	海里
shamie	殺滅
shalomi	毫米
shalizi	孩子
shalita	海獭
shakou	汉口
shakan	还看
shajiey	蛤蚧
shaista	海獭
shaish	还设
shaine	海内
shaihu	还书
shaigya	海牙
shaido	海盗
shaich	害处
shaibah	海抜
shahiya	海牙
shahidi	海底
shahan	韩晗
shagan	滑杆
shafan	好烦
shadie	海蝶
shadan	華誕
shachi	好吃
shache	号車
shabin	海滨
shabiba	海抜
shaban	插班
shaanxi	焊錫
sfengus	逢う
sfaxien	発信
sewashi	瓦石
sewaren	蛙人
seuling	悪霊
setians	額田
sétanta	坍塌
setanta	坍塌
sesigi	饿死鬼
seshan	乐善
servizi	えり子
seruan	耳环
sersawi	耳塞
serrans	而然
serrani	而然
serrahn	而然
serpong	鵝絨
şermin	耳鸣
serling	悪霊
serjan	耳尖
sering	而定
serian	耳尖
serhan	耳环
serguis	而归
serguei	而归
šerfezi	而废
seresu	えれ属
serdon	耳洞
serdang	悪党
serbin	耳邊
serbia	耳邊
șerban	耳邊
şerban	耳邊
serban	耳邊
sequani	恶犬
sequana	恶犬
senyue	森越
sentia	恩田
sentai	文太
sensui	粉碎
senshu	分署
senshis	恩師
senshin	恩師
sensen	森森
sennai	忍耐
senmin	文敏
senman	很慢
senluo	门罗
senlin	文林
senkan	本刊
sening	恩命
seniman	惡念
sengge	風格
sengevi	恩給
senges	恩格斯
senger	曾爾
sengan	怎敢
senesi	恩格斯
sendin	恩典
sendai	粉黛
senchu	根除
senaya	熱那亞
senayan	鈉鹽
senanan	南岸
semoran	驀然
semitan	密談
semenya	門牙
semant	色盲
semang	夜盲
seluchi	濾池
selinde	林地
selinan	临安
seligen	利根
seligen	利根
selaoli	勞力
selangr	饿狼
sekong	耳孔
sekaiju	開局
seizui	畏罪
seishi	內侍
seiren	沒人
seipei	沛沛
seipai	每排
seinei	梅内
seinan	危难
seimen	內門
seimei	黑莓
seiman	美滿
seiken	圍墾
seikan	未刊
seikai	沒開
seijun	北军
seihun	未婚
seigen	北根
seibei	美唄
seiban	每班
seguido	色鬼
segne	聲吶
segern	舌根
segeren	歌人
seeling	悪霊
sedalai	達賴
sechen	热忱
secheli	車裡
secchia	色差
seafang	阿房
scugog	粗工
scipión	词频
scipion	词频
schwule	出了
schwen	初吻
schwan	赤丸
schwade	差得
schwaan	查案
schurti	出題
schurer	触れ
schurel	触れ
schupo	戳破
schumi	稠密
schumer	初め
schulze	出了
schulte	出了
schulke	出了
schuler	出了
schulen	出了
schulek	出了
schuko	出口
schuit	垂涕
schuder	處得
schudel	處得
schudde	處得
schuco	出錯
schuch	處處
schrire	炽热
schrade	差得
schoute	丑恶
schori	朝日
schore	炒熱
scholi	朝里
schoen	朝恩
schlema	車馬
schlei	触雷
schkade	差得
schizes	池澤
schizer	池澤
schiza	遲早
schitli	斥力
schisme	赤色
schirru	恥辱
schiro	吃肉
schirn	熾燃
schipke	齿科
schipa	池畔
schinia	吃膩
schine	池内
schimke	齿科
schimak	驰马
schilke	齿科
schilit	斥力
schilde	吃得
schilbe	吃了
schifre	炽热
schiene	沈痾
schiele	吃了
scheyer	徹也
scherma	車馬
scherli	車裡
schere	趁热
schenn	沉溺
schemi	沉迷
schele	车裂
schein	扯進
schein	扯進
scheile	黑了
scheie	车裂
șcheia	扯下
scheben	河本
schayes	茶葉
schayer	茶葉
schavan	查案
schatzi	叉子
schanz	纏足
schank	産科
schani	蟬翼
schanen	产额
schamus	茶木
schalit	查理
schalde	差得
schain	差劲
schaie	差些
schaffa	茶髪
schaede	差得
schadee	差得
schabe	差别
schaank	查案
scener	曾爾
scemena	側門
scawen	查问
scaponi	草拟
scanzo	慘遭
scanzia	摻雜
scanga	残高
scandza	摻雜
scandis	殘敵
scandic	殘敵
scaloni	草拟
scalise	菜色
scadan	慘澹
sbeitla	貝拉
sazang	愛蔵
sayyida	阿依达
sayidna	阿依达
saxion	阿兄
sawang	拉往
sawana	哈瓦那
satsui	あつ子
satsang	阿桑
satoshi	傲世
satiren	體認
satiran	愛染
satenig	阿藤
satanta	坍塌
sastha	殺殺
sasong	发送
saseong	阿僧
sarsang	阿桑
sarande	染地
sapoyan	破岩
sapato	赛跑
sapang	矮胖
sanzan	安葬
santin	岸田
santhan	暗含
santen	安藤
santati	安泰
santao	難逃
santano	安曇
santali	安泰
santaji	安泰
sansui	安睡
sanstha	暗殺
sanson	安松
sansoen	岸森
sansan	懶散
sanren	幹人
sannati	安奈
san-min	安民
sanmina	安民
sanmao	顏貌
sanmann	安曼
